日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018/01/01,大里,AMB_TEMP,16.1,16.1,16,15.7,15.3,14.9,14.9,15.2,16.3,17.5,18.8,20.8,22.9,23.9,24.4,23.5,22.4,20.6,19.4,18.8,18.3,18,17.4,17
2018/01/01,大里,CH4,1.9,1.9,1.9,1.9,2,1.9,1.9,1.9,2,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.9,2
2018/01/01,大里,CO,0.62,0.6,0.53,0.53,0.62,0.57,0.55,0.8,0.83,0.67,0.53,0.43,0.39,0.38,0.42,0.46,0.5,0.52,0.52,0.56,0.63,0.73,0.82,0.83
2018/01/01,大里,NMHC,0.12,0.12,0.1,0.12,0.16,0.14,0.15,0.2,0.21,0.18,0.13,0.09,0.08,0.08,0.09,0.1,0.11,0.12,0.12,0.13,0.16,0.19,0.26,0.27
2018/01/01,大里,NO,1.5,1.9,1.7,2,1.9,2.5,2.5,11,13,8.6,5.5,3.4,2.5,2.1,1.8,2.4,2.8,1.8,1.8,2,1.8,2.8,11,12
2018/01/01,大里,NO2,12,12,11,12,16,16,19,21,21,21,17,12,9.1,9.2,12,14,16,17,16,19,24,30,32,27
2018/01/01,大里,NOx,13,14,13,14,18,19,21,32,33,29,22,15,12,11,14,16,19,19,18,21,26,32,42,39
2018/01/01,大里,O3,22,20,21,17,6.8,8.6,9.5,6.8,9.4,20,30,45,55,62,66,59,49,40,31,24,16,9.4,1.6,1.4
2018/01/01,大里,PM10,35,43,30,27,46,49,49,68,75,52,44,34,35,37,55,55,67,67,59,53,50,48,64,61
2018/01/01,大里,PM2.5,10,19,17,19,11,24,19,33,28,28,24,19,20,12,9,19,23,28,24,28,33,32,28,24
2018/01/01,大里,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
