日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2017/01/01,彰化,AMB_TEMP,18,18,18,18,17,17,17,18,19,21,22,24,24,24,24,23,22,21,21,20,20,19,20,20
2017/01/01,彰化,CH4,2.1,2,2,2.1,2.1,2,2.1,2.1,2.1,1.9,1.8,1.9,1.8,1.8,1.7,1.7,1.8,1.8,1.8,1.8,1.9,1.9,1.9,1.9
2017/01/01,彰化,CO,0.76,0.71,0.66,0.76,0.63,0.5,0.81,1.09,0.89,0.73,0.57,0.64,0.39,0.3,0.26,0.27,0.33,0.43,0.49,0.47,0.58,0.59,0.59,0.52
2017/01/01,彰化,NMHC,0.42,0.33,0.32,0.34,0.3,0.18,0.34,0.44,0.35,0.21,0.15,0.2,0.11,0.07,0.06,0.07,0.11,0.13,0.16,0.15,0.2,0.21,0.21,0.18
2017/01/01,彰化,NO,14,9.8,8.9,19,12,-0.2,7.8,17,8,3.8,1,1.1,0.8,0.3,0.3,1,0.5,0.4,0.5,0.3,0.8,0.9,0.9,0.8
2017/01/01,彰化,NO2,20,20,21,21,16,11,19,22,21,18,14,19,12,7.9,6.9,6.7,10,14,19,18,19,19,22,19
2017/01/01,彰化,NOx,34,30,30,39,28,10,27,39,29,22,15,21,13,8.2,7.2,7.7,11,15,19,18,20,20,23,20
2017/01/01,彰化,O3,1.5,1.4,1.5,1.3,2.8,8.5,2.5,3.2,12,23,44,54,59,57,51,48,40,34,25,22,15,10,8.8,9.9
2017/01/01,彰化,PM10,45,47,63,58,54,43,52,55,57,64,73,79,74,60,46,32,41,49,65,68,66,62,64,69
2017/01/01,彰化,PM2.5,29,23,25,24,29,29,32,39,35,46,43,53,41,35,24,20,35,44,42,33,25,30,36,40
2017/01/01,彰化,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2017/01/01,彰化,RH,84,86,87,87,86,85,86,85,82,78,73,69,65,66,71,75,77,79,81,84,85,85,86,86
2017/01/01,彰化,SO2,1.4,4.1,6.4,4.5,2.5,1.8,1.9,2.5,2.8,5,3.9,4.3,3.3,3,2.9,2.5,3.9,2.4,2.4,2.5,2.3,2.2,2.4,2.4
2017/01/01,彰化,THC,2.5,2.3,2.4,2.4,2.4,2.2,2.4,2.6,2.4,2.1,2,2.1,1.9,1.8,1.8,1.8,1.9,1.9,1.9,1.9,2.1,2.1,2.1,2.1
2017/01/01,彰化,UVB,0,0,0,0,0,0,0,0.3,1.4,3,4.8,5.5,6.2,5.5,3.6,1.7,0.4,0,0,0,0,0,0,0
2017/01/01,彰化,WD_HR,167,161,139,3.3,22,40,52,40,34,34,21,324,318,323,320,322,322,341,324,326,202,170,48,165
2017/01/01,彰化,WIND_DIREC,171,139,50,353,12,26,34,36,36,12,18,328,315,334,315,315,335,18,333,335,169,227,112,192
2017/01/01,彰化,WIND_SPEED,0.7,0.9,0.7,0.6,0.6,0.9,1.2,0.8,1.7,1.7,2,3,3.5,3.5,4.1,3.4,3,2.2,2.1,1.5,1,0.5,0.9,1.5
2017/01/01,彰化,WS_HR,0.7,0.9,0.3,0.7,0.8,0.4,0.3,0.7,0.7,0.6,0.6,1.3,1.8,1.7,1.6,1.6,1.3,1.1,1.4,1.4,0.6,0.6,0.1,0.6
2017/01/02,彰化,AMB_TEMP,19,19,19,19,19,19,20,20,20,21,23,24,23,22,22,22,22,21,21,20,20,20,19,19
2017/01/02,彰化,CH4,1.9,1.9,1.9,1.8,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.7,1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.9,1.9,2,2
2017/01/02,彰化,CO,0.47,0.5,0.37,0.35,0.38,0.38,0.44,0.69,0.72,0.47,0.33,0.31,0.26,0.24,0.26,0.28,0.37,0.5,0.58,0.64,0.73,0.75,0.77,0.71
2017/01/02,彰化,NMHC,0.16,0.18,0.1,0.08,0.12,0.12,0.12,0.22,0.23,0.15,0.11,0.1,0.08,0.06,0.07,0.08,0.12,0.17,0.21,0.24,0.27,0.28,0.34,0.32
2017/01/02,彰化,NO,0.2,0.3,0.3,2,1.4,1.4,1.4,2,5,3.4,3.1,2.5,3.1,2.2,2.3,1.9,2,2.1,2.1,2.6,2.7,3.1,6.9,5.9
2017/01/02,彰化,NO2,15,17,9.3,5.8,7.9,7.2,7.5,13,19,15,10,10,11,8,6.8,9.2,14,21,24,26,31,31,26,24
2017/01/02,彰化,NOx,15,17,9.6,7.7,9.3,8.6,8.9,15,24,18,13,13,14,10,9,11,16,23,26,28,33,34,33,30
2017/01/02,彰化,O3,12,9.6,21,29,20,20,27,20,16,26,35,38,40,45,47,46,40,25,21,14,9.8,7.2,2.1,2.5
2017/01/02,彰化,PM10,69,77,81,88,79,70,70,68,79,69,56,43,48,58,55,49,46,54,60,74,79,78,71,78
2017/01/02,彰化,PM2.5,39,48,44,58,49,54,49,57,63,56,33,26,24,30,32,26,28,33,42,43,44,49,53,58
2017/01/02,彰化,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2017/01/02,彰化,RH,86,86,86,86,86,84,82,81,82,75,68,66,71,72,73,73,74,77,80,82,82,82,84,84
2017/01/02,彰化,SO2,2.2,14,7.9,3.7,2,1.6,1.8,1.9,2.4,2.1,2.1,2.6,3.7,3.3,2.2,2.4,2.7,3,2.7,2.8,3,2.9,2.7,8.4
2017/01/02,彰化,THC,2,2.1,1.9,1.9,2,2,2,2.1,2.1,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.9,2,2,2.1,2.1,2.2,2.3,2.3
2017/01/02,彰化,UVB,0,0,0,0,0,0,0,0.2,1.2,2.3,5.5,6.7,6.8,5.2,3.7,1.7,0.4,0,0,0,0,0,0,0
2017/01/02,彰化,WD_HR,178,164,144,128,19,282,26,37,20,20,34,324,318,328,352,333,334,324,327,2.4,13,20,177,150
2017/01/02,彰化,WIND_DIREC,187,129,120,354,33,323,38,61,34,15,13,325,311,15,314,309,19,325,325,39,345,197,186,165
2017/01/02,彰化,WIND_SPEED,1,1.3,1.7,0.6,1,0.7,0.9,1.1,1.8,2.4,1.8,3.3,4,4.3,3.8,3.4,1.6,2.1,2.2,1.8,1.3,0.9,0.8,0.7
2017/01/02,彰化,WS_HR,0.9,1,1.1,0.6,0.4,0.1,0.4,0.4,0.7,0.9,0.9,1.3,1.7,1.6,1.1,1.2,1,1.3,0.9,0.7,0.8,0.4,1,0.5
2017/01/03,彰化,AMB_TEMP,19,18,18,19,19,19,18,18,19,21,23,24,24,24,24,24,23,23,22,21,20,20,20,20
