日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2017/01/01,沙鹿,AMB_TEMP,19,19,19,19,19,19,19,19,20,21,23,23,23,23,23,22,21,21,21,21,21,21,21,21
2017/01/01,沙鹿,CO,1.09,1.19,1.09,1.08,0.68,0.54,0.65,0.94,0.7,0.81,0.55,0.35,0.23,0.16,0.14,0.17,0.2,0.25,0.34,0.27,0.28,0.32,0.33,0.25
2017/01/01,沙鹿,NO,32,36,31,37,15,5.4,12,26,12,10,4.2,3.7,2,1.8,1.7,1.8,1.4,1.5,1.4,1.3,1.4,1.6,1.6,1.3
2017/01/01,沙鹿,NO2,24,25,26,23,29,21,22,23,26,28,20,14,7.2,6.4,5.6,6.9,9,10,13,13,15,16,17,12
2017/01/01,沙鹿,NOx,56,61,57,60,43,26,34,49,38,38,24,18,9.2,8.2,7.3,8.8,10,12,15,14,16,18,19,13
2017/01/01,沙鹿,O3,1.6,1.6,1.6,1.7,1.5,8,2,3.6,13,22,39,47,56,53,52,48,44,41,32,30,26,22,21,26
2017/01/01,沙鹿,PM10,48,64,72,71,70,67,62,64,78,80,81,73,48,41,44,47,54,58,63,66,62,62,65,64
2017/01/01,沙鹿,PM2.5,21,33,39,35,35,31,31,35,44,49,48,40,20,9,14,23,27,23,27,32,28,24,24,21
2017/01/01,沙鹿,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2017/01/01,沙鹿,RH,85,86,87,89,89,88,88,88,86,80,74,70,69,73,77,80,82,83,85,88,89,89,89,89
2017/01/01,沙鹿,SO2,2.1,2.8,2.8,2.9,2.8,2.5,2.3,2.6,4.1,3.5,3.2,2.9,2.1,2,1.7,1.3,1.1,1,1,1,1.1,1.4,1.6,1.3
2017/01/01,沙鹿,UVB,0,0,0,0,0,0,0,0.3,1.4,3.2,4.9,6.3,6.7,5.6,3.2,1.2,0.4,0,0,0,0,0,0,0
2017/01/01,沙鹿,WD_HR,203,197,217,31,40,64,330,191,329,334,330,326,351,343,15,30,21,23,352,35,50,57,356,19
