Date Time,PM2.5,O3,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,PM10,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,DAY_OF_YEAR,HOUR,WEEKDAY,MONTH
01.01.2019 01:00:00,12.0,26.0,16.4,0,0.3,0,1.0,8.5,9.5,33.0,0,79.0,2.8,0,0.6,359.0,2.2,2.7,0,1,1,1
01.01.2019 02:00:00,12.0,24.0,16.0,0,0.27,0,1.6,9.8,11.0,21.0,0,82.0,1.2,0,360.0,359.0,3.0,2.6,0,2,1,1
01.01.2019 03:00:00,3.0,27.0,16.0,0,0.23,0,1.8,8.5,10.0,11.0,0,84.0,1.1,0,0.6,0.3,4.6,3.7,0,3,1,1
01.01.2019 04:00:00,3.0,30.0,16.0,0,0.21,0,1.5,6.8,8.3,8.0,0,84.0,1.3,0,1.3,1.1,4.9,4.6,0,4,1,1
01.01.2019 05:00:00,2.0,31.0,16.1,0,0.21,0,1.7,6.0,7.6,7.0,0,84.0,1.2,0,359.0,0.9,4.7,4.5,0,5,1,1
01.01.2019 06:00:00,2.0,30.0,16.0,0,0.2,0,1.5,6.5,8.0,10.0,0,85.0,1.2,0,1.2,359.0,4.3,4.1,0,6,1,1
01.01.2019 07:00:00,2.0,31.0,16.2,0,0.21,0,1.5,7.2,8.8,7.0,0,84.0,1.2,0,360.0,356.0,4.7,4.6,0,7,1,1
01.01.2019 08:00:00,3.0,31.0,16.5,0,0.24,0,2.2,8.6,11.0,7.0,0,83.0,1.4,0,1.1,1.2,5.3,4.9,0,8,1,1
01.01.2019 09:00:00,4.0,34.0,17.2,0,0.23,0,2.5,6.9,9.4,6.0,0,79.0,1.3,0,359.0,358.0,5.7,5.5,0,9,1,1
01.01.2019 10:00:00,2.0,34.0,18.1,0,0.24,0,2.8,7.1,9.9,7.0,0,76.0,1.2,0,360.0,354.0,6.2,5.6,0,10,1,1
