日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018/01/01,竹山,AMB_TEMP,14.9,14.9,14.7,14.4,14.3,14.1,13.8,14.1,15.4,17.9,19.9,21.4,22.7,23.8,24.4,24.3,22.7,20.5,19.4,18.7,17.7,17,16.9,16.5
2018/01/01,竹山,CO,0.81,0.75,0.66,0.6,0.57,0.59,0.53,0.62,0.66,0.7,0.6,0.54,0.53,0.49,0.45,0.42,0.44,0.51,0.58,0.57,0.63,0.61,0.53,0.54
2018/01/01,竹山,NO,1.6,2.4,2.3,2,2.1,2,2.7,6.7,9.1,8.1,4.5,3.2,2.7,2.3,2.4,2.5,2.4,2.6,2.6,2.6,2.6,3.2,2.8,3.6
2018/01/01,竹山,NO2,23,19,17,18,17,16,17,17,14,13,9.7,8.3,8.5,8.3,8,8.5,12,14,18,18,20,23,16,16
2018/01/01,竹山,NOx,24,22,20,20,19,18,19,24,23,21,14,11,11,11,10,11,14,17,20,20,22,26,19,20
2018/01/01,竹山,O3,6.1,7.4,11,10,11,7.8,10,9,12,20,35,54,67,74,78,77,64,48,35,29,19,11,13,7
2018/01/01,竹山,PM10,79,73,63,59,58,67,54,55,63,69,77,80,72,78,64,82,83,91,106,93,78,69,61,60
2018/01/01,竹山,PM2.5,69,68,56,47,46,46,41,39,42,53,57,57,56,49,45,45,48,50,56,63,60,46,38,38
2018/01/01,竹山,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2018/01/01,竹山,RH,81,81,80,81,80,82,82,82,79,73,67,62,58,54,52,51,59,69,75,77,81,82,82,84
2018/01/01,竹山,SO2,2.1,1.9,1.8,2.2,2,1.8,1.8,1.8,2.1,2.5,2.5,2.4,2.5,2.5,2.1,2.3,2,1.8,1.7,1.9,1.4,1.3,1.3,1.2
2018/01/01,竹山,WD_HR,39,22,37,5.3,62,33,56,87,50,346,330,329,325,325,333,313,299,285,312,355,300,165,141,145
