日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2017/01/01,線西,AMB_TEMP,19,18,18,18,17,17,17,17,18,21,23,23,23,23,23,22,21,21,20,20,20,20,20,20
2017/01/01,線西,CH4,1.9,2,2.1,2.2,2.1,2.2,2.2,2.2,2.3,2.1,2,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
2017/01/01,線西,CO,0.34,0.42,0.7,0.81,0.68,0.71,0.74,0.81,0.86,0.9,0.72,0.37,0.21,0.19,0.22,0.46,0.62,0.42,0.24,0.25,0.19,0.21,0.17,0.24
2017/01/01,線西,NMHC,0.1,0.14,0.28,0.32,0.29,0.26,0.26,0.28,0.31,0.3,0.18,0.08,0.01,0,0.01,0,0.01,0.02,0.02,0.01,0.01,0.02,0,0.04
2017/01/01,線西,NO,2.4,2.7,10,22,16,16,18,22,26,19,7,2.1,0.9,0.7,0.9,0.5,0.6,0.1,-0.4,0.3,0.3,0.3,0.1,0.4
2017/01/01,線西,NO2,20,22,23,21,21,19,19,17,23,31,26,13,7.3,7.6,8.4,11,14,12,13,11,10,12,6.4,12
2017/01/01,線西,NOx,22,25,33,43,37,35,37,39,49,50,33,15,8.2,8.3,9.3,12,14,12,12,12,11,13,6.5,12
2017/01/01,線西,O3,12,7.1,2.8,2,2.4,1.9,2.2,3.2,5.9,15,30,46,48,48,48,44,41,39,34,35,34,28,37,24
2017/01/01,線西,PM10,55,62,67,65,62,56,60,68,82,105,112,96,63,48,58,61,57,54,59,61,56,59,61,64
2017/01/01,線西,PM2.5,20,31,37,37,32,36,45,44,50,60,61,45,27,22,26,29,29,30,25,22,22,20,18,24
2017/01/01,線西,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2017/01/01,線西,RH,90,91,92,92,92,92,92,92,91,82,73,67,70,73,76,81,84,87,91,92,91,92,91,92
2017/01/01,線西,SO2,3.5,2.4,2.1,2.7,2.2,1.8,1.7,1.7,3.1,8.3,7,4.5,4.4,5.2,5.9,6.9,6.9,4.2,3.6,4.1,3,2.7,1.7,2.5
2017/01/01,線西,THC,2,2.1,2.4,2.5,2.4,2.4,2.5,2.5,2.6,2.4,2.2,2,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
2017/01/01,線西,WD_HR,27,124,143,106,97,82,86,66,74,57,345,80,94,80,65,45,45,43,62,43,43,30,43,50
2017/01/01,線西,WIND_DIREC,29,156,130,58,103,67,81,62,45,87,314,79,52,81,45,43,42,48,43,39,47,56,40,118
2017/01/01,線西,WIND_SPEED,0.4,1.2,0.4,0.4,1.6,1.5,0.7,1.2,1.1,1.1,2.5,4.6,4.6,5.2,5.6,5.3,4.1,3.6,2.7,3.3,1.5,2.1,1.3,0.9
2017/01/01,線西,WS_HR,0.6,0.8,0.8,0.4,1,1.1,0.6,0.7,0.5,1.1,0.8,0.8,1.7,2.2,2.9,4.6,3.9,3,0.7,2.1,1.7,0.7,1.3,0.3
2017/01/02,線西,AMB_TEMP,20,20,20,20,20,20,20,20,21,22,23,23,22,22,21,22,22,21,20,21,21,20,20,19
2017/01/02,線西,CH4,1.9,1.9,2.1,2.1,2.1,2,2,2,1.9,1.9,1.9,1.9,1.9,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2
2017/01/02,線西,CO,0.35,0.4,0.53,0.54,0.54,0.46,0.49,0.54,0.39,0.26,0.26,0.22,0.2,0.21,0.42,0.56,0.64,0.39,0.39,0.49,0.42,0.35,0.31,0.45
2017/01/02,線西,NMHC,0.09,0.11,0.18,0.17,0.16,0.1,0.1,0.12,0.07,0.04,0.02,0,-0.01,-0.01,0,0.01,0.02,0.04,0.06,0.07,0.03,0.05,0.06,0.18
2017/01/02,線西,NO,0.2,0.2,0.5,2,2.2,2.4,2.3,3.1,3.2,3.6,3.6,2.6,2,2.1,2.3,2.8,2.9,2.4,2,2,2.2,2,2.3,2.6
2017/01/02,線西,NO2,20,21,21,17,16,12,13,16,12,12,9.7,5.3,2.8,3.5,6.9,11,15,18,21,17,13,12,17,23
