Date Time,PM2.5,O3,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,PM10,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,DAY_OF_YEAR,HOUR,WEEKDAY,MONTH
01.01.2015 01:00:00,78.0,0,16.0,2.0,1.67,0.45,52.0,38.0,90.0,188.0,0,58.0,9.3,2.5,0,0,0,0,0,1,3,1
01.01.2015 02:00:00,76.0,0,16.0,2.0,1.75,0.47,41.0,37.0,77.0,202.0,0,58.0,8.0,2.5,0,0,0,0,0,2,3,1
01.01.2015 03:00:00,72.0,0,15.0,2.0,1.43,0.35,41.0,35.0,76.0,193.0,0,58.0,7.0,2.4,0,0,0,0,0,3,3,1
01.01.2015 04:00:00,61.0,0,15.0,2.0,1.2,0.32,38.0,33.0,70.0,166.0,0,59.0,6.0,2.3,0,0,0,0,0,4,3,1
01.01.2015 05:00:00,48.0,0,15.0,2.0,0.92,0.25,29.0,29.0,58.0,148.0,0,59.0,5.5,2.2,0,0,0,0,0,5,3,1
01.01.2015 06:00:00,41.0,0,14.0,2.0,1.21,0.3,59.0,37.0,96.0,131.0,0,58.0,6.0,2.3,0,0,0,0,0,6,3,1
01.01.2015 07:00:00,37.0,0,14.0,2.0,1.61,0.44,85.0,41.0,126.0,120.0,0,58.0,6.7,2.4,0,0,0,0,0,7,3,1
01.01.2015 08:00:00,39.0,0,14.0,2.0,1.84,0.52,94.0,39.0,133.0,125.0,0,57.0,7.4,2.5,0,0,0,0,0,8,3,1
01.01.2015 09:00:00,45.0,0,15.0,2.0,1.58,0.47,91.0,38.0,129.0,125.0,0,53.0,7.9,2.4,0,0,0,0,0,9,3,1
01.01.2015 10:00:00,45.0,0,15.0,2.0,1.49,0.45,76.0,36.0,112.0,124.0,0,49.0,7.3,2.4,0,0,0,0,0,10,3,1
01.01.2015 11:00:00,49.0,0,16.0,1.9,1.51,0.48,75.0,35.0,110.0,114.0,0,46.0,6.2,2.4,0,0,0,0,0,11,3,1
01.01.2015 12:00:00,43.0,0,16.0,1.9,1.6,0.57,66.0,37.0,103.0,105.0,0,44.0,5.6,2.5,0,0,0,0,0,12,3,1
01.01.2015 13:00:00,40.0,0,16.0,1.9,1.28,0.43,56.0,35.0,91.0,97.0,0,43.0,4.8,2.4,0,0,0,0,0,13,3,1
01.01.2015 14:00:00,30.0,0,16.0,1.9,1.46,0.49,62.0,36.0,98.0,87.0,0,44.0,4.4,2.4,0,0,0,0,0,14,3,1
01.01.2015 15:00:00,29.0,0,15.0,1.9,1.58,0.52,79.0,41.0,121.0,90.0,0,45.0,4.5,2.4,0,0,0,0,0,15,3,1
01.01.2015 16:00:00,20.0,0,14.0,1.9,1.53,0.48,78.0,37.0,115.0,89.0,0,48.0,4.5,2.4,0,0,0,0,0,16,3,1
01.01.2015 17:00:00,19.0,0,14.0,1.9,1.73,0.56,93.0,41.0,134.0,87.0,0,49.0,4.7,2.5,0,0,0,0,0,17,3,1
01.01.2015 18:00:00,18.0,0,13.0,1.9,1.88,0.66,93.0,42.0,135.0,77.0,0,50.0,4.6,2.6,0,0,0,0,0,18,3,1
01.01.2015 19:00:00,16.0,0,13.0,1.9,1.71,0.66,88.0,43.0,130.0,69.0,0,51.0,4.2,2.6,0,0,0,0,0,19,3,1
01.01.2015 20:00:00,15.0,0,13.0,2.0,1.63,0.57,81.0,39.0,120.0,66.0,0,51.0,3.9,2.6,0,0,0,0,0,20,3,1
01.01.2015 21:00:00,10.0,0,13.0,1.9,1.51,0.48,69.0,37.0,106.0,61.0,0,53.0,3.5,2.4,0,0,0,0,0,21,3,1
01.01.2015 22:00:00,9.0,0,13.0,1.9,1.6,0.59,89.0,38.0,127.0,58.0,0,53.0,3.8,2.5,0,0,0,0,0,22,3,1
01.01.2015 23:00:00,12.0,0,13.0,2.0,1.72,0.56,77.0,37.0,115.0,55.0,0,52.0,3.6,2.5,0,0,0,0,0,23,3,1
01.01.2015 24:00:00,6.0,0,13.0,2.0,1.42,0.44,58.0,35.0,93.0,54.0,0,55.0,3.2,2.5,0,0,0,0,0,24,3,1
02.01.2015 01:00:00,11.0,0,13.0,2.0,1.1,0.36,34.0,30.0,63.0,60.0,0,56.0,3.1,2.4,0,0,0,0,1,1,4,1
02.01.2015 02:00:00,11.0,0,13.0,2.0,0.66,0.18,23.0,28.0,50.0,56.0,0,56.0,2.9,2.2,0,0,0,0,1,2,4,1
02.01.2015 03:00:00,11.0,0,13.0,2.1,0.54,0.16,12.0,19.0,31.0,58.0,0,56.0,2.3,2.2,0,0,0,0,1,3,4,1
02.01.2015 04:00:00,8.0,0,13.0,2.0,0.55,0.17,23.0,22.0,45.0,53.0,0,57.0,2.5,2.2,0,0,0,0,1,4,4,1
02.01.2015 05:00:00,5.0,0,13.0,1.9,0.67,0.28,29.0,25.0,54.0,55.0,0,58.0,2.6,2.2,0,0,0,0,1,5,4,1
02.01.2015 06:00:00,11.0,0,13.0,2.1,0.99,0.27,37.0,29.0,66.0,60.0,0,57.0,2.9,2.3,0,0,0,0,1,6,4,1
