Date Time,PM2.5,O3,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,PM10,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,DAY_OF_YEAR,HOUR,WEEKDAY,MONTH
01.01.2015 01:00:00,71.0,46.0,16.0,0,0.71,0,1.4,11.0,12.0,159.0,0,59.0,9.6,0,81.0,84.0,2.6,2.6,0,1,3,1
01.01.2015 02:00:00,68.0,45.0,16.0,0,0.68,0,1.3,11.0,12.0,177.0,0,58.0,8.2,0,81.0,98.0,2.2,2.1,0,2,3,1
01.01.2015 03:00:00,65.0,45.0,16.0,0,0.63,0,1.6,9.7,11.0,177.0,0,59.0,7.2,0,81.0,75.0,2.0,2.0,0,3,3,1
01.01.2015 04:00:00,58.0,44.0,15.0,0,0.56,0,3.8,9.2,13.0,152.0,0,59.0,6.1,0,88.0,87.0,2.0,1.9,0,4,3,1
01.01.2015 05:00:00,53.0,42.0,15.0,0,0.47,0,3.4,9.1,13.0,125.0,0,60.0,5.7,0,74.0,86.0,2.1,1.4,0,5,3,1
01.01.2015 06:00:00,47.0,42.0,14.0,0,0.45,0,3.6,9.4,13.0,98.0,0,58.0,6.0,0,82.0,94.0,1.8,1.6,0,6,3,1
01.01.2015 07:00:00,47.0,38.0,14.0,0,0.48,0,4.2,11.0,15.0,90.0,0,59.0,6.2,0,84.0,89.0,1.4,1.5,0,7,3,1
01.01.2015 08:00:00,44.0,34.0,14.0,0,0.52,0,4.2,12.0,16.0,93.0,0,57.0,6.9,0,80.0,54.0,1.8,1.4,0,8,3,1
01.01.2015 09:00:00,42.0,34.0,14.0,0,0.52,0,4.7,12.0,17.0,101.0,0,55.0,7.2,0,55.0,73.0,2.3,1.9,0,9,3,1
01.01.2015 10:00:00,44.0,36.0,14.0,0,0.5,0,4.7,12.0,16.0,103.0,0,52.0,6.6,0,48.0,98.0,1.7,1.6,0,10,3,1
01.01.2015 11:00:00,42.0,40.0,14.0,0,0.46,0,5.2,10.0,16.0,102.0,0,51.0,5.6,0,46.0,45.0,3.5,2.2,0,11,3,1
01.01.2015 12:00:00,38.0,44.0,14.0,0,0.41,0,4.7,9.4,14.0,90.0,0,50.0,4.8,0,45.0,39.0,4.5,2.5,0,12,3,1
01.01.2015 13:00:00,36.0,46.0,14.0,0,0.37,0,4.6,9.2,14.0,84.0,0,50.0,3.9,0,54.0,50.0,4.2,2.9,0,13,3,1
01.01.2015 14:00:00,29.0,47.0,14.0,0,0.35,0,4.8,9.5,14.0,72.0,0,50.0,3.6,0,57.0,62.0,2.7,2.1,0,14,3,1
01.01.2015 15:00:00,28.0,46.0,13.0,0,0.35,0,4.3,9.2,13.0,80.0,0,52.0,3.8,0,49.0,33.0,3.5,2.0,0,15,3,1
01.01.2015 16:00:00,23.0,39.0,13.0,0,0.38,0,4.8,11.0,16.0,70.0,0,53.0,3.5,0,89.0,81.0,3.0,2.0,0,16,3,1
01.01.2015 17:00:00,23.0,41.0,13.0,0,0.35,0,4.2,11.0,15.0,67.0,0,52.0,3.1,0,103.0,95.0,2.2,2.8,0,17,3,1
01.01.2015 18:00:00,23.0,37.0,13.0,0,0.36,0,4.2,14.0,18.0,52.0,0,53.0,2.9,0,84.0,77.0,3.0,1.9,0,18,3,1
01.01.2015 19:00:00,19.0,41.0,12.0,0,0.28,0,4.5,11.0,15.0,48.0,0,53.0,2.6,0,99.0,107.0,3.1,2.4,0,19,3,1
01.01.2015 20:00:00,15.0,38.0,12.0,0,0.27,0,4.0,11.0,15.0,41.0,0,54.0,2.4,0,98.0,92.0,2.3,2.4,0,20,3,1
01.01.2015 21:00:00,7.0,38.0,13.0,0,0.23,0,3.7,9.0,13.0,32.0,0,55.0,2.1,0,92.0,94.0,2.7,2.5,0,21,3,1
01.01.2015 22:00:00,6.0,37.0,13.0,0,0.24,0,4.0,9.3,13.0,40.0,0,54.0,2.1,0,80.0,88.0,2.2,2.0,0,22,3,1
01.01.2015 23:00:00,6.0,37.0,13.0,0,0.23,0,3.8,9.1,13.0,46.0,0,53.0,2.0,0,94.0,102.0,2.4,1.8,0,23,3,1
01.01.2015 24:00:00,14.0,40.0,13.0,0,0.22,0,4.1,7.6,12.0,58.0,0,57.0,2.1,0,98.0,105.0,2.1,1.9,0,24,3,1
02.01.2015 01:00:00,17.0,43.0,13.0,0,0.21,0,3.5,5.6,9.1,50.0,0,57.0,2.2,0,99.0,111.0,2.3,1.7,1,1,4,1
02.01.2015 02:00:00,15.0,43.0,13.0,0,0.2,0,3.8,4.4,8.2,51.0,0,57.0,1.8,0,109.0,103.0,1.9,1.8,1,2,4,1
02.01.2015 03:00:00,11.0,44.0,13.0,0,0.2,0,3.0,4.2,7.3,48.0,0,57.0,1.6,0,91.0,89.0,1.7,1.7,1,3,4,1
02.01.2015 04:00:00,12.0,44.0,13.0,0,0.19,0,0.9,3.4,4.3,50.0,0,58.0,1.8,0,93.0,82.0,1.9,1.7,1,4,4,1
02.01.2015 05:00:00,16.0,43.0,13.0,0,0.19,0,0.1,3.5,3.6,41.0,0,57.0,1.8,0,80.0,76.0,1.7,1.5,1,5,4,1
02.01.2015 06:00:00,17.0,41.0,13.0,0,0.21,0,0.1,4.8,5.0,35.0,0,56.0,1.7,0,101.0,109.0,2.2,1.5,1,6,4,1
02.01.2015 07:00:00,15.0,40.0,13.0,0,0.22,0,0.6,6.0,6.6,26.0,0,58.0,1.6,0,113.0,111.0,1.8,2.0,1,7,4,1
02.01.2015 08:00:00,14.0,38.0,13.0,0,0.25,0,0.6,7.7,8.3,30.0,0,58.0,1.9,0,111.0,109.0,2.6,2.4,1,8,4,1
02.01.2015 09:00:00,17.0,34.0,14.0,0,0.3,0,1.8,11.0,13.0,33.0,0,56.0,3.2,0,114.0,120.0,2.0,2.1,1,9,4,1
02.01.2015 10:00:00,16.0,37.0,15.0,0,0.26,0,3.0,9.4,12.0,45.0,0,53.0,2.4,0,86.0,82.0,3.2,2.9,1,10,4,1
02.01.2015 11:00:00,14.0,37.0,16.0,0,0.25,0,3.6,9.6,13.0,45.0,0,52.0,2.0,0,75.0,77.0,3.3,3.1,1,11,4,1
02.01.2015 12:00:00,7.0,38.0,16.0,0,0.24,0,3.9,9.6,14.0,51.0,0,51.0,1.5,0,74.0,77.0,3.6,3.3,1,12,4,1
02.01.2015 13:00:00,6.0,39.0,17.0,0,0.25,0,3.8,10.0,14.0,58.0,0,49.0,1.7,0,82.0,82.0,3.1,2.6,1,13,4,1
02.01.2015 14:00:00,11.0,40.0,17.0,0,0.23,0,3.9,10.0,14.0,62.0,0,51.0,1.7,0,73.0,71.0,4.1,3.1,1,14,4,1
02.01.2015 15:00:00,17.0,41.0,16.0,0,0.23,0,2.3,9.0,11.0,55.0,0,52.0,1.6,0,79.0,90.0,3.9,3.5,1,15,4,1
02.01.2015 16:00:00,20.0,40.0,16.0,0,0.23,0,3.3,11.0,14.0,52.0,0,54.0,2.3,0,73.0,76.0,3.9,3.5,1,16,4,1
02.01.2015 17:00:00,18.0,42.0,15.0,0,0.23,0,1.9,9.1,11.0,46.0,0,56.0,2.2,0,88.0,89.0,3.1,3.3,1,17,4,1
02.01.2015 18:00:00,20.0,40.0,15.0,0,0.26,0,1.6,12.0,13.0,49.0,0,57.0,2.0,0,95.0,94.0,3.1,2.8,1,18,4,1
02.01.2015 19:00:00,16.0,39.0,15.0,0,0.25,0,1.8,11.0,13.0,39.0,0,56.0,1.6,0,92.0,93.0,2.4,2.6,1,19,4,1
02.01.2015 20:00:00,15.0,40.0,14.0,0,0.24,0,0.6,9.4,10.0,32.0,0,57.0,1.5,0,113.0,110.0,2.4,2.7,1,20,4,1
02.01.2015 21:00:00,9.0,39.0,14.0,0,0.23,0,0.4,9.7,10.0,27.0,0,57.0,1.8,0,112.0,117.0,2.5,2.6,1,21,4,1
02.01.2015 22:00:00,10.0,38.0,14.0,0,0.25,0,0.1,11.0,11.0,30.0,0,58.0,3.6,0,118.0,116.0,2.8,2.3,1,22,4,1
02.01.2015 23:00:00,9.0,39.0,14.0,0,0.22,0,0.3,10.0,10.0,37.0,0,58.0,5.0,0,112.0,105.0,3.1,2.9,1,23,4,1
02.01.2015 24:00:00,12.0,42.0,14.0,0,0.2,0,0.4,7.6,8.0,36.0,0,57.0,3.5,0,102.0,107.0,3.0,2.6,1,24,4,1
03.01.2015 01:00:00,10.0,44.0,14.0,0,0.18,0,0.2,5.6,5.7,28.0,0,57.0,3.2,0,99.0,84.0,2.5,2.5,2,1,5,1
03.01.2015 02:00:00,11.0,44.0,14.0,0,0.15,0,0.4,4.8,5.1,33.0,0,56.0,4.4,0,104.0,105.0,3.1,2.6,2,2,5,1
03.01.2015 03:00:00,8.0,45.0,14.0,0,0.15,0,0.2,3.4,3.6,32.0,0,59.0,1.5,0,110.0,102.0,2.7,2.5,2,3,5,1
03.01.2015 04:00:00,10.0,46.0,14.0,0,0.13,0,0.444,6.92,13.206,33.0,0,59.0,1.6,0,136.0,148.0,3.0,2.1,2,4,5,1
03.01.2015 05:00:00,5.0,44.0,14.0,0,0.14,0,0.4,3.8,4.2,31.0,0,60.0,2.7,0,123.0,113.0,3.3,2.8,2,5,5,1
03.01.2015 06:00:00,2.0,43.0,14.0,0,0.15,0,0.0,4.8,4.8,27.0,0,60.0,3.2,0,115.0,119.0,2.9,3.1,2,6,5,1
03.01.2015 07:00:00,4.0,43.0,14.0,0,0.16,0,0.4,5.3,5.7,27.0,0,60.0,2.0,0,120.0,117.0,2.5,2.7,2,7,5,1
03.01.2015 08:00:00,6.0,42.0,15.0,0,0.2,0,0.2,7.1,7.3,25.0,0,57.0,1.4,0,114.0,111.0,2.8,2.6,2,8,5,1
03.01.2015 09:00:00,12.0,41.0,16.0,0,0.19,0,2.0,7.9,9.9,28.0,0,56.0,3.2,0,103.0,101.0,3.3,2.8,2,9,5,1
03.01.2015 10:00:00,11.0,40.0,18.0,0,0.2,0,3.0,9.1,12.0,28.0,0,54.0,4.4,0,99.0,93.0,3.3,2.8,2,10,5,1
03.01.2015 11:00:00,9.0,41.0,19.0,0,0.2,0,2.8,9.4,12.0,19.0,0,52.0,1.9,0,100.0,111.0,2.9,2.5,2,11,5,1
03.01.2015 12:00:00,4.0,40.0,20.0,0,0.22,0,3.0,10.0,13.0,27.0,0,50.0,1.7,0,100.0,98.0,2.1,2.4,2,12,5,1
03.01.2015 13:00:00,0.0,44.0,20.0,0,0.2,0,1.9,7.3,9.2,23.0,0,48.0,1.5,0,114.0,110.0,2.6,2.5,2,13,5,1
03.01.2015 14:00:00,3.0,45.0,20.0,0,0.21,0,1.9,7.5,9.4,35.0,0,48.0,1.5,0,117.0,115.0,3.5,2.9,2,14,5,1
