Date Time,PM2.5,O3,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,PM10,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,DAY_OF_YEAR,HOUR,WEEKDAY,MONTH
01.01.2015 01:00:00,70.0,0,0,2.1,1.14,0.23,8.3,25.0,33.0,169.0,0,0,9.8,2.3,0,0,0,0,0,1,3,1
01.01.2015 02:00:00,72.0,0,0,2.1,1.2,0.27,9.0,26.0,35.0,178.0,0,0,7.8,2.3,0,0,0,0,0,2,3,1
01.01.2015 03:00:00,67.0,0,0,2.1,0.98,0.2,7.7,23.0,31.0,173.0,0,0,6.5,2.3,0,0,0,0,0,3,3,1
01.01.2015 04:00:00,63.0,0,0,2.0,0.81,0.15,6.2,14.0,21.0,157.0,0,0,5.6,2.2,0,0,0,0,0,4,3,1
01.01.2015 05:00:00,50.0,0,0,2.0,0.57,0.12,5.4,13.0,18.0,141.0,0,0,5.0,2.1,0,0,0,0,0,5,3,1
01.01.2015 06:00:00,47.0,0,0,2.0,0.61,0.13,10.0,15.0,25.0,121.0,0,0,5.5,2.1,0,0,0,0,0,6,3,1
01.01.2015 07:00:00,41.0,0,0,2.0,0.73,0.18,23.0,27.0,50.0,110.0,0,0,6.2,2.2,0,0,0,0,0,7,3,1
01.01.2015 08:00:00,41.0,0,0,2.0,0.88,0.2,27.0,29.0,56.0,102.0,0,0,6.7,2.2,0,0,0,0,0,8,3,1
01.01.2015 09:00:00,41.0,0,0,2.0,0.76,0.16,25.0,24.0,49.0,120.0,0,0,6.5,2.2,0,0,0,0,0,9,3,1
01.01.2015 10:00:00,39.0,0,0,2.0,0.77,0.18,22.0,21.0,42.0,138.0,0,0,5.8,2.2,0,0,0,0,0,10,3,1
01.01.2015 11:00:00,38.0,0,0,2.0,0.73,0.16,27.0,23.0,49.0,146.0,0,0,5.2,2.1,0,0,0,0,0,11,3,1
01.01.2015 12:00:00,36.0,0,0,2.0,0.76,0.18,26.0,25.0,50.0,127.0,0,0,4.4,2.1,0,0,0,0,0,12,3,1
01.01.2015 13:00:00,32.0,0,0,2.0,0.68,0.17,21.0,23.0,44.0,110.0,0,0,3.7,2.1,0,0,0,0,0,13,3,1
01.01.2015 14:00:00,35.0,0,0,1.9,0.58,0.12,20.0,22.0,42.0,97.0,0,0,3.4,2.1,0,0,0,0,0,14,3,1
01.01.2015 15:00:00,22.0,0,0,1.9,0.65,0.15,21.0,24.0,45.0,88.0,0,0,3.3,2.1,0,0,0,0,0,15,3,1
01.01.2015 16:00:00,23.0,0,0,2.0,0.66,0.18,24.0,25.0,49.0,81.0,0,0,3.3,2.1,0,0,0,0,0,16,3,1
01.01.2015 17:00:00,16.0,0,0,2.0,0.71,0.2,26.0,27.0,52.0,71.0,0,0,3.4,2.2,0,0,0,0,0,17,3,1
01.01.2015 18:00:00,17.0,0,0,2.0,0.83,0.23,29.0,27.0,55.0,72.0,0,0,3.5,2.2,0,0,0,0,0,18,3,1
01.01.2015 19:00:00,16.0,0,0,2.0,0.71,0.2,29.0,29.0,58.0,67.0,0,0,3.2,2.2,0,0,0,0,0,19,3,1
01.01.2015 20:00:00,9.0,0,0,2.0,0.8,0.25,36.0,33.0,69.0,65.0,0,0,3.3,2.2,0,0,0,0,0,20,3,1
01.01.2015 21:00:00,12.0,0,0,2.0,0.72,0.21,47.0,35.0,82.0,59.0,0,0,3.3,2.2,0,0,0,0,0,21,3,1
01.01.2015 22:00:00,5.0,0,0,2.0,0.84,0.26,41.0,31.0,72.0,62.0,0,0,3.3,2.2,0,0,0,0,0,22,3,1
01.01.2015 23:00:00,5.0,0,0,2.0,1.08,0.29,53.0,34.0,87.0,65.0,0,0,3.6,2.3,0,0,0,0,0,23,3,1
01.01.2015 24:00:00,1.0,0,0,2.0,1.19,0.3,43.0,31.0,75.0,65.0,0,0,3.4,2.3,0,0,0,0,0,24,3,1
02.01.2015 01:00:00,6.0,0,0,2.0,0.55,0.15,11.0,20.0,30.0,58.0,0,0,2.3,2.2,0,0,0,0,1,1,4,1
02.01.2015 02:00:00,8.0,0,0,2.0,0.51,0.15,7.3,15.0,22.0,54.0,0,0,2.2,2.2,0,0,0,0,1,2,4,1
02.01.2015 03:00:00,12.0,0,0,2.0,0.37,0.08,5.7,11.0,16.0,50.0,0,0,2.1,2.1,0,0,0,0,1,3,4,1
02.01.2015 04:00:00,10.0,0,0,2.0,0.31,0.08,2.6,9.2,12.0,47.0,0,0,2.7,2.1,0,0,0,0,1,4,4,1
02.01.2015 05:00:00,14.0,0,0,2.0,0.28,0.07,3.6,9.1,13.0,47.0,0,0,1.9,2.1,0,0,0,0,1,5,4,1
02.01.2015 06:00:00,12.0,0,0,2.1,0.35,0.1,5.7,17.0,22.0,43.0,0,0,2.2,2.2,0,0,0,0,1,6,4,1
02.01.2015 07:00:00,10.0,0,0,2.1,0.58,0.18,27.0,30.0,57.0,46.0,0,0,2.9,2.3,0,0,0,0,1,7,4,1
