Date Time,PM2.5,O3,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,PM10,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,DAY_OF_YEAR,HOUR,WEEKDAY,MONTH
01.01.2015 01:00:00,55.0,39.0,16.0,0,0.74,0,4.6,22.0,27.0,129.0,0,63.0,11.0,0,79.0,76.0,8.1,8.5,0,1,3,1
01.01.2015 02:00:00,60.0,44.0,15.0,0,0.63,0,1.3,13.0,14.0,156.0,0,62.0,7.8,0,78.0,78.0,8.0,8.2,0,2,3,1
01.01.2015 03:00:00,60.0,43.0,15.0,0,0.61,0,1.1,11.0,12.0,155.0,0,65.0,7.1,0,76.0,75.0,7.1,7.2,0,3,3,1
01.01.2015 04:00:00,58.0,42.0,15.0,0,0.55,0,0.9,9.5,10.0,145.0,0,66.0,6.2,0,79.0,79.0,8.1,7.7,0,4,3,1
01.01.2015 05:00:00,55.0,39.0,14.0,0,0.47,0,1.6,11.0,13.0,129.0,0,65.0,6.4,0,80.0,82.0,8.8,8.5,0,5,3,1
01.01.2015 06:00:00,44.0,40.0,14.0,0,0.47,0,1.6,9.7,11.0,109.0,0,64.0,5.7,0,82.0,83.0,8.8,8.1,0,6,3,1
01.01.2015 07:00:00,42.0,34.0,14.0,0,0.49,0,2.0,14.0,16.0,102.0,0,64.0,6.4,0,81.0,82.0,8.2,7.7,0,7,3,1
01.01.2015 08:00:00,38.0,32.0,14.0,0,0.53,0,3.3,16.0,19.0,92.0,0,61.0,7.1,0,82.0,80.0,7.6,7.8,0,8,3,1
01.01.2015 09:00:00,45.0,34.0,14.0,0,0.54,0,3.1,14.0,17.0,102.0,0,58.0,7.2,0,85.0,87.0,8.3,8.6,0,9,3,1
01.01.2015 10:00:00,38.0,34.0,15.0,0,0.56,0,6.7,18.0,25.0,108.0,0,54.0,7.7,0,80.0,72.0,9.2,9.0,0,10,3,1
01.01.2015 11:00:00,41.0,35.0,15.0,0,0.51,0,8.8,20.0,29.0,111.0,0,53.0,7.2,0,73.0,67.0,9.9,8.9,0,11,3,1
01.01.2015 12:00:00,35.0,43.0,15.0,0,0.43,0,4.4,14.0,18.0,110.0,0,51.0,5.4,0,71.0,73.0,9.4,9.8,0,12,3,1
