Date Time,PM2.5,O3,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,PM10,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,DAY_OF_YEAR,HOUR,WEEKDAY,MONTH
01.01.2019 01:00:00,5.0,37.0,15.6,0,0.25,0,0.5,3.6,4.1,10.0,2.0,94.0,1.7,0,8.9,333.0,0.8,0.6,0,1,1,1
01.01.2019 02:00:00,7.0,37.0,15.6,0,0.2,0,0.2,2.8,3.0,9.0,5.4,94.0,1.4,0,282.0,264.0,0.8,0.5,0,2,1,1
01.01.2019 03:00:00,5.0,38.0,15.6,0,0.19,0,0.2,1.8,2.0,8.0,3.8,94.0,1.4,0,210.0,278.0,0.7,0.4,0,3,1,1
01.01.2019 04:00:00,3.0,38.0,15.6,0,0.19,0,0.0,1.8,1.8,7.0,9.2,95.0,1.4,0,236.0,201.0,1.1,0.7,0,4,1,1
01.01.2019 05:00:00,5.0,38.0,15.6,0,0.19,0,0.2,0.9,1.2,7.0,8.0,95.0,1.3,0,213.0,216.0,0.8,0.6,0,5,1,1
01.01.2019 06:00:00,5.0,39.0,15.6,0,0.19,0,0.0,1.7,1.7,9.0,3.4,95.0,1.3,0,289.0,279.0,0.9,0.3,0,6,1,1
01.01.2019 07:00:00,2.0,39.0,15.6,0,0.2,0,0.1,1.7,1.8,7.0,7.8,95.0,1.3,0,254.0,191.0,0.9,0.6,0,7,1,1
01.01.2019 08:00:00,3.0,37.0,15.7,0,0.26,0,0.1,2.8,2.9,9.0,7.2,95.0,1.3,0,312.0,209.0,0.5,0.3,0,8,1,1
01.01.2019 09:00:00,4.0,34.0,15.9,0,0.32,0,0.2,6.9,7.1,10.0,8.2,95.0,1.5,0,25.0,29.0,1.0,0.2,0,9,1,1
01.01.2019 10:00:00,4.0,36.0,16.0,0,0.29,0,0.4,6.0,6.4,9.0,7.0,95.0,1.5,0,16.0,7.6,1.3,0.6,0,10,1,1
01.01.2019 11:00:00,2.0,38.0,16.0,0,0.28,0,0.3,5.1,5.4,10.0,3.4,95.0,1.5,0,32.0,36.0,2.0,1.2,0,11,1,1
01.01.2019 12:00:00,1.0,39.0,16.1,0,0.28,0,0.4,4.3,4.7,12.0,0.8,94.0,1.6,0,37.0,61.0,1.6,1.2,0,12,1,1
01.01.2019 13:00:00,5.0,39.0,16.2,0,0.28,0,0.5,4.6,5.0,15.0,1.4,93.0,1.6,0,34.0,35.0,1.5,1.3,0,13,1,1
01.01.2019 14:00:00,9.0,39.0,16.1,0,0.28,0,0.5,4.8,5.2,10.0,3.8,92.0,1.5,0,34.0,44.0,1.3,1.1,0,14,1,1
01.01.2019 15:00:00,5.0,37.0,16.3,0,0.29,0,0.6,5.9,6.5,9.0,3.0,93.0,1.5,0,25.0,348.0,0.9,0.8,0,15,1,1
01.01.2019 16:00:00,5.0,36.0,16.4,0,0.29,0,0.4,6.8,7.2,10.0,3.6,93.0,1.5,0,28.0,33.0,1.7,0.8,0,16,1,1
01.01.2019 17:00:00,5.0,38.0,16.1,0,0.27,0,0.1,5.7,5.8,12.0,4.0,93.0,1.6,0,35.0,60.0,1.3,1.1,0,17,1,1
01.01.2019 18:00:00,3.0,38.0,15.9,0,0.29,0,0.1,6.3,6.4,8.0,2.6,93.0,1.7,0,39.0,33.0,1.9,1.3,0,18,1,1
01.01.2019 19:00:00,4.0,38.0,15.6,0,0.28,0,0.0,5.6,5.6,10.0,2.2,93.0,1.5,0,20.0,345.0,1.2,1.1,0,19,1,1
01.01.2019 20:00:00,8.0,35.0,15.6,0,0.31,0,0.3,6.9,7.2,13.0,4.8,93.0,1.4,0,276.0,291.0,1.1,0.6,0,20,1,1
01.01.2019 21:00:00,7.0,37.0,15.5,0,0.25,0,0.3,4.4,4.7,9.0,5.2,94.0,1.5,0,263.0,282.0,1.1,0.7,0,21,1,1
01.01.2019 22:00:00,6.0,37.0,15.6,0,0.24,0,0.1,3.2,3.3,8.0,9.8,94.0,1.5,0,264.0,215.0,0.7,0.7,0,22,1,1
01.01.2019 23:00:00,5.0,37.0,15.7,0,0.26,0,0.2,4.0,4.2,6.0,9.2,95.0,1.5,0,260.0,187.0,0.8,0.4,0,23,1,1
01.01.2019 24:00:00,2.0,38.0,15.8,0,0.24,0,0.2,3.8,4.0,9.0,6.6,95.0,1.3,0,294.0,3.8,0.9,0.2,0,24,1,1
02.01.2019 01:00:00,4.0,43.0,15.6,0,0.2,0,0.3,2.1,2.3,7.0,3.8,95.0,1.6,0,305.0,283.0,1.2,0.7,1,1,2,1
02.01.2019 02:00:00,6.0,41.0,15.6,0,0.18,0,0.6,1.2,1.8,11.0,11.0,95.0,1.6,0,247.0,74.0,0.9,0.3,1,2,2,1
02.01.2019 03:00:00,6.0,44.0,15.5,0,0.17,0,0.4,1.0,1.3,7.0,3.8,95.0,1.6,0,22.0,15.0,1.2,0.9,1,3,2,1
02.01.2019 04:00:00,2.0,44.0,15.4,0,0.17,0,0.5,0.7,1.3,8.0,3.2,94.0,1.5,0,27.0,9.1,1.3,0.8,1,4,2,1
02.01.2019 05:00:00,2.0,43.0,15.4,0,0.17,0,0.4,1.0,1.4,7.0,4.4,94.0,1.5,0,346.0,318.0,1.2,0.9,1,5,2,1
02.01.2019 06:00:00,5.0,41.0,15.4,0,0.18,0,0.3,1.0,1.3,5.0,2.6,94.0,1.5,0,283.0,255.0,1.0,1.3,1,6,2,1
02.01.2019 07:00:00,5.0,39.0,15.6,0,0.2,0,0.3,1.9,2.2,8.0,3.0,94.0,1.5,0,256.0,238.0,0.9,0.6,1,7,2,1
02.01.2019 08:00:00,3.0,33.0,15.7,0,0.33,0,0.6,6.8,7.3,7.0,1.2,94.0,1.5,0,264.0,223.0,0.8,0.7,1,8,2,1
02.01.2019 09:00:00,2.0,29.0,15.9,0,0.37,0,0.9,8.9,9.8,9.0,4.4,94.0,1.8,0,264.0,283.0,1.0,0.6,1,9,2,1
02.01.2019 10:00:00,1.0,28.0,16.1,0,0.33,0,1.1,9.9,11.0,6.0,9.4,95.0,2.0,0,178.0,132.0,1.3,0.6,1,10,2,1
02.01.2019 11:00:00,1.0,31.0,16.2,0,0.25,0,1.2,7.8,9.0,7.0,9.2,95.0,1.8,0,193.0,167.0,1.1,0.8,1,11,2,1
02.01.2019 12:00:00,5.0,33.0,16.3,0,0.27,0,1.1,7.2,8.2,6.0,6.2,95.0,1.9,0,275.0,270.0,1.2,0.9,1,12,2,1
02.01.2019 13:00:00,6.0,35.0,16.5,0,0.32,0,1.0,7.4,8.5,6.0,8.4,95.0,2.0,0,284.0,286.0,0.6,0.6,1,13,2,1
02.01.2019 14:00:00,5.0,33.0,16.6,0,0.35,0,1.0,8.7,9.7,12.0,1.8,95.0,2.0,0,309.0,322.0,1.3,0.5,1,14,2,1
02.01.2019 15:00:00,4.289,34.0,16.4,0,0.3,0,0.8,7.2,8.0,10.0,4.0,95.0,2.1,0,329.0,303.0,0.9,0.8,1,15,2,1
02.01.2019 16:00:00,9.0,31.0,16.6,0,0.36,0,1.1,9.5,11.0,11.0,4.4,95.0,2.1,0,299.0,304.0,1.0,0.6,1,16,2,1
02.01.2019 17:00:00,9.0,29.0,16.7,0,0.4,0,0.9,11.0,12.0,15.0,8.0,95.0,2.1,0,274.0,191.0,0.7,0.7,1,17,2,1
02.01.2019 18:00:00,5.0,28.0,16.8,0,0.41,0,0.9,11.0,12.0,13.0,9.4,95.0,2.1,0,236.0,207.0,1.0,0.5,1,18,2,1
02.01.2019 19:00:00,2.0,30.0,16.8,0,0.37,0,0.6,8.7,9.3,8.0,6.0,95.0,2.3,0,244.0,183.0,0.9,0.4,1,19,2,1
02.01.2019 20:00:00,2.0,29.0,16.9,0,0.34,0,0.6,8.3,9.0,8.0,5.2,95.0,2.3,0,191.0,146.0,0.8,0.5,1,20,2,1
02.01.2019 21:00:00,2.0,27.0,17.0,0,0.37,0,0.7,9.4,10.0,7.0,6.6,95.0,2.3,0,275.0,275.0,1.1,0.7,1,21,2,1
02.01.2019 22:00:00,1.0,30.0,17.0,0,0.3,0,0.6,6.0,6.7,6.0,4.6,95.0,2.4,0,261.0,280.0,1.4,0.5,1,22,2,1
02.01.2019 23:00:00,1.0,29.0,17.1,0,0.28,0,0.5,4.9,5.4,9.0,11.0,96.0,2.4,0,241.0,279.0,0.8,0.3,1,23,2,1
02.01.2019 24:00:00,1.0,35.0,17.3,0,0.24,0,0.3,3.9,4.2,8.0,12.0,96.0,2.0,0,321.0,352.0,1.3,0.3,1,24,2,1
03.01.2019 01:00:00,5.0,40.0,17.3,0,0.2,0,0.1,1.9,1.9,5.0,4.0,96.0,1.6,0,6.1,358.0,1.2,0.9,2,1,3,1
03.01.2019 02:00:00,4.0,40.0,17.3,0,0.2,0,0.4,1.2,1.6,7.0,4.2,95.0,1.6,0,331.0,299.0,1.1,0.8,2,2,3,1
03.01.2019 03:00:00,1.0,40.0,17.3,0,0.2,0,0.4,0.8,1.2,8.0,3.0,95.0,1.6,0,334.0,301.0,1.0,0.9,2,3,3,1
03.01.2019 04:00:00,1.0,40.0,17.2,0,0.2,0,0.3,0.4,0.7,6.0,1.8,95.0,1.6,0,258.0,227.0,1.0,0.5,2,4,3,1
03.01.2019 05:00:00,1.0,32.0,17.1,0,0.2,0,0.5,0.3,0.8,4.0,2.0,95.0,1.5,0,289.0,292.0,1.1,1.2,2,5,3,1
03.01.2019 06:00:00,1.0,33.0,17.1,0,0.22,0,0.3,0.4,0.7,10.0,1.2,95.0,1.4,0,278.0,254.0,0.5,0.7,2,6,3,1
03.01.2019 07:00:00,5.0,32.0,17.2,0,0.24,0,0.3,1.2,1.5,8.0,0.6,95.0,1.4,0,269.0,230.0,0.9,0.4,2,7,3,1
03.01.2019 08:00:00,3.0,27.0,17.3,0,0.36,0,0.8,6.0,6.8,5.0,2.6,95.0,1.4,0,238.0,172.0,0.6,0.3,2,8,3,1
03.01.2019 09:00:00,1.0,25.0,17.5,0,0.5,0,1.2,11.0,12.0,5.0,2.0,95.0,1.8,0,263.0,187.0,0.8,0.4,2,9,3,1
03.01.2019 10:00:00,2.0,26.0,17.8,0,0.46,0,2.0,12.0,14.0,15.0,1.8,95.0,1.9,0,226.0,239.0,0.7,0.5,2,10,3,1
03.01.2019 11:00:00,4.0,29.0,18.0,0,0.43,0,1.2,9.7,11.0,8.0,3.2,95.0,2.3,0,360.0,54.0,1.3,0.2,2,11,3,1
03.01.2019 12:00:00,3.0,33.0,18.0,0,0.41,0,1.0,7.9,8.9,13.0,3.0,95.0,2.3,0,17.0,16.0,1.3,0.9,2,12,3,1
03.01.2019 13:00:00,5.0,35.0,18.1,0,0.38,0,1.0,6.5,7.6,12.0,1.2,94.0,2.2,0,36.0,37.0,1.5,1.2,2,13,3,1
03.01.2019 14:00:00,5.0,36.0,18.4,0,0.39,0,0.8,5.7,6.6,13.0,2.0,94.0,2.1,0,39.0,36.0,2.2,1.1,2,14,3,1
03.01.2019 15:00:00,5.0,37.0,18.5,0,0.37,0,0.5,4.9,5.4,11.0,1.2,94.0,2.0,0,36.0,49.0,1.8,1.3,2,15,3,1
03.01.2019 16:00:00,4.0,34.0,18.4,0,0.41,0,0.7,6.7,7.4,9.0,2.8,93.0,2.3,0,15.0,311.0,0.6,0.8,2,16,3,1
03.01.2019 17:00:00,4.0,27.0,18.3,0,0.52,0,1.2,13.0,14.0,11.0,3.2,94.0,2.2,0,271.0,279.0,1.5,0.6,2,17,3,1
03.01.2019 18:00:00,7.0,22.0,18.2,0,0.56,0,0.9,14.0,15.0,9.0,3.6,95.0,2.1,0,277.0,277.0,1.0,0.9,2,18,3,1
03.01.2019 19:00:00,8.0,26.0,18.1,0,0.5,0,0.6,12.0,13.0,11.0,4.6,95.0,2.2,0,281.0,273.0,1.4,0.9,2,19,3,1
03.01.2019 20:00:00,3.0,29.0,18.1,0,0.4,0,0.4,6.4,6.9,10.0,4.0,95.0,2.2,0,275.0,273.0,0.9,1.1,2,20,3,1
03.01.2019 21:00:00,1.0,28.0,18.1,0,0.41,0,0.6,6.9,7.5,6.0,1.8,95.0,2.2,0,289.0,279.0,1.0,0.8,2,21,3,1
03.01.2019 22:00:00,1.0,24.0,18.2,0,0.42,0,0.4,7.2,7.6,8.0,1.4,95.0,2.5,0,276.0,275.0,1.0,0.8,2,22,3,1
03.01.2019 23:00:00,1.0,25.0,18.2,0,0.38,0,0.3,5.6,5.9,11.0,3.0,95.0,2.4,0,219.0,204.0,0.7,0.5,2,23,3,1
03.01.2019 24:00:00,3.0,30.0,18.3,0,0.34,0,0.4,1.9,2.3,9.0,2.2,95.0,2.0,0,227.0,204.0,0.8,0.4,2,24,3,1
04.01.2019 01:00:00,3.0,26.0,18.1,0,0.32,0,0.3,1.3,1.6,6.0,1.6,95.0,1.8,0,205.0,206.0,0.8,0.7,3,1,4,1
04.01.2019 02:00:00,1.0,23.0,18.0,0,0.32,0,0.4,1.6,2.0,4.0,1.2,95.0,1.4,0,221.0,256.0,0.5,0.5,3,2,4,1
04.01.2019 03:00:00,1.0,21.0,18.2,0,0.33,0,0.5,2.3,2.8,9.0,0,96.0,1.5,0,185.0,191.0,0.9,0.3,3,3,4,1
04.01.2019 04:00:00,1.0,21.0,18.1,0,0.34,0,0.6,2.7,3.3,9.0,0.8,96.0,1.4,0,184.0,180.0,0.4,0.4,3,4,4,1
04.01.2019 05:00:00,1.0,17.0,18.0,0,0.32,0,0.5,2.4,2.8,10.0,0.2,96.0,1.3,0,227.0,244.0,0.7,0.5,3,5,4,1
04.01.2019 06:00:00,3.0,18.0,18.2,0,0.31,0,0.5,2.6,3.1,11.0,0.4,96.0,1.2,0,207.0,186.0,0.7,0.5,3,6,4,1
04.01.2019 07:00:00,5.0,14.0,18.1,0,0.36,0,0.7,3.9,4.6,9.0,0.4,96.0,1.2,0,223.0,216.0,0.5,0.3,3,7,4,1
04.01.2019 08:00:00,4.0,7.6,18.5,0,0.57,0,4.1,11.0,15.0,10.0,1.0,96.0,1.8,0,242.0,244.0,0.4,0.4,3,8,4,1
04.01.2019 09:00:00,1.0,7.4,19.1,0,0.67,0,9.5,15.0,24.0,15.0,0.2,96.0,2.7,0,182.0,189.0,0.5,0.8,3,9,4,1
04.01.2019 10:00:00,4.0,18.0,20.2,0,0.53,0,6.0,11.0,17.0,11.0,0,95.0,2.4,0,315.0,187.0,0.5,0.2,3,10,4,1
04.01.2019 11:00:00,4.0,29.0,21.6,0,0.52,0,4.5,10.0,15.0,13.0,0,89.0,2.7,0,126.0,106.0,1.5,1.1,3,11,4,1
04.01.2019 12:00:00,3.0,29.0,23.4,0,0.39,0,3.1,7.5,11.0,26.0,0,83.0,2.9,0,77.0,53.0,2.1,1.2,3,12,4,1
04.01.2019 13:00:00,8.0,36.0,24.3,0,0.31,0,1.8,4.6,6.4,25.0,0,82.0,2.6,0,18.0,13.0,2.2,1.4,3,13,4,1
04.01.2019 14:00:00,7.0,39.0,24.6,0,0.33,0,1.0,4.6,5.5,28.0,0,81.0,2.6,0,8.8,116.0,2.6,0.9,3,14,4,1
04.01.2019 15:00:00,3.0,34.0,24.5,0,0.44,0,1.4,9.8,11.0,35.0,0,79.0,2.9,0,95.0,22.0,0.7,1.0,3,15,4,1
04.01.2019 16:00:00,5.0,36.0,24.3,0,0.41,0,0.9,8.7,9.7,26.0,0,79.0,2.8,0,359.0,330.0,0.6,0.6,3,16,4,1
04.01.2019 17:00:00,7.0,27.0,23.9,0,0.5,0,1.2,12.0,13.0,39.0,0,82.0,2.6,0,330.0,350.0,1.0,0.7,3,17,4,1
04.01.2019 18:00:00,10.0,16.0,23.5,0,0.68,0,1.2,18.0,19.0,40.0,0,83.0,2.6,0,347.0,302.0,0.4,0.5,3,18,4,1
04.01.2019 19:00:00,13.0,3.5,22.9,0,1.09,0,8.7,22.0,30.0,38.0,0,86.0,3.1,0,257.0,171.0,0.5,0.2,3,19,4,1
04.01.2019 20:00:00,11.0,4.2,22.5,0,1.04,0,11.0,18.0,29.0,34.0,0,88.0,4.9,0,257.0,295.0,0.7,0.3,3,20,4,1
04.01.2019 21:00:00,10.0,1.5,21.9,0,1.13,0,17.0,17.0,34.0,37.0,0,89.0,4.5,0,254.0,263.0,0.4,0.3,3,21,4,1
04.01.2019 22:00:00,11.0,4.5,21.7,0,0.68,0,5.3,13.0,18.0,30.0,0,89.0,4.5,0,202.0,310.0,0.5,0.4,3,22,4,1
04.01.2019 23:00:00,10.0,1.9,21.0,0,0.71,0,6.5,14.0,20.0,32.0,0,91.0,4.4,0,229.0,240.0,0.5,0.0,3,23,4,1
04.01.2019 24:00:00,10.0,4.8,20.6,0,0.54,0,2.3,9.9,12.0,28.0,0,91.0,4.2,0,277.0,318.0,1.1,0.6,3,24,4,1
05.01.2019 01:00:00,10.0,3.6,20.3,0,0.51,0,2.1,9.6,12.0,20.0,0,91.0,1.9,0,179.0,159.0,0.5,0.4,4,1,5,1
05.01.2019 02:00:00,10.0,2.1,20.2,0,0.55,0,4.2,13.0,17.0,23.0,0,92.0,2.0,0,102.0,15.0,0.8,0.2,4,2,5,1
05.01.2019 03:00:00,10.0,2.9,19.9,0,0.41,0,1.6,10.0,12.0,23.0,0,93.0,1.8,0,200.0,258.0,0.5,0.1,4,3,5,1
05.01.2019 04:00:00,7.0,3.9,19.7,0,0.38,0,0.1,9.3,9.4,20.0,0,93.0,1.7,0,229.0,249.0,0.5,0.4,4,4,5,1
