日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2017/01/01,新莊,AMB_TEMP,21,21,21,21,21,21,21,21,22,24,25,26,27,27,27,27,25,24,23,23,22,22,22,20
2017/01/01,新莊,CO,0.3,0.3,0.28,0.23,0.21,0.22,0.23,0.28,0.28,0.29,0.26,0.24,0.26,0.24,0.26,0.3,0.35,0.46,0.52,0.49,0.55,0.65,0.7,1.1
2017/01/01,新莊,NO,1.9,2.1,1.8,1.5,1.4,1.7,1.7,2,2.5,3.1,2.8,2.4,2.6,2.3,2.2,2.9,2.4,1.8,1.9,1.7,2.1,2.7,4.5,23
2017/01/01,新莊,NO2,9.5,6.9,7.3,5.3,4.4,4.2,5.4,7.6,7,7.9,6.6,5.8,5.8,4.5,6.3,8.4,11,15,19,18,22,30,35,28
2017/01/01,新莊,NOx,11,9,9.1,6.8,5.8,5.9,7,9.6,9.4,11,9.4,8.1,8.3,6.8,8.5,11,13,17,21,20,24,33,40,51
2017/01/01,新莊,O3,33,36,35,37,38,38,36,35,37,37,40,42,42,42,42,40,34,29,24,24,19,12,4.9,1
2017/01/01,新莊,PM10,32,33,16,14,12,12,12,11,12,15,21,31,27,24,25,22,24,24,21,22,22,25,29,29
2017/01/01,新莊,PM2.5,15,15,5,6,2,2,4,3,4,3,3,7,9,7,6,6,8,8,8,7,7,9,10,9
2017/01/01,新莊,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2017/01/01,新莊,RH,67,67,66,66,67,68,68,66,61,57,52,47,45,44,45,48,52,58,60,61,62,63,62,71
2017/01/01,新莊,SO2,1.5,1.4,1.5,1.4,1.4,1.3,1.4,1.4,1.5,1.6,1.6,1.5,1.6,1.5,1.5,1.6,1.7,1.7,1.8,1.6,1.8,2.1,1.8,2.3
2017/01/01,新莊,WD_HR,82,83,64,56,54,57,58,61,59,70,71,74,78,79,83,82,78,65,58,53,39,25,28,155
2017/01/01,新莊,WIND_DIREC,91,71,62,55,48,58,61,60,62,74,69,72,81,78,69,85,70,53,63,52,27,21,51,167
2017/01/01,新莊,WIND_SPEED,3.4,3.7,5,4.8,4.6,4.7,5,5,5.1,4.7,5.7,3.8,4.1,4.5,3.9,3.7,3.3,3.6,2.7,3.3,2.8,2.7,1.3,0.6
2017/01/01,新莊,WS_HR,3,3.9,4.5,4.6,4.8,4.6,4.6,4.4,4.9,4.7,5,4.2,3.9,4.1,3.9,3.9,3.2,3.5,2.9,2.8,3,2.4,1.5,0.6
2017/01/02,新莊,AMB_TEMP,19,19,18,18,19,19,18,19,19,21,23,25,25,24,24,24,24,23,22,21,22,21,22,22
2017/01/02,新莊,CO,1.04,0.87,0.6,0.48,0.4,0.36,0.45,0.69,0.74,0.68,0.48,0.42,0.32,0.27,0.31,0.28,0.34,0.48,0.81,0.98,0.7,0.44,0.4,0.33
2017/01/02,新莊,NO,22,15,9.7,6.9,4.8,2.6,5.7,12,13,10,6.5,4.4,3.8,3.3,2.8,2.5,2.4,2,8.4,16,5.7,2.1,1.7,1.7
2017/01/02,新莊,NO2,23,23,19,20,18,14,20,22,23,24,19,16,12,10,11,11,17,24,39,40,37,21,15,13
2017/01/02,新莊,NOx,45,38,29,26,23,17,26,34,37,34,25,20,16,13,14,13,19,26,47,56,43,23,17,14
2017/01/02,新莊,O3,0.6,0.5,1.4,5.1,5.5,7.7,4.1,3.8,8.4,21,36,52,45,49,58,49,42,23,6.7,1.4,7.5,32,35,35
2017/01/02,新莊,PM10,29,31,30,25,28,34,35,38,47,52,48,44,49,56,56,55,49,43,46,51,47,38,30,28
2017/01/02,新莊,PM2.5,11,13,14,13,16,18,17,20,25,25,27,25,20,17,24,25,21,18,19,24,19,13,12,9
2017/01/02,新莊,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2017/01/02,新莊,RH,76,78,78,78,81,78,78,77,74,67,59,53,59,63,63,62,62,67,71,74,74,72,72,73
2017/01/02,新莊,SO2,2.7,3.2,2.8,2.7,3.2,2.8,2.7,3.8,4.8,5.5,5,4.1,3.8,3.9,3.8,3.2,3.2,2.9,3.4,3.6,5.2,4.9,3.1,2.7
2017/01/02,新莊,WD_HR,194,193,170,4.6,223,172,125,169,166,166,134,217,42,26,49,33,37,29,25,33,66,69,65,54
2017/01/02,新莊,WIND_DIREC,276,156,87,218,217,120,178,136,72,197,95,103,40,34,44,32,40,28,38,52,65,62,61,58
2017/01/02,新莊,WIND_SPEED,0.4,0.5,0.6,0.8,0.7,0.7,0.6,0.6,0.7,1.4,0.8,1.6,3.9,4.3,1.6,2.8,3.3,1.8,1.7,1.9,2.5,3.6,4.5,3.5
2017/01/02,新莊,WS_HR,0.4,0.6,0.6,0.3,1.2,0.8,0.4,0.5,0.4,0.2,0.2,0.4,2.8,4.7,1.8,1.6,3.1,2.4,2,1.7,2.2,3.2,3.6,4
2017/01/03,新莊,AMB_TEMP,22,22,22,21,21,21,21,20,21,22,22,22,22,23,22,22,21,21,21,21,21,21,21,21
2017/01/03,新莊,CO,0.27,0.22,0.19,0.17,0.16,0.19,0.28,0.65,0.96,0.59,0.61,0.46,0.37,0.32,0.31,0.41,0.41,0.49,0.52,0.58,0.49,0.47,0.46,0.32
2017/01/03,新莊,NO,1.8,1.7,1.4,0.6,0.8,0.7,1,4.9,13,5.5,7.6,4.6,4.5,3.9,2.2,3.3,2.6,2.2,1.6,1.7,1.3,1.1,1.3,0.9
2017/01/03,新莊,NO2,10,8.1,8.2,7.2,9.7,8.6,13,24,33,26,31,24,18,15,14,18,18,24,23,26,19,22,20,12
2017/01/03,新莊,NOx,12,9.8,9.5,7.8,10,9.3,14,29,46,31,39,28,22,19,17,22,20,26,25,27,21,23,21,13
2017/01/03,新莊,O3,34,34,30,32,31,31,27,16,9.8,18,13,21,28,30,31,29,29,25,24,20,27,23,25,33
2017/01/03,新莊,PM10,28,22,17,15,17,20,17,13,21,30,35,41,37,34,33,28,28,26,24,26,31,31,28,24
2017/01/03,新莊,PM2.5,6,4,6,5,5,7,6,4,9,12,12,11,12,11,7,8,8,11,11,14,13,12,10,6
2017/01/03,新莊,RAINFALL,NR,NR,NR,NR,NR,NR,NR,0.2,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
