Date Time,PM2.5,O3,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,PM10,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,DAY_OF_YEAR,HOUR,WEEKDAY,MONTH
01.01.2019 01:00:00,4.0,34.0,16.8,0,0.26,0,1.5,8.5,10.0,14.0,0,80.0,1.7,0,85.0,89.0,3.6,3.4,0,1,1,1
01.01.2019 02:00:00,2.0,33.0,16.8,0,0.28,0,1.6,8.0,9.6,12.0,0,80.0,1.7,0,84.0,85.0,3.7,3.4,0,2,1,1
01.01.2019 03:00:00,1.0,35.0,16.8,0,0.24,0,1.2,6.3,7.5,6.0,0,80.0,1.8,0,82.0,79.0,3.8,3.6,0,3,1,1
01.01.2019 04:00:00,1.0,37.0,16.8,0,0.22,0,1.1,4.6,5.7,2.0,0,80.0,1.7,0,76.0,78.0,4.2,3.6,0,4,1,1
01.01.2019 05:00:00,1.0,37.0,16.8,0,0.21,0,0.9,4.6,5.5,6.0,0,80.0,1.7,0,81.0,88.0,4.1,3.5,0,5,1,1
01.01.2019 06:00:00,1.0,36.0,16.8,0,0.22,0,0.9,4.3,5.2,9.0,0,80.0,1.7,0,76.0,74.0,4.5,3.4,0,6,1,1
01.01.2019 07:00:00,2.0,35.0,16.8,0,0.24,0,1.1,5.7,6.8,8.0,0,80.0,1.7,0,77.0,78.0,3.4,3.5,0,7,1,1
01.01.2019 08:00:00,4.0,33.0,17.0,0,0.28,0,1.5,8.0,9.6,8.0,0,79.0,1.7,0,80.0,79.0,3.9,3.6,0,8,1,1
01.01.2019 09:00:00,4.0,33.0,17.3,0,0.28,0,2.0,8.1,10.0,7.0,0,79.0,2.0,0,76.0,87.0,4.1,3.8,0,9,1,1
01.01.2019 10:00:00,1.0,35.0,17.6,0,0.27,0,2.0,6.9,8.9,6.0,0,76.0,1.8,0,73.0,80.0,5.6,4.9,0,10,1,1
01.01.2019 11:00:00,1.0,35.0,17.9,0,0.28,0,2.4,7.4,9.8,3.0,0,75.0,1.7,0,74.0,77.0,5.3,4.5,0,11,1,1
01.01.2019 12:00:00,2.0,36.0,18.1,0,0.28,0,2.0,7.0,9.1,5.0,0,72.0,1.7,0,77.0,74.0,5.9,4.9,0,12,1,1
