日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2017/01/01,板橋,AMB_TEMP,21,21,21,21,21,21,21,21,22,24,25,26,27,27,27,26,25,24,24,23,23,23,22,20
2017/01/01,板橋,CH4,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.9,1.9,1.9,2
2017/01/01,板橋,CO,0.34,0.41,0.29,0.26,0.23,0.24,0.26,0.29,0.33,0.33,0.32,0.31,0.31,0.33,0.34,0.34,0.41,0.48,0.58,0.55,0.57,0.61,0.77,0.72
2017/01/01,板橋,NMHC,0.09,0.11,0.09,0.09,0.09,0.09,0.1,0.11,0.12,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.15,0.17,0.21,0.2,0.21,0.22,0.32,0.33
2017/01/01,板橋,NO,1.3,1.5,1.2,2.5,1.8,2.3,2.5,3,5.1,5.4,5.1,5,4.7,5.5,5.6,5.4,5.1,4.7,5.2,5.3,4,6.8,13,16
2017/01/01,板橋,NO2,8.9,12,8.5,6.5,5.8,6.8,9.7,10,13,13,12,11,9.8,12,13,14,18,21,24,23,22,27,29,24
2017/01/01,板橋,NOx,10,13,9.7,9,7.6,9,12,13,18,18,17,16,15,17,19,19,23,26,29,29,26,33,42,39
2017/01/01,板橋,O3,32,30,34,35,36,35,31,32,31,32,35,36,36,34,35,33,27,23,18,19,20,14,3,2.1
2017/01/01,板橋,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2017/01/01,板橋,PM10,18,25,26,23,18,14,17,17,20,23,22,23,24,26,26,25,25,27,28,28,23,25,30,31
2017/01/01,板橋,PM2.5,6,6,6,4,1,1,5,3,1,1,4,4,4,6,7,7,3,3,8,8,8,8,9,13
2017/01/01,板橋,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2017/01/01,板橋,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2017/01/01,板橋,RH,70,70,69,69,70,71,72,70,67,63,56,51,48,48,48,50,55,60,62,62,61,60,67,75
2017/01/01,板橋,SO2,9.8,10,10,8.4,9.1,13,11,11,10,11,9.3,7.6#,0.9#,1.1,1.1,1.2,1.1,1.2,1.1,1.2,1.2,1.4,1.9,2.1
2017/01/01,板橋,THC,1.9,2,1.9,1.9,1.9,1.9,1.9,1.9,2,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2,2,2.1,2.1,2.1,2.1,2.3,2.3
2017/01/01,板橋,UVB,0,0,0,0,0,0,0,0.3,1.4,3.2,4.9,5.5,3.9,4.8,3,1.3,0.3,0,0,0,0,0,0,0
2017/01/01,板橋,WD_HR,74,62,53,58,58,57,57,56,59,72,76,67,71,72,72,76,68,67,60,62,47,63,223,206
2017/01/01,板橋,WIND_DIREC,81,54,51,58,62,61,62,54,62,80,70,66,79,54,75,71,70,57,69,50,45,55,227,212
2017/01/01,板橋,WIND_SPEED,1.8,2.6,3.7,3.6,3.1,3.4,3.2,2.4,2.7,2.6,2.4,2.2,2.3,2.6,2.9,2.1,2.2,2.5,1.7,1.8,2.6,0.9,1.8,2
2017/01/01,板橋,WS_HR,1.6,1.7,2.9,2.9,3.1,3.1,3.1,2.7,2.4,2.2,2,1.8,2,2,2.1,1.9,1.7,1.9,1.6,1.5,1.3,1.3,1.3,1
2017/01/02,板橋,AMB_TEMP,20,20,19,19,18,19,19,19,20,22,23,25,25,24,24,24,24,24,23,23,,,,
2017/01/02,板橋,CH4,2,2,2,2.1,2,2,2,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.9,,,,
2017/01/02,板橋,CO,0.55,0.52,0.49,0.45,0.35,0.33,0.46,0.49,0.46,0.43,0.31,0.38,0.45,0.36,0.38,0.42,0.53,0.65,0.8,0.79,,,,
2017/01/02,板橋,NMHC,0.25,0.24,0.25,0.25,0.2,0.17,0.22,0.21,0.17,0.15,0.11,0.15,0.19,0.14,0.16,0.17,0.21,0.24,0.31,0.3,,,,
2017/01/02,板橋,NO,5.2,5.5,5.1,2.3,1.7,1.7,3,5.4,7.3,7.1,4.4,3.7,3.5,2.5,2.2,1.9,2.4,4.1,3.8,6.8,,,,
2017/01/02,板橋,NO2,21,22,19,19,16,13,20,21,17,19,13,14,16,13,14,14,23,34,34,38,,,,
2017/01/02,板橋,NOx,27,28,24,21,18,14,23,26,24,26,18,18,20,16,16,16,26,38,38,45,,,,
2017/01/02,板橋,O3,4,2.3,4.1,3.2,4.5,11,6.8,7.7,16,25,34,44,51,50,58,55,44,24,16,10,,,,
2017/01/02,板橋,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2017/01/02,板橋,PM10,33,41,41,34,34,38,48,47,35,42,49,44,55,62,68,66,56,47,42,46,48,44,40,34
2017/01/02,板橋,PM2.5,14,20,17,12,14,16,22,25,17,18,18,15,20,20,23,23,21,20,18,14,14,19,16,11
2017/01/02,板橋,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,
2017/01/02,板橋,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2017/01/02,板橋,RH,76,78,76,76,78,80,81,78,68,65,61,55,58,66,66,64,65,68,70,73,,,,
2017/01/02,板橋,SO2,1.5,2.7,2.2,2.2,2.5,1.8,2.2,2.7,3,3,1.8,1.8,3,3.2,2.8,2.6,3.5,4.8,3.7,5.1,,,,
2017/01/02,板橋,THC,2.2,2.2,2.2,2.3,2.2,2.1,2.2,2.1,2,2,1.9,2,2,2,2,2,2.1,2.1,2.2,2.2,,,,
2017/01/02,板橋,UVB,0,0,0,0,0,0,0,0.2,1.3,3.1,4.8,5.4,4.2,4.4,2.7,1.2,0.3,0,0,0,,,,
2017/01/02,板橋,WD_HR,216,237,155,234,220,203,260,231,240,222,180,266,321,308,314,336,62,74,58,58,,,,
2017/01/02,板橋,WIND_DIREC,221,224,225,210,222,140,256,246,240,172,63,301,334,294,310,323,82,61,55,58,,,,
2017/01/02,板橋,WIND_SPEED,1.2,1.5,0.6,1.5,1.8,0.7,1.2,1.7,1.4,0.9,0.8,1.6,3.9,3.6,2.6,2,2.1,2.1,1.8,1.5,,,,
2017/01/02,板橋,WS_HR,1.1,1.6,0.5,1.2,1.9,0.7,0.3,0.5,1,1,0.4,0.7,1.9,2.7,2.6,1.3,1.5,2,1.6,1.8,,,,
2017/01/03,板橋,AMB_TEMP,,,,,,,,,21#,21,21,21,22,22,22,21,21,21,21,21,21,21,22,21
2017/01/03,板橋,CH4,,,,,,,,,1.8#,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.8,1.9
2017/01/03,板橋,CO,,,,,,,,,0.76#,0.56,0.51,0.46,0.41,0.41,0.36,0.43,0.49,0.56,0.62,0.58,0.6,0.53,0.43,0.4
2017/01/03,板橋,NMHC,,,,,,,,,0.26#,0.27,0.26,0.21,0.17,0.16,0.16,0.2,0.21,0.22,0.22,0.2,0.21,0.18,0.15,0.14
2017/01/03,板橋,NO,,,,,,,,,11#,8.5,8.4,7.2,6.6,6.1,3.7,5.7,5,4.1,3.4,4.2,4.8,2.4,1.6,1.6
2017/01/03,板橋,NO2,,,,,,,,,32#,30,30,26,21,22,19,24,27,28,26,28,29,22,18,18
2017/01/03,板橋,NOx,,,,,,,,,43#,38,38,34,28,28,23,29,32,32,29,32,34,25,19,20
2017/01/03,板橋,O3,,,,,,,,,2.9#,14,14,18,24,24,26,24,20,21,22,19,17,24,28,26
2017/01/03,板橋,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,4.1,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR
2017/01/03,板橋,PM10,30,31,27,28,27,21,19,18,24,33,40,42,42,41,41,36,33,37,36,33,36,41,35,31
2017/01/03,板橋,PM2.5,9,8,8,4,3,4,3,7,8,11,9,10,13,13,14,14,13,15,15,14,12,12,12,8
2017/01/03,板橋,RAINFALL,,,,,,,,,0#,0.2,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2017/01/03,板橋,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,61,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR
2017/01/03,板橋,RH,,,,,,,,,85#,84,83,81,80,77,78,80,81,82,81,81,81,81,82,83
2017/01/03,板橋,SO2,,,,,,,,,2.1#,2.2,2.3,2.2,2.5,2.2,2.7,2.4,3.8,2.9,1.9,2.9,2.2,2.1,2.1,1.8
2017/01/03,板橋,THC,,,,,,,,,2.1#,2.1,2.1,2,2,2,2,2,2,2.1,2.1,2,2.1,2,2,2
2017/01/03,板橋,UVB,,,,,,,,,0.6#,0.7,0.7,1.3,2.8,1.9,1,0.8,0.2,0,0,0,0,0,0,0
2017/01/03,板橋,WD_HR,,,,,,,,,82#,89,86,82,84,74,64,71,66,65,60,82,73,62,59,60
2017/01/03,板橋,WIND_DIREC,,,,,,,,,86,80,88,75,81,58,69,58,57,67,55,77,72,60,57,59
2017/01/03,板橋,WIND_SPEED,,,,,,,,,2.6,1.6,2.9,2.8,2.5,3.5,3.6,3.1,3,3.5,2.4,2.2,2.2,2.9,3.5,3.5
