Date Time,PM2.5,O3,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,PM10,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,DAY_OF_YEAR,HOUR,WEEKDAY,MONTH
01.01.2015 01:00:00,79.0,43.0,14.0,0,0.66,0,1.6,10.0,12.0,166.0,0,69.0,9.7,0,66.0,69.0,3.2,3.9,0,1,3,1
01.01.2015 02:00:00,76.0,43.0,13.0,0,0.63,0,1.5,9.7,11.0,165.0,0,70.0,8.2,0,69.0,74.0,3.4,3.5,0,2,3,1
01.01.2015 03:00:00,73.0,42.0,13.0,0,0.6,0,1.5,9.6,11.0,148.0,0,70.0,7.2,0,70.0,67.0,2.7,2.7,0,3,3,1
01.01.2015 04:00:00,70.0,42.0,13.0,0,0.54,0,0.9,6.6,7.6,137.0,0,70.0,6.1,0,63.0,60.0,2.9,3.0,0,4,3,1
01.01.2015 05:00:00,60.0,41.0,13.0,0,0.45,0,1.1,6.3,7.4,119.0,0,71.0,4.9,0,63.0,64.0,3.3,3.0,0,5,3,1
01.01.2015 06:00:00,50.0,41.0,12.0,0,0.42,0,0.9,6.0,6.9,104.0,0,69.0,4.6,0,59.0,57.0,3.2,3.2,0,6,3,1
01.01.2015 07:00:00,45.0,37.0,12.0,0,0.43,0,1.0,8.0,9.0,99.0,0,70.0,5.0,0,71.0,68.0,3.2,2.8,0,7,3,1
01.01.2015 08:00:00,45.0,33.0,12.0,0,0.47,0,1.1,9.6,11.0,99.0,0,69.0,5.2,0,63.0,61.0,2.8,2.8,0,8,3,1
01.01.2015 09:00:00,50.0,33.0,12.0,0,0.48,0,1.2,9.7,11.0,104.0,0,65.0,5.6,0,60.0,65.0,3.0,3.2,0,9,3,1
01.01.2015 10:00:00,50.0,34.0,12.0,0,0.46,0,2.0,9.4,11.0,105.0,0,62.0,4.9,0,61.0,64.0,2.9,3.1,0,10,3,1
