Date Time,PM2.5,O3,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,PM10,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,DAY_OF_YEAR,HOUR,WEEKDAY,MONTH
01.01.2019 01:00:00,1.0,29.0,16.2,1.9,0.27,0.05,1.5,7.3,8.7,5.0,0,90.0,3.2,2.0,65.0,67.0,3.2,2.6,0,1,1,1
01.01.2019 02:00:00,1.0,30.0,16.2,1.9,0.27,0.05,-0.1,6.7,6.6,5.0,0,90.0,2.6,2.0,63.0,61.0,3.1,2.8,0,2,1,1
01.01.2019 03:00:00,9.0,30.0,16.1,1.9,0.26,0.03,0.1,6.2,6.4,4.0,0,91.0,2.3,2.0,61.0,58.0,2.6,2.5,0,3,1,1
01.01.2019 04:00:00,9.0,31.0,16.2,1.9,0.24,0.03,0.1,5.5,5.7,5.0,0,90.0,2.1,2.0,60.0,63.0,3.5,2.8,0,4,1,1
01.01.2019 05:00:00,6.0,31.0,16.1,1.9,0.24,0.03,0.3,5.3,5.7,3.0,0,90.0,2.3,2.0,62.0,61.0,3.5,2.8,0,5,1,1
01.01.2019 06:00:00,1.0,31.0,16.2,1.9,0.25,0.04,0.1,4.9,5.0,5.0,0,90.0,2.4,2.0,62.0,57.0,3.0,2.9,0,6,1,1
01.01.2019 07:00:00,1.0,30.0,16.0,1.9,0.28,0.04,0.2,6.0,6.1,5.0,0,91.0,1.7,2.0,58.0,53.0,2.9,3.0,0,7,1,1
01.01.2019 08:00:00,9.0,29.0,16.2,1.9,0.32,0.05,0.7,7.4,8.2,5.0,0,90.0,2.1,2.0,61.0,66.0,4.1,2.9,0,8,1,1
01.01.2019 09:00:00,9.0,29.0,16.6,1.9,0.34,0.06,0.9,8.2,9.1,4.0,0,89.0,2.3,2.0,61.0,51.0,3.0,3.0,0,9,1,1
01.01.2019 10:00:00,9.0,29.0,16.8,1.9,0.38,0.07,1.4,8.6,10.0,4.0,0,88.0,2.0,2.0,56.0,57.0,3.0,3.2,0,10,1,1
01.01.2019 11:00:00,1.0,30.0,17.1,1.9,0.37,0.07,1.2,8.0,9.1,7.0,0,86.0,1.8,2.0,62.0,56.0,3.7,3.7,0,11,1,1
01.01.2019 12:00:00,1.0,31.0,17.6,1.9,0.36,0.07,1.5,7.9,9.4,6.0,0,82.0,2.1,2.0,60.0,61.0,4.5,4.0,0,12,1,1
01.01.2019 13:00:00,1.0,31.0,17.7,1.9,0.36,0.07,1.6,7.8,9.4,5.0,0,81.0,1.9,2.0,60.0,56.0,3.9,3.8,0,13,1,1
01.01.2019 14:00:00,4.0,32.0,17.9,1.9,0.37,0.07,1.7,7.4,9.1,5.0,0,80.0,2.4,2.0,61.0,59.0,4.0,3.3,0,14,1,1
01.01.2019 15:00:00,7.0,31.0,16.5,1.9,0.36,0.06,1.2,8.6,9.8,9.0,0,81.0,2.4,2.0,60.0,55.0,4.3,3.6,0,15,1,1
01.01.2019 16:00:00,6.0,30.0,16.5,1.9,0.36,0.07,1.4,9.4,11.0,10.0,0,83.0,2.1,2.0,59.0,67.0,3.6,3.2,0,16,1,1
01.01.2019 17:00:00,9.0,29.0,16.4,1.9,0.38,0.08,1.0,11.0,12.0,7.0,0,84.0,3.2,2.0,64.0,68.0,3.9,2.9,0,17,1,1
01.01.2019 18:00:00,6.0,29.0,15.5,1.9,0.38,0.07,1.0,9.8,11.0,7.0,0.2,87.0,3.0,2.0,66.0,69.0,3.9,3.4,0,18,1,1
01.01.2019 19:00:00,6.0,29.0,14.4,1.9,0.37,0.07,0.6,9.6,10.0,12.0,0.2,89.0,2.7,2.0,66.0,66.0,3.4,3.4,0,19,1,1
01.01.2019 20:00:00,1.0,29.0,14.3,1.9,0.37,0.07,0.7,9.7,10.0,7.0,0,90.0,2.4,2.0,58.0,54.0,3.9,3.0,0,20,1,1
01.01.2019 21:00:00,7.0,29.0,14.0,1.9,0.35,0.06,0.6,10.0,11.0,2.0,0.2,91.0,2.0,2.0,59.0,62.0,4.2,3.2,0,21,1,1
01.01.2019 22:00:00,9.0,30.0,13.8,1.9,0.32,0.05,0.4,9.1,9.5,3.0,0,91.0,2.0,2.0,63.0,60.0,4.0,3.1,0,22,1,1
