Date Time,PM2.5,O3,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,PM10,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,DAY_OF_YEAR,HOUR,WEEKDAY,MONTH
01.01.2019 01:00:00,8.0,36.0,15.3,0,0.17,0,0.7,4.4,5.1,14.0,0,84.0,1.3,0,51.0,45.0,6.8,6.6,0,1,1,1
01.01.2019 02:00:00,9.0,36.0,15.2,0,0.17,0,1.7,4.6,6.3,10.0,0,84.0,1.2,0,48.0,47.0,7.1,6.5,0,2,1,1
01.01.2019 03:00:00,12.0,38.0,15.3,0,0.16,0,1.6,3.7,5.4,12.0,0,84.0,1.2,0,47.0,48.0,6.9,6.7,0,3,1,1
01.01.2019 04:00:00,10.0,39.0,15.2,0,0.16,0,1.7,3.4,5.1,12.0,0,84.0,1.2,0,46.0,48.0,6.7,6.4,0,4,1,1
01.01.2019 05:00:00,6.0,40.0,15.2,0,0.15,0,1.8,3.2,5.0,7.0,0,84.0,1.5,0,45.0,46.0,6.8,6.6,0,5,1,1
01.01.2019 06:00:00,6.0,39.0,15.1,0,0.16,0,1.7,3.1,4.8,13.0,0,84.0,1.3,0,45.0,46.0,6.8,6.3,0,6,1,1
01.01.2019 07:00:00,6.0,39.0,15.1,0,0.17,0,1.8,3.8,5.5,9.0,0,83.0,1.2,0,47.0,48.0,7.1,6.4,0,7,1,1
01.01.2019 08:00:00,5.0,38.0,15.4,0,0.19,0,2.0,4.0,6.0,10.0,0,82.0,1.2,0,48.0,49.0,7.4,6.8,0,8,1,1
01.01.2019 09:00:00,1.0,36.0,16.1,0,0.2,0,2.3,6.2,8.4,9.0,0,81.0,1.4,0,46.0,48.0,8.0,6.9,0,9,1,1
01.01.2019 10:00:00,1.0,37.0,17.1,0,0.22,0,2.7,6.5,9.2,12.0,0,77.0,1.5,0,48.0,49.0,8.4,7.3,0,10,1,1
01.01.2019 11:00:00,4.0,38.0,17.5,0,0.23,0,2.7,5.7,8.4,12.0,0,75.0,1.7,0,50.0,56.0,8.9,7.0,0,11,1,1
01.01.2019 12:00:00,4.0,39.0,18.3,0,0.23,0,2.6,5.5,8.1,12.0,0,72.0,1.9,0,49.0,49.0,7.7,6.6,0,12,1,1
01.01.2019 13:00:00,4.0,40.0,18.5,0,0.2,0,2.9,6.4,9.3,13.0,0,71.0,2.3,0,45.0,48.0,6.9,7.1,0,13,1,1
01.01.2019 14:00:00,6.0,41.0,18.6,0,0.22,0,2.6,5.5,8.1,25.0,0,69.0,1.8,0,52.0,53.0,10.0,7.9,0,14,1,1
01.01.2019 15:00:00,6.0,42.0,18.8,0,0.24,0,2.4,4.9,7.4,14.0,0,67.0,1.5,0,56.0,42.0,7.9,8.6,0,15,1,1
01.01.2019 16:00:00,9.0,38.0,17.5,0,0.24,0,2.6,6.6,9.2,16.0,0,74.0,2.2,0,48.0,49.0,7.5,7.2,0,16,1,1
01.01.2019 17:00:00,8.0,38.0,16.3,0,0.22,0,2.2,6.6,8.8,10.0,0,79.0,1.6,0,51.0,54.0,7.3,7.1,0,17,1,1
01.01.2019 18:00:00,5.0,37.0,15.7,0,0.24,0,1.9,6.2,8.1,10.0,0,82.0,1.3,0,55.0,60.0,8.0,6.8,0,18,1,1
01.01.2019 19:00:00,7.0,38.0,15.9,0,0.23,0,1.9,6.8,8.7,10.0,0,80.0,1.4,0,52.0,46.0,9.0,8.0,0,19,1,1
01.01.2019 20:00:00,8.0,39.0,15.9,0,0.24,0,1.9,6.3,8.2,9.0,0,79.0,1.3,0,50.0,49.0,9.0,8.5,0,20,1,1
01.01.2019 21:00:00,11.0,37.0,15.8,0,0.23,0,2.1,6.8,8.9,10.0,0,81.0,1.4,0,49.0,48.0,8.0,7.8,0,21,1,1
01.01.2019 22:00:00,11.0,38.0,15.8,0,0.22,0,1.9,6.8,8.7,8.0,0,80.0,1.4,0,50.0,55.0,8.1,7.4,0,22,1,1
01.01.2019 23:00:00,8.0,40.0,16.0,0,0.22,0,1.9,5.4,7.3,9.0,0,79.0,1.4,0,51.0,49.0,9.1,8.3,0,23,1,1
01.01.2019 24:00:00,9.0,40.0,15.9,0,0.21,0,1.6,5.2,6.8,7.0,0,80.0,1.3,0,50.0,46.0,7.1,7.0,0,24,1,1
02.01.2019 01:00:00,4.0,40.0,15.7,0,0.18,0,1.6,4.8,6.4,12.0,0,80.0,1.5,0,47.0,44.0,6.9,6.7,1,1,2,1
02.01.2019 02:00:00,1.0,40.0,15.5,0,0.14,0,0.9,3.6,4.5,5.0,0,82.0,1.1,0,48.0,47.0,6.1,6.6,1,2,2,1
02.01.2019 03:00:00,1.0,41.0,15.3,0,0.13,0,0.9,2.7,3.6,6.0,0,83.0,1.1,0,47.0,44.0,7.0,6.3,1,3,2,1
