Date Time,PM2.5,O3,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,PM10,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,DAY_OF_YEAR,HOUR,WEEKDAY,MONTH
01.01.2019 01:00:00,4.0,28.0,17.9,0,0.24,0,0.6,5.6,6.2,6.0,0,78.0,2.7,0,21.0,15.0,2.7,2.2,0,1,1,1
01.01.2019 02:00:00,6.0,27.0,17.7,0,0.22,0,1.4,6.7,8.1,8.0,0,80.0,2.3,0,18.0,18.0,2.4,2.3,0,2,1,1
01.01.2019 03:00:00,9.0,28.0,17.5,0,0.23,0,1.4,6.1,7.5,8.0,0,81.0,2.1,0,14.0,25.0,3.0,2.2,0,3,1,1
01.01.2019 04:00:00,8.0,29.0,17.6,0,0.2,0,1.3,5.5,6.8,7.0,0,80.0,2.0,0,28.0,32.0,3.5,2.9,0,4,1,1
01.01.2019 05:00:00,6.0,30.0,17.7,0,0.19,0,1.2,4.0,5.2,4.0,0,80.0,1.9,0,26.0,34.0,3.3,3.1,0,5,1,1
01.01.2019 06:00:00,5.0,29.0,17.8,0,0.25,0,1.5,5.2,6.7,1.0,0,80.0,1.8,0,28.0,29.0,2.8,2.5,0,6,1,1
01.01.2019 07:00:00,4.0,29.0,17.9,0,0.25,0,1.8,6.2,8.0,4.0,0,79.0,2.0,0,22.0,15.0,2.9,2.8,0,7,1,1
01.01.2019 08:00:00,5.0,25.0,17.7,0,0.37,0,2.5,9.4,12.0,9.0,0,81.0,2.5,0,14.0,24.0,3.0,2.3,0,8,1,1
01.01.2019 09:00:00,8.0,28.0,18.5,0,0.26,0,1.6,6.8,8.4,8.0,0,77.0,2.0,0,28.0,38.0,3.6,3.3,0,9,1,1
01.01.2019 10:00:00,10.0,30.0,19.5,0,0.26,0,1.7,6.1,7.8,6.0,0,72.0,1.9,0,29.0,27.0,3.9,3.4,0,10,1,1
01.01.2019 11:00:00,5.0,31.0,20.1,0,0.27,0,2.1,5.3,7.4,7.0,0,70.0,1.9,0,32.0,31.0,3.9,3.7,0,11,1,1
01.01.2019 12:00:00,4.0,31.0,19.9,0,0.3,0,2.5,6.9,9.4,9.0,0,70.0,2.1,0,26.0,46.0,4.1,3.7,0,12,1,1
01.01.2019 13:00:00,10.0,33.0,20.2,0,0.28,0,2.2,6.0,8.2,17.0,0,68.0,1.8,0,29.0,25.0,4.8,4.0,0,13,1,1
01.01.2019 14:00:00,11.0,34.0,20.7,0,0.27,0,2.1,5.4,7.5,27.0,0,66.0,1.8,0,35.0,28.0,4.4,3.9,0,14,1,1
01.01.2019 15:00:00,8.0,33.0,20.7,0,0.28,0,1.9,6.1,8.0,25.0,0,66.0,1.9,0,29.0,11.0,4.8,3.8,0,15,1,1
01.01.2019 16:00:00,4.0,32.0,20.1,0,0.3,0,1.9,6.6,8.5,19.0,0,67.0,2.0,0,35.0,52.0,5.0,4.3,0,16,1,1
01.01.2019 17:00:00,3.0,30.0,19.4,0,0.31,0,1.6,7.3,8.9,16.0,0,71.0,1.8,0,30.0,24.0,4.2,4.1,0,17,1,1
01.01.2019 18:00:00,5.0,28.0,18.7,0,0.33,0,1.7,8.7,10.0,10.0,0,74.0,1.8,0,35.0,39.0,3.6,3.3,0,18,1,1
01.01.2019 19:00:00,7.0,26.0,18.5,0,0.33,0,1.9,9.2,11.0,9.0,0,75.0,1.9,0,24.0,6.5,2.9,2.9,0,19,1,1
01.01.2019 20:00:00,10.0,25.0,18.5,0,0.33,0,1.7,11.0,12.0,6.0,0,74.0,2.3,0,29.0,26.0,2.7,2.9,0,20,1,1
01.01.2019 21:00:00,10.0,25.0,18.2,0,0.33,0,1.8,10.0,12.0,8.0,0,76.0,2.2,0,8.2,14.0,2.8,2.4,0,21,1,1
01.01.2019 22:00:00,7.0,26.0,18.1,0,0.3,0,1.5,9.9,11.0,8.0,0,77.0,2.3,0,25.0,25.0,2.6,2.5,0,22,1,1
01.01.2019 23:00:00,8.0,28.0,18.2,0,0.28,0,1.3,7.4,8.7,5.0,0,77.0,2.2,0,20.0,18.0,2.7,2.6,0,23,1,1
01.01.2019 24:00:00,6.0,29.0,18.2,0,0.25,0,1.3,7.3,8.6,6.0,0,76.0,2.2,0,26.0,26.0,3.0,2.5,0,24,1,1
02.01.2019 01:00:00,7.0,30.0,18.2,0,0.24,0,1.3,6.0,7.3,4.0,0,78.0,2.2,0,22.0,15.0,3.6,2.8,1,1,2,1
02.01.2019 02:00:00,9.0,31.0,18.0,0,0.22,0,0.8,4.8,5.6,4.0,0,78.0,1.6,0,25.0,26.0,2.8,2.8,1,2,2,1
02.01.2019 03:00:00,6.0,31.0,18.0,0,0.21,0,0.8,4.7,5.5,5.0,0,78.0,1.7,0,22.0,17.0,3.4,2.9,1,3,2,1
02.01.2019 04:00:00,4.0,31.0,17.9,0,0.2,0,0.7,4.6,5.3,6.0,0,79.0,1.5,0,26.0,31.0,2.8,2.5,1,4,2,1
02.01.2019 05:00:00,4.0,31.0,17.9,0,0.2,0,0.9,4.2,5.1,6.0,0,79.0,1.4,0,9.6,1.7,2.2,1.9,1,5,2,1
02.01.2019 06:00:00,4.0,29.0,17.8,0,0.22,0,0.7,6.4,7.1,4.0,0,80.0,2.0,0,12.0,4.8,1.8,1.7,1,6,2,1
02.01.2019 07:00:00,3.0,27.0,17.8,0,0.27,0,0.9,8.2,9.1,7.0,0,80.0,1.7,0,19.0,6.2,2.7,2.1,1,7,2,1
02.01.2019 08:00:00,5.0,25.0,18.0,0,0.39,0,1.6,11.0,12.0,9.0,0,79.0,1.6,0,26.0,27.0,3.2,2.7,1,8,2,1
02.01.2019 09:00:00,10.0,23.0,18.2,0,0.42,0,2.5,12.0,15.0,10.0,0,78.0,1.9,0,25.0,39.0,2.4,2.3,1,9,2,1
02.01.2019 10:00:00,10.0,22.0,18.8,0,0.4,0,2.9,13.0,16.0,10.0,0,76.0,1.9,0,34.0,28.0,2.8,2.2,1,10,2,1
02.01.2019 11:00:00,11.0,23.0,19.4,0,0.38,0,3.3,12.0,15.0,8.0,0,75.0,1.8,0,32.0,40.0,2.7,2.7,1,11,2,1
02.01.2019 12:00:00,11.0,24.0,19.9,0,0.39,0,3.5,11.0,15.0,8.0,0,74.0,1.4,0,38.0,45.0,2.7,2.3,1,12,2,1
02.01.2019 13:00:00,14.0,24.0,20.2,0,0.39,0,3.0,11.0,14.0,9.0,0,75.0,1.6,0,37.0,39.0,2.5,2.0,1,13,2,1
02.01.2019 14:00:00,7.054,26.0,20.8,0,0.35,0,3.2,11.0,14.0,8.73,0,71.0,1.6,0,30.0,45.0,3.1,2.5,1,14,2,1
02.01.2019 15:00:00,14.0,21.0,20.6,0,0.38,0,2.7,12.0,15.0,16.0,0,72.0,1.7,0,35.0,35.0,3.2,2.6,1,15,2,1
02.01.2019 16:00:00,12.0,23.0,20.1,0,0.39,0,2.4,12.0,15.0,16.0,0,75.0,1.8,0,31.0,35.0,3.0,2.5,1,16,2,1
02.01.2019 17:00:00,10.0,20.0,19.5,0,0.43,0,2.6,14.0,17.0,16.0,0,79.0,1.6,0,31.0,17.0,2.1,2.5,1,17,2,1
02.01.2019 18:00:00,10.0,12.0,19.1,0,0.69,0,4.4,22.0,26.0,20.0,0,83.0,2.0,0,16.0,8.4,1.6,1.7,1,18,2,1
02.01.2019 19:00:00,14.0,9.7,19.0,0,0.58,0,3.2,24.0,27.0,21.0,0,84.0,2.5,0,1.8,5.2,1.5,1.5,1,19,2,1
02.01.2019 20:00:00,17.0,8.1,18.9,0,0.61,0,3.3,25.0,29.0,20.0,0,85.0,3.0,0,8.8,19.0,1.2,1.2,1,20,2,1
02.01.2019 21:00:00,12.0,8.8,18.9,0,0.64,0,3.7,23.0,27.0,20.0,0,86.0,3.0,0,16.0,19.0,1.5,1.3,1,21,2,1
02.01.2019 22:00:00,17.0,6.8,18.8,0,0.65,0,3.5,24.0,28.0,20.0,0,88.0,2.9,0,21.0,21.0,0.7,0.9,1,22,2,1
02.01.2019 23:00:00,21.0,5.7,18.8,0,0.54,0,2.6,23.0,26.0,19.0,0,89.0,3.0,0,7.3,18.0,1.0,0.7,1,23,2,1
02.01.2019 24:00:00,15.0,9.1,18.9,0,0.44,0,1.7,19.0,20.0,14.0,0.4,90.0,2.8,0,18.0,11.0,0.9,1.1,1,24,2,1
03.01.2019 01:00:00,11.0,12.0,19.1,0,0.38,0,1.7,15.0,17.0,10.0,0.2,92.0,1.9,0,28.0,10.0,1.2,0.9,2,1,3,1
03.01.2019 02:00:00,13.0,17.0,19.0,0,0.28,0,0.3,11.0,12.0,12.0,0.6,93.0,2.5,0,16.0,22.0,1.9,1.5,2,2,3,1
03.01.2019 03:00:00,10.0,18.0,19.0,0,0.25,0,0.5,12.0,12.0,12.0,0.4,93.0,3.1,0,8.1,347.0,1.8,1.9,2,3,3,1
03.01.2019 04:00:00,7.0,18.0,18.8,0,0.25,0,0.9,12.0,13.0,9.0,0.8,94.0,3.0,0,8.9,13.0,3.0,2.2,2,4,3,1
03.01.2019 05:00:00,10.0,23.0,18.7,0,0.24,0,0.4,7.9,8.3,9.0,0.2,94.0,2.6,0,14.0,7.5,2.3,2.3,2,5,3,1
03.01.2019 06:00:00,10.0,26.576,18.8,0,0.26,0,0.6,9.1,9.7,11.0,0.2,93.0,2.6,0,12.0,2.2,2.8,2.5,2,6,3,1
03.01.2019 07:00:00,9.0,20.0,18.7,0,0.3,0,1.0,12.0,13.0,8.0,0,93.0,3.0,0,8.5,16.0,2.6,2.4,2,7,3,1
03.01.2019 08:00:00,9.0,15.0,18.8,0,0.47,0,3.0,17.0,20.0,14.0,0,93.0,3.0,0,9.0,360.0,2.0,2.1,2,8,3,1
03.01.2019 09:00:00,10.0,12.0,19.4,0,0.51,0,6.0,22.0,28.0,21.0,0,90.0,4.1,0,352.0,345.0,1.6,1.5,2,9,3,1
03.01.2019 10:00:00,11.0,12.0,19.9,0,0.49,0,6.2,23.0,30.0,22.0,0.6,88.0,4.6,0,351.0,356.0,1.8,1.6,2,10,3,1
03.01.2019 11:00:00,15.0,16.0,20.3,0,0.5,0,6.4,18.0,24.0,18.0,0.2,89.0,3.6,0,35.0,56.0,2.4,1.7,2,11,3,1
03.01.2019 12:00:00,16.0,20.0,20.8,0,0.47,0,3.9,14.0,18.0,17.0,0,85.0,2.7,0,37.0,55.0,2.4,1.9,2,12,3,1
03.01.2019 13:00:00,12.0,21.0,21.1,0,0.45,0,2.6,12.0,15.0,8.0,0,82.0,2.2,0,39.0,27.0,2.5,1.6,2,13,3,1
03.01.2019 14:00:00,14.0,20.0,21.0,0,0.45,0,3.8,15.0,19.0,14.0,0,85.0,2.6,0,29.0,24.0,2.6,2.0,2,14,3,1
03.01.2019 15:00:00,14.0,21.0,21.2,0,0.44,0,3.4,14.0,17.0,10.0,0,83.0,2.6,0,47.0,61.0,3.2,2.4,2,15,3,1
03.01.2019 16:00:00,8.0,21.0,21.4,0,0.46,0,2.8,12.0,15.0,10.0,0,81.0,2.6,0,40.0,38.0,2.4,2.2,2,16,3,1
03.01.2019 17:00:00,4.0,16.0,21.4,0,0.52,0,3.0,17.0,20.0,15.0,0,80.0,3.0,0,0.7,355.0,2.9,2.2,2,17,3,1
03.01.2019 18:00:00,10.0,14.0,20.2,0,0.68,0,3.4,22.0,25.0,25.0,0,86.0,3.5,0,13.0,360.0,1.8,2.4,2,18,3,1
03.01.2019 19:00:00,14.0,8.9,20.2,0,0.71,0,3.2,24.0,28.0,20.0,0,84.0,3.1,0,21.0,16.0,1.4,1.4,2,19,3,1
03.01.2019 20:00:00,11.0,8.2,20.1,0,0.7,0,3.7,23.0,27.0,20.0,0,84.0,3.1,0,343.0,312.0,0.6,0.9,2,20,3,1
03.01.2019 21:00:00,13.0,6.2,19.9,0,0.69,0,3.6,25.0,29.0,27.0,0,87.0,4.1,0,331.0,14.0,1.2,0.9,2,21,3,1
03.01.2019 22:00:00,15.0,3.5,19.8,0,0.77,0,4.5,27.0,32.0,21.0,0,88.0,3.5,0,209.0,210.0,0.9,0.4,2,22,3,1
03.01.2019 23:00:00,15.0,2.9,19.6,0,0.75,0,4.2,25.0,29.0,22.0,0,90.0,2.6,0,196.0,193.0,1.0,0.7,2,23,3,1
03.01.2019 24:00:00,15.0,1.9,19.5,0,0.67,0,3.3,22.0,26.0,21.0,0,91.0,2.5,0,190.0,212.0,0.6,1.0,2,24,3,1
04.01.2019 01:00:00,14.0,0.0,19.2,0,0.66,0,14.0,20.0,34.0,21.0,0,92.0,2.3,0,325.0,334.0,0.4,0.3,3,1,4,1
04.01.2019 02:00:00,16.0,-0.1,18.9,0,0.62,0,34.0,15.0,49.0,22.0,0,93.0,2.3,0,237.0,220.0,0.5,0.4,3,2,4,1
04.01.2019 03:00:00,18.0,-0.1,18.9,0,0.63,0,30.0,14.0,44.0,22.0,0,94.0,2.3,0,39.0,63.0,0.7,0.2,3,3,4,1
04.01.2019 04:00:00,20.0,-0.1,19.0,0,0.6,0,29.0,14.0,44.0,22.0,0,94.0,2.5,0,26.0,39.0,0.6,0.4,3,4,4,1
04.01.2019 05:00:00,18.0,-0.1,18.9,0,0.54,0,24.0,14.0,38.0,28.0,0,94.0,2.3,0,56.0,37.0,0.5,0.6,3,5,4,1
04.01.2019 06:00:00,23.0,24.55,19.3,0,0.65,0,16.0,21.0,37.0,46.0,0,95.0,2.1,0,254.0,247.0,0.6,0.3,3,6,4,1
04.01.2019 07:00:00,28.0,0.0,19.3,0,0.67,0,10.0,22.0,32.0,51.0,0,95.0,1.9,0,191.0,188.0,1.7,1.2,3,7,4,1
04.01.2019 08:00:00,24.0,1.1,19.3,0,0.87,0,17.0,17.0,34.0,49.0,0,96.0,2.1,0,198.0,335.0,0.5,0.9,3,8,4,1
04.01.2019 09:00:00,22.0,1.6,19.9,0,0.95,0,26.0,15.0,42.0,44.0,0,93.0,2.4,0,192.0,191.0,2.1,1.2,3,9,4,1
04.01.2019 10:00:00,27.0,6.7,21.3,0,0.7,0,15.0,16.0,31.0,38.0,0,83.0,2.6,0,190.0,189.0,1.4,1.3,3,10,4,1
04.01.2019 11:00:00,34.0,18.0,23.3,0,0.58,0,7.0,16.0,23.0,50.0,0,75.0,2.5,0,275.0,311.0,1.7,0.7,3,11,4,1
04.01.2019 12:00:00,42.0,20.0,23.5,0,0.66,0,8.0,19.0,27.0,70.0,0,75.0,3.6,0,295.0,314.0,1.4,1.1,3,12,4,1
