Date Time,PM2.5,O3,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,PM10,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,DAY_OF_YEAR,HOUR,WEEKDAY,MONTH
01.01.2019 01:00:00,8.0,31.0,16.8,0,0.27,0,0.9,8.8,9.6,5.0,0,86.0,1.0,0,102.0,105.0,2.4,2.4,0,1,1,1
01.01.2019 02:00:00,13.0,28.0,16.8,0,0.31,0,0.0,0.0,0.0,4.0,0,87.0,0.9,0,105.0,106.0,2.5,2.3,0,2,1,1
01.01.2019 03:00:00,9.0,34.0,16.7,0,0.25,0,0.6,7.0,7.6,11.0,0,87.0,0.8,0,106.0,108.0,2.8,2.6,0,3,1,1
01.01.2019 04:00:00,5.0,35.0,16.7,0,0.24,0,0.0,2.333,0.0,10.0,0,87.0,0.8,0,101.0,98.0,2.8,2.4,0,4,1,1
01.01.2019 05:00:00,2.0,36.0,16.7,0,0.23,0,0.4,5.6,6.0,8.0,0,87.0,0.8,0,100.0,92.0,2.8,2.5,0,5,1,1
01.01.2019 06:00:00,3.0,35.0,16.7,0,0.23,0,0.8,5.7,6.5,9.0,0.2,87.0,0.7,0,104.0,99.0,2.8,2.5,0,6,1,1
01.01.2019 07:00:00,1.0,32.0,16.7,0,0.24,0,0.9,9.1,10.0,10.0,0,87.0,0.7,0,103.0,103.0,2.6,2.5,0,7,1,1
01.01.2019 08:00:00,3.0,29.0,16.8,0,0.27,0,1.8,12.0,14.0,8.0,0,87.0,0.8,0,101.0,99.0,3.0,2.6,0,8,1,1
01.01.2019 09:00:00,3.0,28.0,17.1,0,0.29,0,2.1,13.0,15.0,8.0,0,87.0,0.8,0,99.0,98.0,2.4,2.5,0,9,1,1
01.01.2019 10:00:00,4.0,28.0,17.2,0,0.3,0,2.6,14.0,16.0,9.0,0,86.0,0.9,0,100.0,94.0,3.0,2.8,0,10,1,1
