Date Time,PM2.5,O3,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,PM10,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,DAY_OF_YEAR,HOUR,WEEKDAY,MONTH
01.01.2015 01:00:00,34.0,42.0,16.0,0,0.64,0,0.8,11.0,12.0,146.0,0,58.0,10.0,0,71.0,68.0,7.4,7.6,0,1,3,1
01.01.2015 02:00:00,40.0,43.0,16.0,0,0.6,0,0.7,9.9,11.0,180.0,0,58.0,8.7,0,72.0,71.0,8.0,7.3,0,2,3,1
01.01.2015 03:00:00,44.0,41.0,15.0,0,0.59,0,0.8,9.5,10.0,174.0,0,60.0,7.8,0,71.0,71.0,7.5,7.0,0,3,3,1
01.01.2015 04:00:00,50.0,38.0,15.0,0,0.55,0,1.1,9.8,11.0,147.0,0,62.0,7.7,0,70.0,75.0,6.9,6.7,0,4,3,1
01.01.2015 05:00:00,51.0,37.0,14.0,0,0.44,0,1.1,9.5,11.0,130.0,0,62.0,8.3,0,81.0,79.0,6.9,6.5,0,5,3,1
01.01.2015 06:00:00,52.0,35.0,14.0,0,0.43,0,1.0,10.0,11.0,114.0,0,61.0,9.0,0,78.0,82.0,7.2,7.0,0,6,3,1
01.01.2015 07:00:00,53.0,30.0,14.0,0,0.5,0,1.2,14.0,15.0,115.0,0,59.0,7.4,0,87.0,88.0,6.3,6.1,0,7,3,1
01.01.2015 08:00:00,51.0,28.0,14.0,0,0.56,0,1.9,15.0,17.0,111.0,0,57.0,8.2,0,86.0,83.0,6.6,6.6,0,8,3,1
01.01.2015 09:00:00,48.0,31.0,14.0,0,0.48,0,1.9,11.0,13.0,119.0,0,54.0,8.3,0,80.0,82.0,6.8,6.9,0,9,3,1
01.01.2015 10:00:00,44.0,32.0,14.0,0,0.45,0,2.9,12.0,14.0,119.0,0,53.0,8.8,0,78.0,87.0,7.0,7.3,0,10,3,1
01.01.2015 11:00:00,42.0,37.0,15.0,0,0.42,0,3.2,10.0,14.0,123.0,0,50.0,8.9,0,70.0,70.0,8.2,7.6,0,11,3,1
01.01.2015 12:00:00,38.0,42.0,15.0,0,0.38,0,2.8,9.3,12.0,118.0,0,47.0,7.6,0,70.0,61.0,8.9,7.9,0,12,3,1
01.01.2015 13:00:00,36.0,45.0,14.0,0,0.32,0,2.3,8.7,11.0,109.0,0,47.0,7.7,0,66.0,58.0,9.0,7.9,0,13,3,1
01.01.2015 14:00:00,35.0,47.0,14.0,0,0.29,0,2.1,8.0,10.0,93.0,0,45.0,7.2,0,64.0,61.0,8.9,8.1,0,14,3,1
01.01.2015 15:00:00,33.0,44.0,14.0,0,0.3,0,2.3,9.0,11.0,88.0,0,48.0,7.5,0,65.0,69.0,7.7,8.3,0,15,3,1
01.01.2015 16:00:00,29.0,40.0,13.0,0,0.29,0,2.4,9.6,12.0,87.0,0,52.0,8.5,0,66.0,69.0,8.3,7.9,0,16,3,1
01.01.2015 17:00:00,26.0,38.0,13.0,0,0.28,0,2.0,10.0,12.0,94.0,0,54.0,5.4,0,77.0,76.0,7.6,7.4,0,17,3,1
01.01.2015 18:00:00,25.0,36.0,12.0,0,0.28,0,1.8,10.0,12.0,86.0,0,55.0,4.5,0,82.0,86.0,8.5,7.4,0,18,3,1
01.01.2015 19:00:00,22.0,34.0,12.0,0,0.28,0,1.5,13.0,14.0,78.0,0,51.0,3.9,0,85.0,86.0,7.4,7.4,0,19,3,1
01.01.2015 20:00:00,20.0,34.0,12.0,0,0.24,0,1.3,11.0,12.0,61.0,0,53.0,4.1,0,86.0,87.0,7.0,7.2,0,20,3,1
01.01.2015 21:00:00,17.0,31.0,12.0,0,0.24,0,1.3,12.0,13.0,59.0,0,55.0,4.2,0,83.0,86.0,6.1,6.3,0,21,3,1
01.01.2015 22:00:00,17.0,29.0,12.0,0,0.21,0,1.5,13.0,14.0,48.0,0,53.0,3.9,0,85.0,84.0,6.2,6.1,0,22,3,1
01.01.2015 23:00:00,15.0,32.0,12.0,0,0.16,0,1.1,9.0,10.0,52.0,0,54.0,3.1,0,80.0,81.0,6.2,5.9,0,23,3,1
01.01.2015 24:00:00,17.0,29.0,12.0,0,0.26,0,1.2,12.0,13.0,41.0,0,56.0,3.4,0,84.0,83.0,6.5,6.2,0,24,3,1
02.01.2015 01:00:00,15.0,31.0,12.0,0,0.31,0,1.1,12.0,13.0,47.0,0,56.0,3.7,0,82.0,81.0,6.5,6.4,1,1,4,1
02.01.2015 02:00:00,13.0,30.0,12.0,0,0.27,0,1.3,14.0,15.0,44.0,0,54.0,4.1,0,82.0,77.0,5.1,5.3,1,2,4,1
02.01.2015 03:00:00,13.0,33.0,12.0,0,0.33,0,1.0,14.0,15.0,50.0,0,54.0,4.4,0,82.0,80.0,5.1,4.8,1,3,4,1
02.01.2015 04:00:00,12.0,32.0,12.0,0,0.18,0,0.7,12.0,12.0,51.0,0,56.0,3.4,0,82.0,79.0,6.1,5.3,1,4,4,1
02.01.2015 05:00:00,13.0,34.0,12.0,0,0.19,0,0.6,9.6,10.0,54.0,0,57.0,2.8,0,79.0,73.0,6.0,5.3,1,5,4,1
02.01.2015 06:00:00,14.0,36.0,13.0,0,0.19,0,0.4,7.1,7.5,55.0,0,54.0,4.1,0,75.0,75.0,5.6,5.3,1,6,4,1
02.01.2015 07:00:00,17.0,34.0,13.0,0,0.21,0,0.5,9.5,10.0,55.0,0,57.0,3.0,0,80.0,74.0,5.5,5.1,1,7,4,1
02.01.2015 08:00:00,15.0,29.0,13.0,0,0.34,0,1.4,14.0,16.0,60.0,0,55.0,4.5,0,84.0,90.0,5.6,5.2,1,8,4,1
02.01.2015 09:00:00,18.0,29.0,14.0,0,0.28,0,3.5,16.0,19.0,67.0,0,54.0,5.6,0,80.0,75.0,5.6,5.7,1,9,4,1
02.01.2015 10:00:00,20.0,34.0,15.0,0,0.25,0,3.0,9.7,13.0,69.0,0,48.0,4.3,0,73.0,82.0,5.7,5.8,1,10,4,1
02.01.2015 11:00:00,21.0,35.0,16.0,0,0.22,0,3.1,10.0,13.0,70.0,0,49.0,7.2,0,63.0,66.0,6.2,6.4,1,11,4,1
02.01.2015 12:00:00,23.0,37.0,17.0,0,0.2,0,2.7,8.6,11.0,70.0,0,48.0,7.1,0,60.0,59.0,8.2,7.5,1,12,4,1
02.01.2015 13:00:00,21.0,38.0,17.0,0,0.2,0,2.3,8.5,11.0,65.0,0,48.0,7.1,0,63.0,61.0,8.3,7.3,1,13,4,1
02.01.2015 14:00:00,21.0,38.0,17.0,0,0.2,0,2.5,9.9,12.0,66.0,0,53.0,7.0,0,61.0,58.0,8.1,7.5,1,14,4,1
02.01.2015 15:00:00,20.0,38.0,17.0,0,0.19,0,2.5,10.0,13.0,68.0,0,55.0,6.6,0,61.0,59.0,8.8,7.9,1,15,4,1
02.01.2015 16:00:00,20.0,37.0,16.0,0,0.19,0,2.3,11.0,13.0,72.0,0,57.0,7.3,0,62.0,64.0,8.3,7.6,1,16,4,1
02.01.2015 17:00:00,16.0,35.0,16.0,0,0.19,0,1.9,12.0,13.0,62.0,0,56.0,4.4,0,73.0,79.0,6.4,6.5,1,17,4,1
02.01.2015 18:00:00,17.0,34.0,15.0,0,0.21,0,1.5,12.0,14.0,61.0,0,56.0,3.1,0,79.0,82.0,5.9,5.7,1,18,4,1
02.01.2015 19:00:00,15.0,30.0,14.0,0,0.22,0,1.1,16.0,17.0,62.0,0,57.0,3.7,0,82.0,79.0,5.9,5.7,1,19,4,1
02.01.2015 20:00:00,14.0,29.0,14.0,0,0.26,0,0.9,16.0,17.0,65.0,0,57.0,4.1,0,83.0,82.0,5.8,5.7,1,20,4,1
02.01.2015 21:00:00,16.0,25.0,14.0,0,0.27,0,1.1,20.0,21.0,61.0,0,57.0,5.7,0,83.0,85.0,4.9,5.4,1,21,4,1
02.01.2015 22:00:00,14.0,26.0,14.0,0,0.23,0,1.2,18.0,19.0,53.0,0,56.0,5.7,0,82.0,84.0,6.0,5.6,1,22,4,1
02.01.2015 23:00:00,12.0,29.0,14.0,0,0.23,0,0.8,17.0,18.0,48.0,0,55.0,5.1,0,84.0,86.0,5.7,5.7,1,23,4,1
02.01.2015 24:00:00,15.0,26.0,14.0,0,0.28,0,0.9,19.0,20.0,41.0,0,56.0,5.5,0,83.0,80.0,4.9,5.1,1,24,4,1
03.01.2015 01:00:00,15.0,25.0,14.0,0,0.27,0,0.8,19.0,20.0,38.0,0,57.0,4.5,0,82.0,79.0,5.2,4.8,2,1,5,1
03.01.2015 02:00:00,13.0,19.0,14.0,0,0.39,0,1.2,25.0,26.0,39.0,0,57.0,6.7,0,81.0,84.0,4.6,4.5,2,2,5,1
03.01.2015 03:00:00,13.0,27.0,13.0,0,0.33,0,1.2,21.0,22.0,41.0,0,59.0,6.1,0,83.0,85.0,5.0,4.9,2,3,5,1
03.01.2015 04:00:00,13.0,31.0,13.0,0,0.16,0,1.0,12.0,13.0,43.0,0,60.0,4.3,0,82.0,82.0,4.9,5.2,2,4,5,1
03.01.2015 05:00:00,11.0,33.0,13.0,0,0.16,0,0.9,11.0,11.0,42.0,0,61.0,3.5,0,81.0,80.0,5.2,5.2,2,5,5,1
03.01.2015 06:00:00,13.0,30.0,13.0,0,0.18,0,0.7,12.0,13.0,33.0,0,62.0,4.3,0,82.0,83.0,4.6,4.8,2,6,5,1
03.01.2015 07:00:00,13.0,27.0,13.0,0,0.2,0,1.0,16.0,17.0,32.0,0,63.0,3.2,0,83.0,85.0,4.1,4.2,2,7,5,1
03.01.2015 08:00:00,11.0,32.0,14.0,0,0.21,0,1.4,11.0,13.0,34.0,0,60.0,2.9,0,81.0,81.0,4.5,4.3,2,8,5,1
03.01.2015 09:00:00,10.0,32.0,16.0,0,0.22,0,2.5,12.0,15.0,39.0,0,54.0,2.4,0,82.0,92.0,3.7,4.1,2,9,5,1
03.01.2015 10:00:00,11.0,34.0,17.0,0,0.25,0,3.3,12.0,16.0,39.0,0,50.0,3.0,0,87.0,96.0,3.3,3.5,2,10,5,1
03.01.2015 11:00:00,12.0,41.0,19.0,0,0.25,0,2.9,11.0,14.0,30.0,0,46.0,2.6,0,91.0,86.0,3.2,3.7,2,11,5,1
03.01.2015 12:00:00,11.0,44.0,20.0,0,0.23,0,2.4,9.6,12.0,37.0,0,46.0,2.7,0,75.0,57.0,3.4,2.2,2,12,5,1
03.01.2015 13:00:00,13.0,46.0,20.0,0,0.2,0,1.9,6.9,8.8,38.0,0,50.0,1.9,0,80.0,90.0,3.0,1.6,2,13,5,1
03.01.2015 14:00:00,13.0,47.0,20.0,0,0.18,0,1.5,6.6,8.1,44.0,0,53.0,2.3,0,81.0,73.0,3.7,1.6,2,14,5,1
03.01.2015 15:00:00,11.0,48.0,20.0,0,0.16,0,1.2,5.7,6.9,42.0,0,55.0,1.8,0,76.0,77.0,3.1,1.8,2,15,5,1
03.01.2015 16:00:00,12.0,45.0,20.0,0,0.22,0,1.4,7.9,9.3,46.0,0,56.0,2.2,0,78.0,75.0,2.4,1.5,2,16,5,1
03.01.2015 17:00:00,15.0,44.0,19.0,0,0.2,0,1.1,8.4,9.5,54.0,0,60.0,2.0,0,56.0,48.0,1.8,1.4,2,17,5,1
03.01.2015 18:00:00,15.0,37.0,18.0,0,0.24,0,1.2,12.0,13.0,58.0,0,65.0,3.0,0,63.0,67.0,0.8,0.9,2,18,5,1
03.01.2015 19:00:00,18.0,16.0,18.0,0,0.55,0,2.6,30.0,32.0,66.0,0,65.0,4.8,0,98.0,101.0,1.8,1.5,2,19,5,1
03.01.2015 20:00:00,21.0,9.5,17.0,0,0.62,0,2.8,37.0,40.0,68.0,0,60.0,4.1,0,112.0,116.0,2.7,2.1,2,20,5,1
03.01.2015 21:00:00,20.0,10.0,16.0,0,0.63,0,3.6,31.0,35.0,63.0,0,63.0,9.8,0,118.0,124.0,1.9,2.5,2,21,5,1
03.01.2015 22:00:00,21.0,2.5,16.0,0,0.75,0,14.0,42.0,56.0,71.0,0,66.0,24.0,0,122.0,121.0,2.1,2.0,2,22,5,1
03.01.2015 23:00:00,26.0,1.8,16.0,0,0.73,0,15.0,44.0,59.0,77.0,0,68.0,23.0,0,117.0,119.0,1.5,1.7,2,23,5,1
03.01.2015 24:00:00,29.0,2.4,15.0,0,0.73,0,18.0,44.0,62.0,100.0,0,71.0,28.0,0,121.0,121.0,1.9,1.4,2,24,5,1
04.01.2015 01:00:00,32.0,7.0,15.0,0,0.64,0,7.4,39.0,46.0,100.0,0,72.0,26.0,0,118.0,113.0,1.8,1.5,3,1,6,1
04.01.2015 02:00:00,34.0,7.9,15.0,0,0.55,0,5.1,36.0,41.0,99.0,0,72.0,24.0,0,126.0,188.0,0.8,1.2,3,2,6,1
04.01.2015 03:00:00,33.0,8.6,14.0,0,0.54,0,1.8,25.0,27.0,81.0,0,77.0,3.0,0,210.0,191.0,1.1,0.9,3,3,6,1
04.01.2015 04:00:00,35.0,13.0,14.0,0,0.56,0,1.0,25.0,26.0,75.0,0,75.0,3.6,0,177.0,170.0,0.9,1.0,3,4,6,1
04.01.2015 05:00:00,39.0,14.0,14.0,0,0.57,0,1.0,24.0,25.0,75.0,0,73.0,3.6,0,154.0,158.0,0.8,0.8,3,5,6,1
04.01.2015 06:00:00,44.0,18.0,13.0,0,0.52,0,0.8,20.0,21.0,92.0,0,74.0,3.0,0,121.0,119.0,0.9,0.8,3,6,6,1
04.01.2015 07:00:00,46.0,23.0,14.0,0,0.49,0,0.7,17.0,18.0,91.0,0,72.0,3.0,0,127.0,122.0,1.2,0.8,3,7,6,1
04.01.2015 08:00:00,46.0,23.0,15.0,0,0.54,0,1.6,18.0,20.0,93.0,0,70.0,3.8,0,131.0,180.0,0.7,0.7,3,8,6,1
04.01.2015 09:00:00,44.0,25.0,16.0,0,0.49,0,5.2,21.0,26.0,90.0,0,68.0,3.9,0,200.0,222.0,1.3,0.8,3,9,6,1
04.01.2015 10:00:00,46.0,33.0,18.0,0,0.41,0,3.0,13.0,16.0,92.0,0,71.0,4.1,0,283.0,313.0,1.6,0.8,3,10,6,1
04.01.2015 11:00:00,47.0,36.0,18.0,0,0.42,0,3.7,15.0,19.0,82.0,0,72.0,4.9,0,307.0,297.0,2.1,1.8,3,11,6,1
04.01.2015 12:00:00,46.0,44.0,19.0,0,0.4,0,2.8,13.0,16.0,76.0,0,72.0,4.0,0,308.0,310.0,2.4,2.1,3,12,6,1
04.01.2015 13:00:00,45.0,52.0,19.0,0,0.33,0,1.8,9.6,11.0,60.0,0,72.0,3.7,0,307.0,301.0,2.8,1.9,3,13,6,1
04.01.2015 14:00:00,41.0,59.0,19.0,0,0.28,0,1.0,7.1,8.1,59.0,0,71.0,3.4,0,325.0,30.0,2.6,1.2,3,14,6,1
04.01.2015 15:00:00,37.0,62.0,19.0,0,0.29,0,0.7,7.2,7.9,52.0,0,71.0,3.0,0,338.0,326.0,2.1,0.7,3,15,6,1
04.01.2015 16:00:00,36.0,63.0,19.0,0,0.29,0,0.8,7.9,8.7,54.0,0,72.0,2.9,0,331.0,10.0,1.8,1.0,3,16,6,1
04.01.2015 17:00:00,39.0,62.0,18.0,0,0.35,0,0.7,11.0,12.0,69.0,0,75.0,3.3,0,50.0,58.0,1.8,0.9,3,17,6,1
04.01.2015 18:00:00,35.0,52.0,17.0,0,0.34,0,0.7,13.0,14.0,74.0,0,80.0,4.4,0,51.0,60.0,1.2,1.7,3,18,6,1
04.01.2015 19:00:00,34.0,42.0,17.0,0,0.39,0,0.9,19.0,20.0,86.0,0,83.0,4.2,0,88.0,87.0,1.8,1.3,3,19,6,1
04.01.2015 20:00:00,34.0,39.0,16.0,0,0.38,0,0.8,15.0,16.0,78.0,0,86.0,4.1,0,94.0,98.0,2.3,2.2,3,20,6,1
04.01.2015 21:00:00,32.0,28.0,16.0,0,0.46,0,1.0,22.0,23.0,87.0,0,87.0,3.6,0,98.0,100.0,2.0,2.0,3,21,6,1
04.01.2015 22:00:00,37.0,26.0,16.0,0,0.49,0,0.9,22.0,23.0,93.0,0,87.0,3.7,0,103.0,118.0,1.2,1.5,3,22,6,1
04.01.2015 23:00:00,40.0,3.7,16.0,0,1.07,0,12.0,49.0,61.0,109.0,0,84.0,8.6,0,114.0,112.0,2.3,1.9,3,23,6,1
04.01.2015 24:00:00,46.0,8.8,16.0,0,0.81,0,4.1,39.0,43.0,121.0,0,81.0,15.0,0,116.0,112.0,2.9,2.5,3,24,6,1
05.01.2015 01:00:00,44.0,17.0,16.0,0,0.51,0,2.5,27.0,30.0,117.0,0,76.0,18.0,0,119.0,119.0,2.8,2.8,4,1,0,1
05.01.2015 02:00:00,46.0,12.0,16.0,0,0.44,0,3.1,26.0,29.0,99.0,0,74.0,17.0,0,115.0,111.0,2.5,2.8,4,2,0,1
05.01.2015 03:00:00,46.0,16.0,16.0,0,0.35,0,1.7,17.0,19.0,68.0,0,72.0,6.2,0,116.0,272.0,0.9,1.0,4,3,0,1
05.01.2015 04:00:00,44.0,14.0,15.0,0,0.37,0,1.1,19.0,20.0,47.0,0,75.0,2.6,0,93.0,116.0,1.2,0.5,4,4,0,1
05.01.2015 05:00:00,44.0,12.0,15.0,0,0.43,0,3.5,18.0,22.0,40.0,0,77.0,7.8,0,145.0,182.0,1.5,1.1,4,5,0,1
05.01.2015 06:00:00,41.0,6.6,14.0,0,0.51,0,1.4,20.0,21.0,51.0,0,83.0,2.2,0,173.0,184.0,1.1,0.7,4,6,0,1
05.01.2015 07:00:00,38.0,2.4,14.0,0,0.64,0,8.3,27.0,35.0,68.0,0,85.0,2.8,0,169.0,165.0,0.7,0.6,4,7,0,1
05.01.2015 08:00:00,38.0,5.7,15.0,0,0.96,0,23.0,30.0,53.0,103.0,0,85.0,3.8,0,178.0,192.0,0.6,0.6,4,8,0,1
05.01.2015 09:00:00,43.0,4.6,16.0,0,1.17,0,48.0,34.0,82.0,125.0,0,84.0,6.1,0,124.0,74.0,0.8,0.3,4,9,0,1
05.01.2015 10:00:00,47.0,7.3,18.0,0,0.91,0,28.0,36.0,64.0,137.0,0,84.0,6.3,0,23.0,277.0,0.8,0.3,4,10,0,1
05.01.2015 11:00:00,51.0,20.0,19.0,0,0.72,0,13.0,29.0,42.0,121.0,0,74.0,10.0,0,313.0,313.0,1.5,1.0,4,11,0,1
05.01.2015 12:00:00,51.0,33.0,19.0,0,0.44,0,4.4,18.0,22.0,91.0,0,76.0,6.0,0,311.0,315.0,2.4,1.7,4,12,0,1
05.01.2015 13:00:00,52.0,37.0,19.0,0,0.31,0,2.8,12.0,15.0,71.0,0,83.0,4.0,0,324.0,336.0,2.6,1.5,4,13,0,1
05.01.2015 14:00:00,51.0,43.0,19.0,0,0.31,0,1.7,10.0,12.0,53.0,0,84.0,3.5,0,357.0,41.0,1.9,0.6,4,14,0,1
05.01.2015 15:00:00,51.0,43.0,19.0,0,0.32,0,1.4,13.0,14.0,60.0,0,82.0,6.3,0,56.0,66.0,1.4,1.2,4,15,0,1
05.01.2015 16:00:00,44.0,32.0,20.0,0,0.45,0,4.1,26.0,30.0,72.0,0,78.0,10.0,0,89.0,95.0,2.7,2.1,4,16,0,1
05.01.2015 17:00:00,39.0,30.0,21.0,0,0.47,0,3.9,32.0,35.0,86.0,0,74.0,6.6,0,105.0,94.0,2.0,2.3,4,17,0,1
05.01.2015 18:00:00,38.0,15.0,20.0,0,0.7,0,9.3,43.0,52.0,104.0,0,80.0,5.1,0,32.0,104.0,2.1,0.5,4,18,0,1
05.01.2015 19:00:00,33.0,37.0,18.0,0,0.34,0,1.7,15.0,17.0,98.0,0,88.0,2.9,0,58.0,52.0,1.8,1.1,4,19,0,1
05.01.2015 20:00:00,35.0,22.0,18.0,0,0.47,0,2.2,27.0,29.0,94.0,0,89.0,5.5,0,87.0,100.0,2.1,1.5,4,20,0,1
05.01.2015 21:00:00,36.0,13.0,17.0,0,0.48,0,2.7,29.0,32.0,79.0,0,90.0,5.2,0,94.0,101.0,1.6,1.9,4,21,0,1
05.01.2015 22:00:00,41.0,2.2,17.0,0,0.92,0,23.0,48.0,71.0,98.0,0,90.0,6.4,0,94.0,318.0,0.9,0.9,4,22,0,1
05.01.2015 23:00:00,42.0,8.9,18.0,0,0.57,0,10.0,36.0,47.0,105.0,0,90.0,6.2,0,319.0,71.0,0.5,0.4,4,23,0,1
05.01.2015 24:00:00,43.0,12.0,18.0,0,0.54,0,5.6,31.0,36.0,101.0,0,90.0,3.8,0,220.0,163.0,0.6,0.4,4,24,0,1
06.01.2015 01:00:00,44.0,5.1,18.0,0,0.69,0,9.6,36.0,46.0,94.0,0,90.0,4.8,0,168.0,189.0,1.2,0.8,5,1,1,1
06.01.2015 02:00:00,44.0,1.4,18.0,0,0.94,0,24.0,40.0,64.0,96.0,0,89.0,5.0,0,199.0,231.0,0.9,0.7,5,2,1,1
06.01.2015 03:00:00,47.0,1.1,18.0,0,0.87,0,22.0,38.0,60.0,99.0,0,87.0,4.9,0,230.0,236.0,0.7,0.7,5,3,1,1
06.01.2015 04:00:00,46.0,1.0,18.0,0,0.82,0,20.0,33.0,53.0,97.0,0,86.0,4.8,0,194.0,176.0,0.9,0.6,5,4,1,1
