Date Time,PM2.5,O3,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,PM10,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,DAY_OF_YEAR,HOUR,WEEKDAY,MONTH
01.01.2019 01:00:00,1.0,39.0,10.7,0,0.14,0,0.3,0.9,1.2,2.0,2.0,100.0,1.1,0,0,170.0,2.2,0,0,1,1,1
01.01.2019 02:00:00,1.0,40.0,10.8,0,0.16,0,0.4,0.8,1.2,5.0,2.2,100.0,0.7,0,0,190.0,3.0,0,0,2,1,1
01.01.2019 03:00:00,1.0,40.0,10.7,0,0.16,0,0.0,0.0,0.0,4.0,2.0,100.0,0.6,0,0,220.0,2.5,0,0,3,1,1
01.01.2019 04:00:00,1.0,40.0,10.7,0,0.16,0,0.0,0.0,0.0,3.667,1.8,100.0,0.6,0,0,120.0,3.7,0,0,4,1,1
01.01.2019 05:00:00,1.0,40.0,10.6,0,0.16,0,0.0,0.0,0.0,5.0,1.4,100.0,0.5,0,0,170.0,3.6,0,0,5,1,1
01.01.2019 06:00:00,1.0,40.0,10.4,0,0.16,0,0.0,0.0,0.0,3.0,1.6,100.0,0.8,0,0,220.0,3.0,0,0,6,1,1
01.01.2019 07:00:00,3.0,39.0,10.7,0,0.17,0,0.0,0.0,0.0,2.0,2.4,100.0,0.6,0,0,190.0,2.9,0,0,7,1,1
01.01.2019 08:00:00,3.0,39.0,10.8,0,0.18,0,0.0,0.0,0.0,5.0,1.8,100.0,0.8,0,0,190.0,4.2,0,0,8,1,1
01.01.2019 09:00:00,2.0,39.0,10.7,0,0.18,0,0.4,1.1,1.5,5.0,1.8,100.0,0.7,0,0,190.0,1.6,0,0,9,1,1
01.01.2019 10:00:00,1.0,39.0,10.7,0,0.19,0,0.5,1.0,1.4,5.0,2.0,100.0,0.9,0,0,190.0,3.2,0,0,10,1,1
01.01.2019 11:00:00,1.0,39.0,10.6,0,0.19,0,0.3,1.2,1.4,4.0,1.4,100.0,0.7,0,0,150.0,2.3,0,0,11,1,1
01.01.2019 12:00:00,1.0,40.0,10.7,0,0.19,0,0.3,1.2,1.5,5.0,1.2,100.0,0.6,0,0,230.0,2.2,0,0,12,1,1
01.01.2019 13:00:00,3.0,40.0,10.8,0,0.2,0,0.0,0.083,0.0,7.0,1.4,100.0,0.9,0,0,210.0,3.2,0,0,13,1,1
01.01.2019 14:00:00,1.538,37.0,10.5,0,0.21,0,0.0,0.077,0.0,4.0,1.0,100.0,1.0,0,0,180.0,4.6,0,0,14,1,1
01.01.2019 15:00:00,1.0,40.0,10.6,0,0.2,0,1.0,1.1,2.0,3.0,1.2,100.0,0.9,0,0,200.0,3.0,0,0,15,1,1
01.01.2019 16:00:00,1.0,40.0,10.5,0,0.19,0,1.3,1.2,2.4,5.0,1.6,100.0,0.8,0,0,200.0,3.0,0,0,16,1,1
01.01.2019 17:00:00,1.0,41.0,10.2,0,0.19,0,1.2,1.2,2.4,3.0,1.6,100.0,0.7,0,0,220.0,2.3,0,0,17,1,1
01.01.2019 18:00:00,1.0,41.0,10.5,0,0.19,0,1.0,1.2,2.2,5.0,1.2,100.0,0.6,0,0,180.0,5.4,0,0,18,1,1
01.01.2019 19:00:00,1.0,42.0,10.7,0,0.18,0,1.2,1.1,2.4,3.0,1.8,100.0,0.9,0,0,180.0,4.9,0,0,19,1,1
01.01.2019 20:00:00,1.0,42.0,10.6,0,0.18,0,1.3,1.2,2.5,6.0,1.8,100.0,0.8,0,0,180.0,3.9,0,0,20,1,1
01.01.2019 21:00:00,1.0,42.0,10.3,0,0.17,0,1.4,1.2,2.6,8.0,1.8,100.0,0.6,0,0,170.0,5.6,0,0,21,1,1
01.01.2019 22:00:00,2.0,42.0,10.8,0,0.17,0,1.2,1.0,2.2,5.0,2.0,100.0,0.7,0,0,190.0,5.1,0,0,22,1,1
01.01.2019 23:00:00,1.0,42.0,10.5,0,0.17,0,1.2,1.0,2.2,6.0,1.6,100.0,0.8,0,0,180.0,2.7,0,0,23,1,1
01.01.2019 24:00:00,1.0,43.0,10.5,0,0.17,0,1.3,0.9,2.1,4.0,2.0,100.0,0.8,0,0,180.0,3.8,0,0,24,1,1
02.01.2019 01:00:00,1.0,42.0,10.5,0,0.0,0,0.083,0.125,0.083,3.0,1.6,100.0,0.042,0,0,180.0,2.8,0,1,1,2,1
02.01.2019 02:00:00,1.0,42.0,10.5,0,0.15,0,0.0,1.2,1.2,4.12,1.2,100.0,1.3,0,0,200.0,2.5,0,1,2,2,1
02.01.2019 03:00:00,1.0,42.0,10.5,0,0.15,0,0.3,1.0,1.3,1.0,1.8,100.0,1.3,0,0,200.0,3.2,0,1,3,2,1
02.01.2019 04:00:00,1.0,41.0,10.5,0,0.16,0,0.3,1.0,1.2,4.0,1.4,100.0,1.2,0,0,188.148,2.5,0,1,4,2,1
02.01.2019 05:00:00,1.0,41.0,10.6,0,0.16,0,0.4,1.0,1.3,3.0,1.2,100.0,1.3,0,0,180.0,3.2,0,1,5,2,1
02.01.2019 06:00:00,3.0,41.0,11.0,0,0.17,0,0.3,1.0,1.3,2.0,1.6,100.0,1.4,0,0,170.0,6.3,0,1,6,2,1
02.01.2019 07:00:00,3.0,40.0,11.1,0,0.17,0,0.3,1.0,1.3,4.0,2.4,100.0,1.4,0,0,180.0,2.9,0,1,7,2,1
02.01.2019 08:00:00,2.0,40.0,11.2,0,0.18,0,0.3,1.1,1.3,3.0,2.4,100.0,1.3,0,0,190.0,3.7,0,1,8,2,1
02.01.2019 09:00:00,2.0,40.0,11.3,0,0.18,0,0.4,1.1,1.5,2.0,1.8,100.0,1.3,0,0,180.0,3.9,0,1,9,2,1
02.01.2019 10:00:00,1.0,40.0,11.3,0,0.18,0,0.3,1.2,1.5,2.0,1.6,100.0,1.3,0,0,170.0,5.3,0,1,10,2,1
02.01.2019 11:00:00,1.0,40.0,11.3,0,0.19,0,0.3,1.4,1.7,1.0,1.2,100.0,1.3,0,0,180.0,2.9,0,1,11,2,1
02.01.2019 12:00:00,1.0,41.0,11.4,0,0.19,0,0.2,1.4,1.6,4.0,1.2,100.0,1.3,0,0,180.0,3.7,0,1,12,2,1
02.01.2019 13:00:00,1.0,41.0,11.6,0,0.2,0,0.3,1.2,1.5,5.0,0.6,100.0,1.4,0,0,160.0,4.3,0,1,13,2,1
02.01.2019 14:00:00,1.0,41.0,11.6,0,0.2,0,0.3,1.1,1.5,6.0,0.4,100.0,1.3,0,0,180.0,4.2,0,1,14,2,1
02.01.2019 15:00:00,1.0,41.0,11.8,0,0.2,0,0.2,1.2,1.4,3.0,0.8,100.0,1.2,0,0,150.0,3.1,0,1,15,2,1
02.01.2019 16:00:00,2.0,41.0,12.0,0,0.2,0,0.2,1.2,1.4,2.0,1.0,100.0,1.3,0,0,160.0,5.2,0,1,16,2,1
02.01.2019 17:00:00,2.0,40.0,12.2,0,0.2,0,0.3,1.3,1.5,10.0,1.6,100.0,1.3,0,0,180.0,2.5,0,1,17,2,1
02.01.2019 18:00:00,2.0,40.0,12.3,0,0.2,0,0.3,1.3,1.5,6.0,1.2,100.0,1.3,0,0,160.0,5.7,0,1,18,2,1
02.01.2019 19:00:00,3.0,40.0,12.4,0,0.19,0,0.2,1.3,1.5,5.0,1.4,100.0,1.2,0,0,160.0,5.9,0,1,19,2,1
02.01.2019 20:00:00,2.0,40.0,12.9,0,0.18,0,0.3,1.3,1.5,4.0,3.0,100.0,1.3,0,0,160.0,6.8,0,1,20,2,1
02.01.2019 21:00:00,2.0,40.0,13.0,0,0.17,0,0.3,1.2,1.5,4.0,2.6,100.0,1.4,0,0,150.0,6.5,0,1,21,2,1
02.01.2019 22:00:00,1.0,39.0,12.8,0,0.17,0,0.4,1.5,1.9,4.0,2.6,100.0,1.3,0,0,170.0,6.6,0,1,22,2,1
02.01.2019 23:00:00,1.0,40.0,12.7,0,0.17,0,0.2,1.3,1.5,4.0,1.8,100.0,1.3,0,0,190.0,2.2,0,1,23,2,1
02.01.2019 24:00:00,1.0,40.0,12.4,0,0.17,0,0.3,1.0,1.3,3.0,1.8,100.0,1.2,0,0,200.0,2.4,0,1,24,2,1
03.01.2019 01:00:00,1.0,39.0,12.5,0,0.17,0,0.2,1.2,1.4,2.0,1.6,100.0,1.4,0,0,200.0,2.4,0,2,1,3,1
03.01.2019 02:00:00,1.0,40.0,12.4,0,0.2,0,0.1,1.0,1.1,3.0,1.8,100.0,1.4,0,0,181.99,1.7,0,2,2,3,1
03.01.2019 03:00:00,1.0,40.0,12.3,0,0.2,0,0.0,0.9,0.9,1.0,2.2,100.0,1.5,0,0,230.0,1.9,0,2,3,3,1
03.01.2019 04:00:00,1.0,40.0,12.3,0,0.2,0,0.2,1.1,1.2,2.0,2.6,100.0,1.4,0,0,100.0,2.9,0,2,4,3,1
03.01.2019 05:00:00,2.0,40.0,12.4,0,0.21,0,0.1,1.1,1.2,3.0,4.2,100.0,1.4,0,0,120.0,2.3,0,2,5,3,1
03.01.2019 06:00:00,1.0,41.0,12.5,0,0.22,0,0.1,1.1,1.2,5.0,4.0,100.0,1.5,0,0,190.0,3.4,0,2,6,3,1
03.01.2019 07:00:00,2.0,41.0,12.5,0,0.23,0,0.2,1.3,1.5,4.0,1.8,100.0,1.5,0,0,170.0,3.0,0,2,7,3,1
03.01.2019 08:00:00,3.0,41.0,12.6,0,0.24,0,0.2,1.2,1.5,2.0,4.6,100.0,1.6,0,0,140.0,2.9,0,2,8,3,1
03.01.2019 09:00:00,3.0,39.0,12.6,0,0.26,0,0.2,1.2,1.4,2.0,2.2,100.0,1.5,0,0,170.0,5.0,0,2,9,3,1
03.01.2019 10:00:00,2.0,39.0,12.9,0,0.26,0,0.3,1.2,1.4,3.74,1.4,100.0,1.6,0,0,180.0,4.1,0,2,10,3,1
