日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2017/01/01,頭份,AMB_TEMP,17,17,17,17,16,16,16,17,18,21,23,24,24,23,23,23,22,21,21,20,20,20,20,20
2017/01/01,頭份,CH4,2,2,2,2.1,2.1,2,2.1,2.1,2.1,2,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.9,1.9,2,2,1.9,1.9,1.8
2017/01/01,頭份,CO,0.39,0.42,0.36,0.35,0.31,0.28,0.38,0.45,0.56,0.5,0.36,0.27,0.17,0.14,0.16,0.17,0.21,0.32,0.31,0.43,0.53,0.36,0.37,0.4
2017/01/01,頭份,NMHC,0.12,0.13,0.1,0.12,0.12,0.1,0.14,0.16,0.22,0.19,0.12,0.08,0.03,0.01,0.02,0.02,0.05,0.09,0.08,0.15,0.19,0.14,0.09,0.08
2017/01/01,頭份,NO,2.1,3.8,1.8,3,2.6,0.8,5.5,11,12,9.2,4.4,2.3,1.1,0.8,1,0.4,0.7,1.3,1.1,1.8,5.6,2.2,2,0.8
2017/01/01,頭份,NO2,11,12,9.5,9.6,9.9,8.1,12,13,16,19,14,11,5.1,3.6,5.5,4.9,8,18,17,25,31,27,20,18
2017/01/01,頭份,NOx,13,16,11,13,13,8.8,18,24,29,29,19,13,6.2,4.4,6.5,5.3,8.7,19,18,27,37,30,22,19
2017/01/01,頭份,O3,5.6,2.9,4.6,3.6,4.3,7.8,2.5,4.2,9.8,20,30,46,47,47,45,46,40,27,25,16,5,7.2,14,17
2017/01/01,頭份,PM10,62,65,40,37,27,22,28,27,28,33,39,38,37,45,45,41,41,48,54,57,61,65,68,66
2017/01/01,頭份,PM2.5,41,39,26,23,18,18,15,16,21,25,24,21,22,21,19,20,20,20,20,20,27,32,34,34
2017/01/01,頭份,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2017/01/01,頭份,RH,87,88,88,87,87,86,86,85,81,74,70,67,72,78,81,81,84,85,88,89,89,91,92,93
2017/01/01,頭份,SO2,2.7,1.4,1.2,1,0.9,0.9,0.9,1.2,1.7,2.7,3.2,2.4,1.6,1.1,0.7,0.6,0.7,1.3,0.8,2.5,2.4,3.4,2.9,3
2017/01/01,頭份,THC,2.1,2.2,2.1,2.2,2.2,2.1,2.3,2.2,2.3,2.2,2,1.9,1.8,1.8,1.8,1.8,1.8,1.9,1.9,2.1,2.2,2,2,1.9
2017/01/01,頭份,WD_HR,124,115,123,120,118,125,94,91,190,254,280,304,298,174,200,119,73,340,15,329,210,197,220,209
2017/01/01,頭份,WIND_DIREC,118,120,125,116,126,121,80,121,209,282,352,300,286,190,151,92,49,320,14,322,214,226,222,217
2017/01/01,頭份,WIND_SPEED,1.6,1.3,1.6,1.5,1.7,1.6,1,0.7,1.1,0.9,1.6,2.4,3.8,4.5,3.5,3.2,1.6,1.2,0.6,0.5,1.2,1.8,2.1,2.2
2017/01/01,頭份,WS_HR,1.4,0.9,1.3,1.6,1.4,1.7,0.8,0.6,0.4,0.3,0.9,1,1.2,0.8,0.5,0.7,0.7,0.7,0.4,0.4,0.9,1.3,1.8,1.8
2017/01/02,頭份,AMB_TEMP,20,20,20,20,20,20,20,19,20,22,23,23,22,22,23,23,23,22,21,21,21,20,20,20
2017/01/02,頭份,CH4,1.8,1.8,1.9,1.9,1.9,2,2,2,2,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.9,2,2,2.1
2017/01/02,頭份,CO,0.27,0.33,0.33,0.34,0.33,0.36,0.43,0.47,0.52,0.33,0.31,0.26,0.21,0.21,0.27,0.31,0.34,0.34,0.32,0.38,0.51,0.57,0.63,0.65
2017/01/02,頭份,NMHC,0.09,0.09,0.1,0.13,0.08,0.11,0.14,0.14,0.15,0.09,0.08,0.05,0.03,0.03,0.06,0.09,0.1,0.1,0.1,0.11,0.2,0.23,0.26,0.27
2017/01/02,頭份,NO,0.4,0.6,0.6,1.3,1.1,0.9,1.1,2.3,7.2,3.9,3.5,2.5,2.2,1.7,2.3,1.9,1.3,0.8,0.9,1.3,2.3,2.6,4.8,5.8
2017/01/02,頭份,NO2,16,15,11,11,8.1,9.8,14,14,19,12,10,7.3,6,5.5,9.6,11,14,15,14,20,43,41,45,38
2017/01/02,頭份,NOx,16,16,12,13,9.2,11,15,16,26,16,14,9.8,8.2,7.3,12,13,16,16,15,21,46,44,49,44
2017/01/02,頭份,O3,23,24,25,30,29,18,13,13,11,29,35,38,41,44,40,45,51,41,34,27,13,7.2,2.8,2.2
2017/01/02,頭份,PM10,66,74,80,87,87,83,86,80,70,65,59,60,56,49,51,57,63,61,53,50,54,55,54,57
2017/01/02,頭份,PM2.5,34,39,44,47,48,43,42,41,40,40,35,32,28,25,26,32,35,32,26,25,30,33,32,31
2017/01/02,頭份,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2017/01/02,頭份,RH,92,91,91,90,89,89,89,87,83,79,72,80,80,77,74,72,76,79,82,83,85,86,87,88
2017/01/02,頭份,SO2,4.1,3.2,2.4,2.6,2,1.9,1.6,1.7,2.1,2.5,2.4,2.3,2.3,1.8,2.1,2.4,2.1,1.9,2.1,2,2.2,3.3,4.1,4
2017/01/02,頭份,THC,1.9,1.9,2,2,2,2.1,2.1,2.1,2.1,1.9,1.9,1.9,1.8,1.8,1.9,1.9,1.9,1.9,1.9,2,2.1,2.2,2.3,2.3
2017/01/02,頭份,WD_HR,234,210,205,249,181,98,80,121,110,63,64,301,286,200,81,72,73,69,71,68,72,59,61,75
2017/01/02,頭份,WIND_DIREC,234,156,241,223,123,42,85,115,102,53,325,296,271,137,76,65,73,67,65,69,63,59,62,29
2017/01/02,頭份,WIND_SPEED,2.3,1.2,1.4,1.5,1.4,0.9,1,1.3,1.4,1.6,2.4,4.6,4.4,2.5,2.7,3.3,2.3,1.3,2,1.7,1.3,0.8,1,0.6
2017/01/02,頭份,WS_HR,2,1.6,1.2,1.7,1,0.6,0.8,1.5,0.7,1.3,0.8,1.8,1,0.2,1.1,1.5,1.7,1.3,1.6,1.7,1.2,0.8,0.9,0.6
2017/01/03,頭份,AMB_TEMP,19,19,18,18,18,19,19,19,20,21,22,22,23,23,22,22,22,22,22,21,21,21,21,21
2017/01/03,頭份,CH4,2.1,2.1,2,2,1.9,2,2.1,2,2,1.8,1.8,1.8,1.9,1.8,1.8,1.8,1.9,1.9,1.9,1.9,1.8,1.9,2,1.9
2017/01/03,頭份,CO,0.63,0.39,0.3,0.29,0.22,0.26,0.44,0.67,0.59,0.33,0.28,0.34,0.38,0.3,0.3,0.34,0.37,0.48,0.45,0.45,0.37,0.36,0.51,0.43
2017/01/03,頭份,NMHC,0.27,0.14,0.09,0.09,0.07,0.09,0.17,0.24,0.19,0.1,0.09,0.17,0.17,0.12,0.12,0.14,0.18,0.22,0.2,0.18,0.13,0.11,0.21,0.17
2017/01/03,頭份,NO,6.2,1.2,1.4,0.8,0.9,1.7,11,16,13,3.1,3.8,3.3,3.3,2.9,2.5,3.1,2.7,3,2.2,1.9,1.6,1.1,3.2,2.4
2017/01/03,頭份,NO2,33,14,8.6,7.4,6,9.3,17,16,20,14,15,15,15,15,14,17,17,21,21,19,20,19,26,19
2017/01/03,頭份,NOx,39,15,10,8.2,6.9,11,28,32,33,17,19,18,19,18,16,20,20,24,23,21,22,20,29,21
2017/01/03,頭份,O3,3.4,10,10,10,14,9.3,2.7,2.1,12,27,27,29,30,31,32,29,28,22,23,24,28,28,11,19
2017/01/03,頭份,PM10,51,45,42,39,32,29,29,36,36,37,45,45,46,47,48,53,53,46,41,39,32,28,32,34
2017/01/03,頭份,PM2.5,28,27,27,24,22,19,19,20,20,20,19,21,24,24,21,23,23,19,18,20,19,12,16,27
2017/01/03,頭份,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2017/01/03,頭份,RH,88,88,88,87,85,83,84,84,85,84,81,79,77,77,77,77,78,78,79,80,81,83,83,83
2017/01/03,頭份,SO2,3,1.7,1,0.6,0.2,0,0.2,0.9,1.8,2.2,1.5,2.2,2.6,2.2,2.1,2.2,2.7,3,3.2,2.8,1.1,0.7,3.6,3.1
2017/01/03,頭份,THC,2.4,2.2,2.1,2.1,2,2,2.3,2.3,2.1,1.9,1.9,2,2,2,2,2,2,2.1,2.1,2,2,2,2.2,2.1
2017/01/03,頭份,WD_HR,348,145,116,99,124,83,119,129,71,68,71,68,73,83,78,78,75,67,66,67,71,61,28,48
2017/01/03,頭份,WIND_DIREC,79,328,117,89,127,59,128,136,65,69,83,76,86,93,96,67,70,70,63,63,75,17,38,51
2017/01/03,頭份,WIND_SPEED,0.5,0.5,1.5,1,1.6,0.8,1.1,1,2.6,3.2,1.9,2.3,2.1,2.9,2.4,2.7,2.1,2.1,2.5,1.8,2,1.3,1.2,1.1
2017/01/03,頭份,WS_HR,0.2,0.4,1.3,0.8,1.5,0.5,0.5,0.9,1,1.9,1.9,1.3,0.9,0.9,1,1,1.2,1.1,1.9,1.8,2,1.1,0.3,0.5
2017/01/04,頭份,AMB_TEMP,21,21,20,20,20,20,19,20,20,21,22,23,23,24,24,24,23,23,23,22,22,22,21,21
2017/01/04,頭份,CH4,2,2,2,2,2,1.9,1.9,1.9,1.9,2,2,2,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.9,2,2,2,2.2
