Date Time,PM2.5,O3,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,PM10,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,DAY_OF_YEAR,HOUR,WEEKDAY,MONTH
01.01.2019 01:00:00,2.0,33.0,17.8,1.7,0.2,0.03,0.5,4.4,4.9,7.0,0,70.0,0.8,1.8,74.0,71.0,3.0,3.4,0,1,1,1
01.01.2019 02:00:00,2.0,33.0,17.6,1.7,0.19,0.03,0.9,4.1,5.0,6.0,0,70.0,0.4,1.8,70.0,66.0,3.2,2.9,0,2,1,1
01.01.2019 03:00:00,3.0,33.0,17.5,1.7,0.19,0.03,1.0,4.3,5.3,6.0,0,71.0,0.3,1.8,64.0,56.0,2.4,2.1,0,3,1,1
01.01.2019 04:00:00,3.0,33.0,17.2,1.7,0.19,0.03,0.8,4.4,5.2,6.0,0,72.0,0.6,1.8,59.0,60.0,3.1,2.5,0,4,1,1
01.01.2019 05:00:00,2.0,34.0,17.1,1.7,0.19,0.03,1.0,3.6,4.6,7.0,0,73.0,0.6,1.8,61.0,52.0,2.7,2.6,0,5,1,1
01.01.2019 06:00:00,1.0,34.0,17.2,1.7,0.19,0.03,1.0,3.7,4.7,6.0,0,73.0,0.6,1.8,59.0,60.0,3.2,2.7,0,6,1,1
01.01.2019 07:00:00,3.0,33.0,17.2,1.7,0.2,0.04,1.2,3.7,4.9,8.0,0,73.0,0.6,1.8,58.0,60.0,3.0,2.4,0,7,1,1
01.01.2019 08:00:00,4.0,32.0,17.3,1.7,0.22,0.04,1.3,4.9,6.2,7.0,0,73.0,0.6,1.8,60.0,62.0,3.1,2.4,0,8,1,1
01.01.2019 09:00:00,4.0,34.0,18.2,1.7,0.22,0.04,1.5,4.8,6.3,7.0,0,69.0,0.3,1.8,61.0,59.0,3.4,2.8,0,9,1,1
01.01.2019 10:00:00,2.0,35.0,19.6,1.7,0.24,0.04,1.8,4.4,6.2,5.0,0,65.0,0.5,1.8,57.0,52.0,3.9,3.2,0,10,1,1
01.01.2019 11:00:00,2.0,35.0,20.0,1.7,0.24,0.05,1.7,4.4,6.1,4.0,0,63.0,0.3,1.8,70.0,76.0,5.6,3.8,0,11,1,1
01.01.2019 12:00:00,3.0,37.0,20.2,1.7,0.24,0.05,1.7,4.0,5.7,6.0,0,62.0,0.4,1.8,67.0,65.0,4.3,3.7,0,12,1,1
01.01.2019 13:00:00,1.0,38.0,20.4,1.7,0.24,0.04,1.8,3.9,5.7,6.0,0,60.0,0.3,1.8,68.0,70.0,4.9,4.1,0,13,1,1
01.01.2019 14:00:00,1.0,39.0,20.7,1.7,0.24,0.04,1.6,3.3,4.9,10.0,0,59.0,0.3,1.8,73.0,71.0,5.4,4.7,0,14,1,1
