日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2017/01/01,龍潭,AMB_TEMP,18,18,18,17,17,17,16,17,19,21,23,25,26,26,26,24,23,21,20,20,20,19,18,18
2017/01/01,龍潭,CO,0.2,0.22,0.23,0.28,0.31,0.34,0.53,0.74,0.37,0.37,0.37,0.37,0.33,0.33,0.34,0.34,0.37,0.45,0.68,1.19,1.59,1.44,1.06,0.38
2017/01/01,龍潭,NO,0.9,0.8,0.8,0.7,1,1,4.1,7.2,4,3.6,3.3,3.1,2.2,1.7,1.4,2.1,2,1.5,2.2,26,48,58,31,1.3
2017/01/01,龍潭,NO2,4.9,5.2,5.9,10,10,10,18,20,11,9.2,9,8.1,6.7,6.7,8.1,10,12,17,27,38,33,31,27,14
2017/01/01,龍潭,NOx,5.9,6,6.7,11,11,11,23,28,15,13,12,11,8.9,8.4,9.5,12,14,19,29,64,81,90,57,16
2017/01/01,龍潭,O3,34,33,31,26,25,23,12,14,28,31,36,40,49,56,54,46,38,29,15,3.1,2.8,2.3,3.7,13
2017/01/01,龍潭,PM10,25,20,23,25,29,22,24,22,32,23,20,19,22,18,22,32,54,58,64,67,73,77,69,58
2017/01/01,龍潭,PM2.5,16,13,16,9,17,12,9,7,10,9,9,9,12,12,10,14,16,26,31,38,38,40,35,32
2017/01/01,龍潭,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2017/01/01,龍潭,RH,77,79,80,82,84,85,87,85,78,70,60,52,49,47,50,60,67,76,80,79,80,81,84,89
2017/01/01,龍潭,SO2,2.1,1.8,1.6,1.7,1.7,1.6,1.7,1.9,1.8,1.8,1.9,1.9,2.3,2.4,2.7,3.8,4.6,3.7,3.4,3.5,3.6,3.5,2.8,2.3
2017/01/01,龍潭,WD_HR,66,64,76,297,31,283,209,81,72,67,56,45,347,40,315,319,312,313,304,238,262,240,248,230
2017/01/01,龍潭,WIND_DIREC,69,69,24,250,66,248,172,62,70,60,57,284,19,48,317,316,315,303,306,267,251,262,247,242
2017/01/01,龍潭,WIND_SPEED,3.7,1.9,0.9,1,0.8,0.4,0.5,1.1,2.9,1.9,2.1,1.7,2,1.5,3,3.1,1.6,1.1,0.5,0.6,0.9,0.7,2.5,2.5
2017/01/01,龍潭,WS_HR,3.9,2.9,0.6,0.3,0.1,0,0.5,0.4,2.2,2.1,1.2,0.4,0.7,1,1.9,2.8,1.9,1,0.8,0.5,0.5,0.7,1.5,2.5
2017/01/02,龍潭,AMB_TEMP,18,17,16,17,16,17,17,17,19,21,22,24,23,22,21,21,20,20,20,19,19,19,19,19
2017/01/02,龍潭,CO,0.33,0.3,0.29,0.27,0.27,0.33,0.41,0.45,0.55,0.31,0.35,0.41,0.4,0.31,0.36,0.43,0.41,0.57,0.67,0.79,0.72,0.46,0.43,0.42
2017/01/02,龍潭,NO,1,1,0.9,1.4,1.4,1.4,1.6,2.6,6.3,3.3,3.9,4,4.5,3.3,3.2,3,2.2,2.8,4,5.2,4.6,2,1.9,1.5
2017/01/02,龍潭,NO2,12,9.7,9.3,6.8,7.5,7.7,11,14,19,8.9,9.8,12,14,9.2,13,16,15,23,30,36,33,20,19,17
2017/01/02,龍潭,NOx,13,11,10,8.3,8.9,9.2,13,17,25,12,14,16,18,12,16,19,17,26,34,41,37,22,21,18
2017/01/02,龍潭,O3,18,19,17,21,18,23,21,17,18,33,37,42,41,40,43,48,41,23,14,8.9,12,22,23,26
2017/01/02,龍潭,PM10,44,38,36,42,44,40,38,46,65,65,51,43,51,62,60,53,47,48,49,66,65,57,40,33
2017/01/02,龍潭,PM2.5,28,28,24,18,17,15,20,19,33,29,28,20,25,23,25,25,34,27,32,28,38,24,31,18
2017/01/02,龍潭,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2017/01/02,龍潭,RH,87,88,91,89,91,90,90,89,84,73,67,59,65,72,73,76,79,82,83,84,84,85,87,86
2017/01/02,龍潭,SO2,1.8,1.7,1.7,1.7,1.8,1.9,1.9,2.1,2.3,1.9,1.9,2.2,2.8,2.5,3.2,3.6,3,2.9,2.9,4.2,4.8,3.9,3.4,2.7
2017/01/02,龍潭,WD_HR,227,227,204,247,182,220,224,185,227,23,53,10,327,12,26,44,41,48,42,50,61,63,52,50
2017/01/02,龍潭,WIND_DIREC,234,237,204,234,195,221,181,236,232,56,49,326,314,17,51,33,39,47,42,56,63,58,50,48
2017/01/02,龍潭,WIND_SPEED,2.5,1.4,1.6,2.1,2,0.9,2.1,0.6,0.7,1,0.9,2.5,4.4,3,2.4,2.8,2.4,1.9,1.6,1.7,3.3,2.7,3.8,3.9
2017/01/02,龍潭,WS_HR,2.4,1.6,2.1,1.5,1.8,1.2,0.7,1.4,0.6,0.3,0.6,0.8,2,1.5,1.3,1.2,1.1,1.2,1.6,1.8,2,3.3,3.3,3.7
2017/01/03,龍潭,AMB_TEMP,19,19,19,19,19,19,19,19,20,20,20,21,21,21,21,21,20,19,19,19,19,19,19,19
2017/01/03,龍潭,CO,0.27,0.22,0.2,0.19,0.17,0.16,0.2,0.3,0.27,0.31,0.25,0.24,0.25,0.23,0.23,0.27,0.31,0.36,0.41,0.38,0.32,0.32,0.27,0.29
2017/01/03,龍潭,NO,1.3,1.4,1.1,1.2,0.9,1.1,1.5,2,2.9,3.7,3.9,3.5,3.2,3,2.6,2.7,2.9,2.3,1.9,1.6,1.4,1.3,1,0.8
2017/01/03,龍潭,NO2,10,7.5,7.5,7.5,7.2,6.4,11,13,11,13,10,9.3,9,8,8.4,13,18,17,17,15,12,12,9.9,12
2017/01/03,龍潭,NOx,11,8.9,8.6,8.7,8.2,7.5,12,15,14,16,14,13,12,11,11,15,20,19,19,16,13,14,11,12
2017/01/03,龍潭,O3,32,33,31,29,30,31,27,28,31,30,34,35,36,37,37,33,28,29,29,30,32,30,32,30
2017/01/03,龍潭,PM10,36,42,32,27,18,22,17,22,32,35,30,34,35,42,36,32,28,28,44,41,33,28,35,38
2017/01/03,龍潭,PM2.5,20,11,13,10,7,9,9,10,8,12,11,13,13,14,10,11,6,15,17,17,14,11,14,8
2017/01/03,龍潭,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2017/01/03,龍潭,RH,85,84,83,86,87,87,87,87,83,84,81,78,75,74,73,78,82,84,85,86,86,86,86,87
2017/01/03,龍潭,SO2,2.7,1.9,2.2,2.2,2.3,1.9,3.2,3.5,2.5,2.3,2.2,2.5,2.2,1.8,2,2.4,4.2,2.6,2.3,2.2,2.1,2,1.9,2
2017/01/03,龍潭,WD_HR,49,54,60,57,53,50,52,51,53,53,55,58,57,55,58,60,58,57,57,57,60,54,62,67
2017/01/03,龍潭,WIND_DIREC,50,52,70,53,53,48,55,50,53,54,55,57,55,57,54,61,54,57,54,54,62,56,70,64
2017/01/03,龍潭,WIND_SPEED,4,4.6,3.6,4,4.9,4.3,4.1,5.3,6.3,6.1,7.9,7.2,6.9,7.3,7.3,6,5,4.9,4.8,4.6,5,3.7,3.3,3.3
2017/01/03,龍潭,WS_HR,3.6,3.5,3.6,3.9,4.3,4.3,3.8,4.3,6.4,6.6,6.8,7.1,7,6.9,6.9,6.1,5.2,4.9,4.6,4.4,4.6,4.1,3.3,3.2
2017/01/04,龍潭,AMB_TEMP,19,19,18,19,19,19,19,19,20,22,23,25,25,24,24,24,23,22,21,21,20,20,19,19
2017/01/04,龍潭,CO,0.28,0.28,0.24,0.23,0.23,0.24,0.36,0.54,0.55,0.61,0.39,0.32,0.36,0.42,0.45,0.43,0.46,0.61,0.79,1.06,0.7,0.81,1.01,0.72
2017/01/04,龍潭,NO,0.9,1,0.7,1.3,1.3,1.5,9.1,21,11,12,6.2,4.8,4.1,5.8,4.2,3.5,2.7,2.4,2.2,11,6.7,16,36,21
2017/01/04,龍潭,NO2,11,11,8.4,8.6,7.4,11,19,18,21,23,14,10,12,18,18,17,19,28,35,40,30,31,33,24
2017/01/04,龍潭,NOx,12,12,9.2,9.9,8.8,13,29,40,32,35,21,15,16,24,22,20,22,30,37,51,37,47,70,45
2017/01/04,龍潭,O3,28,25,25,24,27,21,10,6.4,15,24,31,36,37,33,36,38,37,29,20,4.9,7,2.9,2.7,7.1
2017/01/04,龍潭,PM10,24,19,27,37,24,21,21,33,34,36,30,18,22,31,50,59,53,53,42,46,46,52,53,53
2017/01/04,龍潭,PM2.5,9,11,15,11,8,5,4,4,8,8,12,11,11,14,16,28,23,29,23,31,34,35,27,23
2017/01/04,龍潭,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2017/01/04,龍潭,RH,88,89,90,90,89,89,89,87,84,76,68,62,62,68,68,69,72,73,75,75,79,81,83,86
2017/01/04,龍潭,SO2,1.6,2.3,2,2.2,2.2,2,2.1,2.3,3.6,3.7,2.8,2.4,2.6,3,2.9,2.8,2.9,4.5,5.1,3.8,3.1,3.1,3.2,2.7
2017/01/04,龍潭,WD_HR,59,72,74,354,50,77,88,98,52,63,58,62,63,244,254,246,270,270,270,318,76,166,154,188
2017/01/04,龍潭,WIND_DIREC,53,138,61,342,50,63,124,53,56,69,61,83,247,237,247,257,274,263,283,72,97,235,226,178
2017/01/04,龍潭,WIND_SPEED,2.7,0.6,0.7,0.5,1.3,1.1,1.1,1.8,3.2,4.4,3.7,2.2,2.7,2.5,3,1.8,1.8,1.1,0.9,0.8,0.7,0.5,0.4,1
2017/01/04,龍潭,WS_HR,2.9,1.2,0.6,0.4,0.9,0.9,0.9,0.8,2.9,3.7,3.7,2.9,0.3,2.8,2.5,2.3,1.8,1.4,0.8,0.6,0.9,0.4,0.4,0.9
2017/01/05,龍潭,AMB_TEMP,19,19,18,18,18,18,18,18,18,20,22,22,23,23,23,22,21,20,20,20,20,20,20,19
2017/01/05,龍潭,CO,0.56,0.47,0.35,0.32,0.25,0.26,0.48,0.8,0.52,0.56,0.46,0.43,0.4,0.39,0.48,0.46,0.42,0.51,0.44,0.49,0.56,0.53,0.52,0.47
