Date Time,PM2.5,O3,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,PM10,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,DAY_OF_YEAR,HOUR,WEEKDAY,MONTH
01.01.2019 01:00:00,27.0,6.2,19.2,2.0,0.65,0.21,11.0,23.0,34.0,57.0,0,76.0,3.5,2.3,13.0,16.0,2.6,2.2,0,1,1,1
01.01.2019 02:00:00,27.0,5.6,19.1,2.1,0.63,0.2,7.9,22.0,30.0,51.0,0,76.0,3.0,2.3,11.0,356.0,1.7,1.9,0,2,1,1
01.01.2019 03:00:00,23.0,6.2,19.0,2.0,0.53,0.16,5.6,20.0,26.0,42.0,0,77.0,2.4,2.2,6.9,13.0,2.0,1.9,0,3,1,1
01.01.2019 04:00:00,23.0,6.9,18.9,2.1,0.51,0.14,4.0,18.0,22.0,44.0,0,77.0,2.3,2.2,18.0,18.0,2.4,2.3,0,4,1,1
01.01.2019 05:00:00,19.0,7.8,18.7,2.1,0.42,0.13,3.9,16.0,20.0,46.0,0,77.0,2.3,2.2,17.0,11.0,2.4,2.5,0,5,1,1
01.01.2019 06:00:00,25.0,7.5,18.7,2.1,0.43,0.14,3.9,16.0,20.0,41.0,0,77.0,2.3,2.2,18.0,24.0,2.7,2.3,0,6,1,1
01.01.2019 07:00:00,21.0,5.2,18.8,2.1,0.49,0.16,6.9,19.0,26.0,41.0,0,77.0,2.3,2.2,14.0,23.0,2.1,2.0,0,7,1,1
01.01.2019 08:00:00,28.0,4.3,18.7,2.1,0.57,0.18,9.6,19.0,29.0,44.0,0,77.0,2.4,2.3,17.0,17.0,2.9,2.4,0,8,1,1
01.01.2019 09:00:00,28.0,6.2,19.0,2.1,0.66,0.19,13.0,20.0,33.0,47.0,0,77.0,3.2,2.3,21.0,15.0,2.7,2.7,0,9,1,1
01.01.2019 10:00:00,34.0,11.0,20.0,2.1,0.73,0.23,13.0,21.0,35.0,50.0,0,73.0,3.3,2.3,22.0,25.0,2.3,2.5,0,10,1,1
01.01.2019 11:00:00,35.0,15.0,21.1,2.1,0.79,0.25,12.0,25.0,37.0,56.0,0,69.0,3.1,2.4,9.6,356.0,1.7,1.8,0,11,1,1
