日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2019/01/01,善化,AMB_TEMP,16.9,16.8,16.7,16.6,16.5,16.5,16.6,16.8,17.8,18.9,20.2,22.4,23.1,24.1,24.4,23.7,21.8,20.8,20,19.4,19.1,18.8,18.7,18.4
2019/01/01,善化,CO,0.36,0.31,0.3,0.29,0.35,0.39,0.34,0.34,0.28,0.3,0.29,0.28,0.25,0.27,0.29,0.31,0.31,0.31,0.43,0.45,0.48,0.33,0.37,0.42
2019/01/01,善化,NO,1.9,0.5,0.2,0.4,0.5,0.6,0.7,1.2,2.1,3.2,3.5,2.6,1.4,0.7,0.8,0.6,0.6,0.5,0.3,0.6,0.4,0.5,0.5,0.6
2019/01/01,善化,NO2,14,13,14,14,17,18,18,15,12,12,12,8.9,6.9,7.2,7.9,8.4,11,10,16,20,18,13,13,14
2019/01/01,善化,NOx,16,14,14,14,17,18,19,16,14,16,15,11,8.4,7.9,8.7,9,12,11,17,20,19,14,14,14
2019/01/01,善化,O3,10,9.9,9.2,8.6,5.7,5.6,6.8,10,14,15,18,26,34,39,42,40,33,30,21,17,15,17,16,14
2019/01/01,善化,PM10,32,34,35,37,40,34,30,40,30,35,41,44,40,44,50,68,84,121,100,71,57,41,45,34
2019/01/01,善化,PM2.5,2,13,13,17,13,9,10,19,20,20,10,5,8,13,23,21,21,15,20,19,22,16,17,15
2019/01/01,善化,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2019/01/01,善化,RH,84,84,85,85,85,85,84,84,81,78,74,67,64,61,61,64,70,73,75,77,78,79,79,81
2019/01/01,善化,SO2,1.8,2.2,2.4,2.9,2.8,2.4,2.8,3,3.1,3.3,2.9,2.5,2,2.4,2.6,2.3,2.6,2.4,3.4,3.7,3.9,3.4,3.7,3.5
2019/01/01,善化,WD_HR,8.7,350,354,358,356,358,359,360,6.6,359,7.3,359,355,355,351,338,348,354,348,351,352,356,356,351
2019/01/01,善化,WIND_DIREC,355,344,0.1,356,350,8.9,354,6.3,1.8,6.4,3.7,356,354,352,1.4,338,358,352,349,350,352,358,351,351
2019/01/01,善化,WIND_SPEED,2.3,2.1,2.7,2.7,2.5,2.8,2.6,3.3,4,3.9,3.9,4.5,4.3,3,3.2,5.5,4.6,3.4,3.3,3.2,4,2.7,2.5,2.3
2019/01/01,善化,WS_HR,2.2,2.2,2.4,2.5,2.3,2.8,2.8,2.8,3.9,3.8,3.9,4.2,4.2,3.4,3,3.8,4.5,3.5,3.3,3.2,3.4,3.1,3,2.4
2019/01/02,善化,AMB_TEMP,18.1,17.9,17.8,17.7,17.6,17.6,17.6,17.9,18.7,19.5,20.5,21.7,22.4,23.2,22.8,23,22.2,21.5,20.4,19.7,19.4,19.3,19.2,19
2019/01/02,善化,CO,0.44,0.32,0.29,0.31,0.3,0.29,0.29,0.34,0.32,0.33,0.37,0.36,0.37,0.32,0.35,0.42,0.49,0.53,0.51,0.47,0.39,0.41,0.48,0.49
2019/01/02,善化,NO,0.5,0.4,0.6,0.8,0.7,0.9,1,2.8,3.9,5,6.3,5.1,4.1,3.1,2.8,2.6,2.5,1.1,1,0.7,0.7,0.8,1.3,0.8
2019/01/02,善化,NO2,15,12,12,14,15,15,14,17,16,16,17,16,16,15,15,17,25,27,27,20,21,20,22,21
2019/01/02,善化,NOx,15,13,12,15,16,16,15,20,20,21,23,21,20,18,18,20,28,28,28,21,22,21,24,22
2019/01/02,善化,O3,13,16,14,9.9,8.3,9.6,10,8.5,12,14,15,18,22,25,26,26,18,15,12,15,13,9.9,6.8,7.6
2019/01/02,善化,PM10,37,33,32,34,27,35,30,38,34,44,41,50,47,53,62,67,71,75,67,57,50,48,46,44
2019/01/02,善化,PM2.5,11,10,7,7,9,16,20,14,16,17,15,16,11,17,10,21,26,32,23,21,21,19,10,5
2019/01/02,善化,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.2,NR,NR,NR,NR,NR,NR
