Date Time,PM2.5,O3,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,PM10,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,DAY_OF_YEAR,HOUR,WEEKDAY,MONTH
01.01.2019 01:00:00,26.0,12.0,20.0,2.2,0.52,0.14,1.0,18.0,19.0,68.0,0,80.0,1.5,2.3,339.0,339.0,0.9,1.0,0,1,1,1
01.01.2019 02:00:00,29.0,11.0,19.7,2.2,0.49,0.12,1.2,17.0,18.0,63.0,0,81.0,2.1,2.3,12.0,339.0,0.8,1.1,0,2,1,1
01.01.2019 03:00:00,42.0,10.0,19.3,2.1,0.46,0.12,0.8,14.0,15.0,64.0,0,83.0,1.9,2.2,289.0,276.0,1.2,0.9,0,3,1,1
01.01.2019 04:00:00,44.0,9.1,19.1,2.1,0.5,0.13,1.0,14.0,15.0,73.0,0,83.0,1.9,2.2,303.0,343.0,0.8,0.8,0,4,1,1
01.01.2019 05:00:00,46.0,11.0,19.1,2.1,0.43,0.1,0.9,13.0,14.0,53.0,0,83.0,1.9,2.2,331.0,339.0,0.8,0.9,0,5,1,1
01.01.2019 06:00:00,35.0,8.5,19.0,2.3,0.42,0.11,0.9,13.0,14.0,52.0,0,84.0,1.6,2.4,30.0,45.0,1.0,0.8,0,6,1,1
01.01.2019 07:00:00,27.0,9.3,18.9,2.2,0.39,0.1,1.1,12.0,13.0,40.0,0,84.0,1.7,2.3,344.0,290.0,0.4,0.5,0,7,1,1
01.01.2019 08:00:00,22.0,8.6,19.2,2.3,0.46,0.12,2.0,13.0,15.0,41.0,0,84.0,1.7,2.4,337.0,324.0,1.3,0.9,0,8,1,1
01.01.2019 09:00:00,26.0,11.0,19.6,2.2,0.48,0.12,3.9,12.0,16.0,57.0,0,84.0,1.9,2.3,321.0,358.0,0.6,1.0,0,9,1,1
01.01.2019 10:00:00,34.0,19.0,20.8,2.1,0.5,0.13,3.7,12.0,16.0,62.0,0,78.0,2.3,2.3,318.0,339.0,1.2,0.9,0,10,1,1
01.01.2019 11:00:00,36.0,28.0,22.2,2.1,0.53,0.14,2.3,13.0,15.0,73.0,0,73.0,2.7,2.3,24.0,219.0,0.8,0.3,0,11,1,1
01.01.2019 12:00:00,31.0,40.0,23.2,2.1,0.64,0.16,2.4,16.0,18.0,80.0,0,69.0,3.1,2.2,202.0,239.0,1.1,0.5,0,12,1,1
