Date Time,PM2.5,O3,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,PM10,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,DAY_OF_YEAR,HOUR,WEEKDAY,MONTH
01.01.2019 01:00:00,12.0,20.0,16.4,0,0.51,0,2.9,9.7,13.0,12.0,0,88.0,2.2,0,14.0,4.7,1.5,1.4,0,1,1,1
01.01.2019 02:00:00,14.0,21.0,16.2,0,0.27,0,2.8,9.3,12.0,20.0,0,88.0,1.4,0,8.0,7.7,2.5,1.8,0,2,1,1
01.01.2019 03:00:00,12.0,20.0,16.2,0,0.37,0,1.7,11.0,13.0,14.0,0,88.0,1.8,0,8.5,12.0,2.8,2.1,0,3,1,1
01.01.2019 04:00:00,10.0,26.0,16.2,0,0.23,0,2.0,7.7,9.7,17.0,0,88.0,1.4,0,15.0,18.0,2.3,2.2,0,4,1,1
01.01.2019 05:00:00,11.0,28.0,16.2,0,0.2,0,1.9,7.4,9.2,14.0,0,88.0,1.4,0,17.0,24.0,2.3,2.4,0,5,1,1
01.01.2019 06:00:00,10.0,28.0,16.1,0,0.17,0,1.9,7.4,9.3,19.0,0,88.0,1.3,0,15.0,12.0,2.8,2.3,0,6,1,1
01.01.2019 07:00:00,9.0,27.0,16.1,0,0.17,0,2.3,8.2,10.0,16.0,0,88.0,1.3,0,15.0,21.0,2.1,2.7,0,7,1,1
01.01.2019 08:00:00,10.0,28.0,16.6,0,0.19,0,2.3,8.0,10.0,17.0,0,88.0,1.3,0,18.0,16.0,3.2,2.5,0,8,1,1
01.01.2019 09:00:00,14.0,32.0,17.9,0,0.19,0,2.7,7.6,10.0,19.0,0,88.0,1.3,0,17.0,18.0,3.6,3.4,0,9,1,1
01.01.2019 10:00:00,13.0,34.0,19.5,0,0.21,0,2.8,7.4,10.0,20.0,0,88.0,1.7,0,13.0,8.9,4.3,3.9,0,10,1,1
01.01.2019 11:00:00,11.0,36.0,20.4,0,0.24,0,3.4,8.6,12.0,25.0,0,88.0,1.9,0,12.0,18.0,3.5,4.1,0,11,1,1
01.01.2019 12:00:00,14.0,35.0,21.3,0,0.31,0,4.2,11.0,15.0,52.0,0,86.0,3.5,0,4.9,358.0,6.0,4.7,0,12,1,1
01.01.2019 13:00:00,19.0,39.0,21.8,0,0.33,0,3.9,11.0,15.0,65.0,0,81.0,3.9,0,4.2,5.5,4.9,4.9,0,13,1,1
01.01.2019 14:00:00,22.0,40.0,21.5,0,0.36,0,3.6,11.0,15.0,61.0,0,78.0,3.8,0,4.5,2.1,4.3,4.2,0,14,1,1
01.01.2019 15:00:00,21.0,40.0,21.0,0,0.3,0,2.8,11.0,14.0,74.0,0,81.0,3.8,0,0.5,5.4,6.3,4.9,0,15,1,1
01.01.2019 16:00:00,22.0,42.0,20.0,0,0.24,0,2.5,8.5,11.0,152.0,0,88.0,2.2,0,3.9,9.4,6.2,5.9,0,16,1,1
01.01.2019 17:00:00,21.0,33.0,19.3,0,0.33,0,2.6,14.0,16.0,81.0,0,88.0,3.6,0,4.8,5.7,5.3,5.1,0,17,1,1
01.01.2019 18:00:00,20.0,26.0,18.6,0,0.46,0,2.3,17.0,20.0,47.0,0,88.0,4.0,0,3.6,3.0,4.4,3.8,0,18,1,1
01.01.2019 19:00:00,21.0,24.0,18.2,0,0.33,0,2.2,15.0,18.0,46.0,0,88.0,3.8,0,1.6,0.5,4.1,4.0,0,19,1,1
01.01.2019 20:00:00,14.0,27.0,18.0,0,0.25,0,2.4,12.0,15.0,29.0,0,88.0,3.0,0,2.6,11.0,4.6,3.4,0,20,1,1
01.01.2019 21:00:00,13.0,27.0,17.8,0,0.3,0,1.8,13.0,14.0,25.0,0,88.0,3.4,0,8.6,5.6,3.5,3.6,0,21,1,1
01.01.2019 22:00:00,14.0,25.0,17.7,0,0.32,0,1.8,13.0,15.0,23.0,0,88.0,3.3,0,6.5,2.4,2.5,2.8,0,22,1,1
01.01.2019 23:00:00,14.0,27.0,17.4,0,0.23,0,2.0,9.1,11.0,19.0,0,88.0,1.5,0,8.1,12.0,2.6,2.5,0,23,1,1
01.01.2019 24:00:00,13.0,26.0,17.2,0,0.24,0,2.2,9.4,12.0,15.0,0,88.0,1.5,0,7.8,13.0,2.6,2.4,0,24,1,1
02.01.2019 01:00:00,11.0,26.0,17.2,0,0.24,0,2.2,8.9,11.0,19.0,0,88.0,1.6,0,14.0,12.0,2.6,2.5,1,1,2,1
02.01.2019 02:00:00,9.0,26.0,17.2,0,0.3,0,2.4,8.4,11.0,11.0,0,88.0,2.0,0,12.0,13.0,2.9,2.6,1,2,2,1
02.01.2019 03:00:00,8.0,28.0,17.2,0,0.39,0,2.4,8.4,11.0,13.0,0,88.0,2.1,0,13.0,11.0,2.8,2.6,1,3,2,1
02.01.2019 04:00:00,8.0,30.0,17.0,0,0.25,0,2.7,6.7,9.4,11.0,0,88.0,1.8,0,11.0,2.7,3.3,2.9,1,4,2,1
02.01.2019 05:00:00,12.0,28.0,17.1,0,0.41,0,2.5,9.7,12.0,14.0,0,88.0,2.7,0,6.0,8.4,2.9,2.8,1,5,2,1
02.01.2019 06:00:00,14.0,28.0,16.9,0,0.38,0,2.4,9.0,11.0,14.0,0,88.0,2.4,0,18.0,17.0,2.6,2.3,1,6,2,1
