Date Time,PM2.5,O3,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,PM10,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,DAY_OF_YEAR,HOUR,WEEKDAY,MONTH
01.01.2019 01:00:00,18.0,12.0,18.1,2.0,0.41,0.13,1.2,18.0,19.0,36.0,0,82.0,3.4,2.1,359.0,2.7,2.9,2.5,0,1,1,1
01.01.2019 02:00:00,18.0,10.0,18.0,2.0,0.41,0.15,1.2,19.0,20.0,36.0,0,83.0,2.2,2.1,352.0,318.0,2.1,1.5,0,2,1,1
01.01.2019 03:00:00,6.0,8.6,17.9,2.0,0.46,0.13,1.1,19.0,20.0,35.0,0,84.0,2.1,2.1,332.0,349.0,1.8,1.3,0,3,1,1
01.01.2019 04:00:00,10.0,6.3,17.9,2.0,0.48,0.15,1.0,21.0,22.0,40.0,0,84.0,2.4,2.2,2.8,6.6,2.1,1.9,0,4,1,1
01.01.2019 05:00:00,10.0,7.9,17.9,2.0,0.43,0.16,1.1,19.0,20.0,32.0,0,84.0,2.3,2.2,354.0,360.0,1.1,1.3,0,5,1,1
01.01.2019 06:00:00,15.0,6.7,17.9,2.0,0.44,0.16,1.2,19.0,20.0,32.0,0,84.0,2.3,2.2,1.5,3.0,2.7,1.7,0,6,1,1
01.01.2019 07:00:00,15.0,4.8,17.8,2.0,0.46,0.17,1.6,21.0,22.0,39.0,0,84.0,2.3,2.2,1.6,7.4,1.9,1.9,0,7,1,1
01.01.2019 08:00:00,20.0,4.7,17.8,2.0,0.6,0.19,5.5,22.0,27.0,39.0,0,84.0,2.7,2.2,1.2,354.0,2.5,1.9,0,8,1,1
01.01.2019 09:00:00,21.0,7.9,18.4,2.1,0.66,0.2,8.2,21.0,29.0,42.0,0,83.0,3.4,2.3,4.1,359.0,1.8,2.1,0,9,1,1
01.01.2019 10:00:00,22.0,13.0,19.3,2.0,0.6,0.19,8.2,19.0,27.0,44.0,0,80.0,3.1,2.2,8.5,16.0,3.0,2.1,0,10,1,1
01.01.2019 11:00:00,27.0,17.0,20.5,2.0,0.63,0.18,8.0,20.0,28.0,51.0,0,76.0,2.9,2.2,5.5,13.0,1.8,1.9,0,11,1,1
01.01.2019 12:00:00,35.0,25.0,21.6,2.0,0.62,0.17,6.5,20.0,27.0,59.0,0,73.0,3.1,2.2,324.0,326.0,2.6,1.6,0,12,1,1
01.01.2019 13:00:00,34.0,36.0,22.5,2.0,0.48,0.14,3.7,17.0,21.0,49.0,0,69.0,3.1,2.1,348.0,325.0,2.1,1.8,0,13,1,1
01.01.2019 14:00:00,28.0,46.0,23.2,2.0,0.49,0.14,2.6,17.0,19.0,56.0,0,65.0,3.3,2.1,12.0,1.2,1.5,1.9,0,14,1,1
01.01.2019 15:00:00,26.0,51.0,23.8,1.9,0.46,0.12,2.1,15.0,17.0,59.0,0,64.0,3.3,2.1,351.0,282.0,1.7,0.9,0,15,1,1
01.01.2019 16:00:00,27.0,54.0,23.8,1.9,0.39,0.09,1.7,13.0,14.0,52.0,0,64.0,3.1,2.0,292.0,306.0,1.5,1.4,0,16,1,1
01.01.2019 17:00:00,32.0,50.0,23.3,1.9,0.36,0.08,1.3,13.0,14.0,60.0,0,68.0,4.1,2.0,301.0,312.0,1.8,1.6,0,17,1,1
01.01.2019 18:00:00,28.0,36.0,22.4,1.9,0.52,0.15,1.0,18.0,19.0,78.0,0,73.0,2.6,2.1,2.8,12.0,2.7,2.0,0,18,1,1
01.01.2019 19:00:00,27.0,30.0,21.7,1.9,0.58,0.16,1.1,21.0,22.0,73.0,0,73.0,2.8,2.1,357.0,353.0,2.1,1.8,0,19,1,1
01.01.2019 20:00:00,28.0,26.0,21.2,2.0,0.57,0.15,1.1,22.0,23.0,94.0,0,74.0,3.1,2.1,5.1,12.0,2.9,2.0,0,20,1,1
01.01.2019 21:00:00,22.0,22.0,20.7,2.0,0.56,0.13,1.1,21.0,22.0,90.0,0,75.0,3.5,2.1,6.0,4.5,1.7,2.2,0,21,1,1
01.01.2019 22:00:00,25.0,16.0,20.3,2.0,0.63,0.14,1.1,24.0,25.0,84.0,0,76.0,3.6,2.1,358.0,5.5,3.0,1.9,0,22,1,1
01.01.2019 23:00:00,15.0,15.0,19.7,2.0,0.55,0.12,1.1,22.0,23.0,64.0,0,78.0,3.7,2.1,5.2,2.1,2.6,2.6,0,23,1,1
01.01.2019 24:00:00,18.0,14.0,19.3,2.0,0.53,0.12,1.0,20.0,21.0,51.0,0,79.0,3.6,2.1,359.0,358.0,2.2,2.5,0,24,1,1
02.01.2019 01:00:00,16.0,13.0,19.2,2.0,0.52,0.12,1.3,20.0,21.0,36.0,0,80.0,3.2,2.1,356.0,357.0,2.6,2.2,1,1,2,1
02.01.2019 02:00:00,17.0,13.0,19.1,2.0,0.48,0.11,0.8,18.0,19.0,32.0,0,80.0,3.2,2.1,5.9,3.9,2.8,2.3,1,2,2,1
02.01.2019 03:00:00,19.0,11.0,19.0,2.0,0.5,0.14,0.5,17.0,18.0,36.0,0,81.0,3.3,2.1,2.1,345.0,1.2,1.8,1,3,2,1
02.01.2019 04:00:00,16.0,9.9,18.7,2.0,0.53,0.15,0.8,17.0,18.0,39.0,0,82.0,2.9,2.2,2.2,2.4,2.1,1.5,1,4,2,1
