Date Time,PM2.5,O3,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,PM10,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,DAY_OF_YEAR,HOUR,WEEKDAY,MONTH
01.01.2019 01:00:00,27.0,6.3,19.4,2.1,0.67,0.24,6.5,22.0,29.0,57.0,0,79.0,2.6,2.3,296.0,272.0,1.0,0.2,0,1,1,1
01.01.2019 02:00:00,25.0,5.9,19.2,2.1,0.62,0.23,2.7,22.0,25.0,53.0,0,79.0,2.6,2.3,255.0,269.0,0.9,0.2,0,2,1,1
01.01.2019 03:00:00,25.0,7.1,19.1,2.1,0.56,0.19,1.2,20.0,21.0,51.0,0,80.0,2.1,2.3,277.0,101.0,1.0,0.5,0,3,1,1
01.01.2019 04:00:00,30.0,7.3,19.1,2.1,0.56,0.19,1.8,18.0,20.0,52.0,0,80.0,1.8,2.3,263.0,263.0,0.8,0.2,0,4,1,1
01.01.2019 05:00:00,28.0,8.0,18.9,2.1,0.51,0.17,1.2,17.0,18.0,40.0,0,80.0,1.7,2.3,277.0,111.0,0.9,0.5,0,5,1,1
01.01.2019 06:00:00,26.0,7.0,18.9,2.1,0.51,0.19,1.9,17.0,19.0,42.0,0,80.0,2.0,2.3,255.0,282.0,1.2,0.4,0,6,1,1
01.01.2019 07:00:00,29.0,5.2,18.9,2.1,0.59,0.23,3.4,19.0,22.0,49.0,0,80.0,1.8,2.3,263.0,145.0,0.8,0.4,0,7,1,1
01.01.2019 08:00:00,29.0,4.4,18.8,2.1,0.77,0.28,7.1,20.0,27.0,48.0,0,81.0,2.1,2.4,286.0,289.0,1.8,0.8,0,8,1,1
01.01.2019 09:00:00,27.0,6.0,19.0,2.1,0.84,0.3,11.0,20.0,31.0,50.0,0,80.0,2.9,2.4,281.0,234.0,1.0,0.9,0,9,1,1
01.01.2019 10:00:00,32.0,9.5,20.0,2.1,0.99,0.36,14.0,22.0,36.0,58.0,0,76.0,3.1,2.5,245.0,288.0,1.2,0.3,0,10,1,1
01.01.2019 11:00:00,36.0,14.0,21.0,2.1,1.08,0.39,11.0,27.0,38.0,70.0,0,73.0,2.7,2.5,248.0,148.0,0.7,0.3,0,11,1,1
01.01.2019 12:00:00,37.0,21.0,22.1,2.1,1.06,0.37,7.0,28.0,35.0,74.0,0,69.0,2.9,2.5,260.0,280.0,1.2,0.5,0,12,1,1
01.01.2019 13:00:00,29.25,31.0,22.5,2.1,0.78,0.24,3.8,22.0,26.0,78.0,0,68.0,2.8,2.3,279.0,280.0,1.2,1.0,0,13,1,1
01.01.2019 14:00:00,27.0,34.0,23.3,2.1,0.79,0.26,3.3,21.0,25.0,77.0,0,65.0,2.7,2.3,256.0,273.0,1.1,0.5,0,14,1,1
01.01.2019 15:00:00,25.071,43.0,23.7,2.0,0.73,0.2,2.3,22.0,24.0,75.0,0,64.0,2.9,2.2,219.0,223.0,0.7,0.5,0,15,1,1
01.01.2019 16:00:00,55.0,46.0,23.7,2.0,0.54,0.16,1.7,20.0,21.0,65.0,0,65.0,3.1,2.2,225.0,183.0,0.8,0.7,0,16,1,1
01.01.2019 17:00:00,31.0,47.0,23.4,2.0,0.56,0.16,0.8,18.0,19.0,62.0,0,67.0,2.8,2.2,229.0,271.0,0.9,0.6,0,17,1,1
01.01.2019 18:00:00,28.0,36.0,23.0,2.0,0.7,0.2,1.1,21.0,22.0,67.0,0,73.0,3.3,2.2,229.0,245.0,0.9,0.7,0,18,1,1
01.01.2019 19:00:00,25.0,20.0,22.5,2.1,0.91,0.32,2.4,29.0,32.0,83.0,0,72.0,2.5,2.4,266.0,140.0,0.8,0.7,0,19,1,1
01.01.2019 20:00:00,29.0,16.0,22.1,2.1,1.0,0.34,4.0,32.0,36.0,85.0,0,72.0,2.8,2.4,273.0,269.0,1.2,0.6,0,20,1,1
01.01.2019 21:00:00,26.0,17.0,21.5,2.1,0.77,0.25,1.6,26.0,28.0,103.0,0,73.0,2.9,2.3,283.0,279.0,1.4,1.2,0,21,1,1
01.01.2019 22:00:00,21.0,12.0,21.2,2.1,0.88,0.26,5.0,27.0,32.0,96.0,0,74.0,3.3,2.4,263.0,132.0,0.9,0.3,0,22,1,1
01.01.2019 23:00:00,22.0,9.4,20.7,2.1,0.78,0.22,2.8,27.0,30.0,88.0,0,76.0,3.4,2.3,273.0,278.0,1.2,0.8,0,23,1,1
01.01.2019 24:00:00,24.0,10.0,20.2,2.1,0.67,0.19,1.7,23.0,25.0,65.0,0,77.0,3.3,2.3,281.0,97.0,0.9,0.7,0,24,1,1
02.01.2019 01:00:00,20.0,8.8,20.2,2.1,0.66,0.2,2.3,23.0,25.0,56.0,0,77.0,2.7,2.3,221.0,265.0,0.9,0.2,1,1,2,1
02.01.2019 02:00:00,20.0,10.0,20.0,2.1,0.53,0.17,2.9,19.0,22.0,53.0,0,78.0,2.9,2.3,196.0,120.0,0.7,0.1,1,2,2,1
02.01.2019 03:00:00,24.0,11.0,19.9,2.1,0.51,0.18,2.5,18.0,20.0,51.0,0,79.0,2.9,2.3,207.0,167.0,0.7,0.2,1,3,2,1
02.01.2019 04:00:00,24.0,8.8,19.8,2.1,0.53,0.19,3.2,18.0,22.0,49.0,0,79.0,3.4,2.3,205.0,270.0,0.8,0.2,1,4,2,1
02.01.2019 05:00:00,23.0,9.1,19.6,2.1,0.51,0.17,3.1,17.0,20.0,47.0,0,80.0,2.8,2.3,254.0,270.0,1.3,0.4,1,5,2,1
02.01.2019 06:00:00,21.0,8.2,19.5,2.1,0.59,0.17,3.9,17.0,21.0,50.0,0,80.0,2.7,2.3,258.0,195.0,0.6,0.4,1,6,2,1
02.01.2019 07:00:00,23.0,6.0,19.4,2.1,0.71,0.23,7.5,20.0,27.0,45.0,0,80.0,2.7,2.4,253.0,277.0,1.0,0.3,1,7,2,1
02.01.2019 08:00:00,27.0,2.6,19.6,2.2,1.59,0.53,28.0,24.0,52.0,53.0,0,82.0,3.5,2.7,270.0,249.0,0.7,0.3,1,8,2,1
02.01.2019 09:00:00,31.0,3.0,20.0,2.2,1.8,0.67,33.0,29.0,62.0,71.0,0,81.0,4.2,2.9,75.0,93.0,1.1,0.1,1,9,2,1
02.01.2019 10:00:00,39.0,5.5,21.3,2.2,1.8,0.67,37.0,44.0,81.0,92.0,0,77.0,5.4,2.9,126.0,149.0,0.7,0.3,1,10,2,1
02.01.2019 11:00:00,49.0,13.0,22.0,2.2,1.78,0.68,18.0,53.0,71.0,113.0,0,78.0,5.2,2.9,265.0,270.0,1.0,0.6,1,11,2,1
02.01.2019 12:00:00,57.0,20.0,22.4,2.2,1.49,0.58,12.0,50.0,62.0,116.0,0,77.0,4.7,2.8,256.0,161.0,0.6,0.6,1,12,2,1
