日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018/01/01,斗六,AMB_TEMP,15.7,15.6,15.4,15.1,14.9,14.7,14.5,14.6,16.1,18.9,21,22.7,24.2,25.4,25.7,24.9,22.8,20.6,19,18.2,17.8,17.5,17.4,17.2
2018/01/01,斗六,CO,0.52,0.49,0.41,0.39,0.4,0.41,0.36,0.38,0.42,0.53,0.5,0.46,0.41,0.38,0.36,0.43,0.42,0.43,0.43,0.45,0.47,0.48,0.47,0.53
2018/01/01,斗六,NO,1.2,2.2,2.1,2.4,2.2,2,2.7,3.1,5.5,4.3,3.1,2.9,2,2.1,2,2.2,2.1,2,2.4,2.5,2.4,2.4,2.3,2.5
2018/01/01,斗六,NO2,14,13,13,8.1,18,14,31,13,14,9.6,9.8,9,7.3,6,6.1,9.7,10,10,13,15,20,18,16,21
2018/01/01,斗六,NOx,16,15,15,10,20,16,34,16,19,14,13,12,9.3,8.1,8.1,12,12,12,15,17,22,20,18,24
2018/01/01,斗六,O3,21,20,23,24,19,15,14,18,21,27,40,53,64,72,76,69,59,48,39,33,26,23,23,16
2018/01/01,斗六,PM10,71,71,58,60,56,55,47,44,48,53,62,66,76,76,72,69,68,73,74,77,80,74,65,54
2018/01/01,斗六,PM2.5,36,35,39,25,27,16,25,19,26,33,41,36,40,44,45,35,19,19,14,24,34,38,39,25
2018/01/01,斗六,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2018/01/01,斗六,RH,74,74,74,75,76,77,78,78,74,68,62,57,53,50,49,53,61,69,76,79,79,79,78,79
2018/01/01,斗六,SO2,1.9,2.8,2.7,2.8,2.7,2.6,2.8,3,3.9,3.9,3.5,3.4,3.5,3.3,3.6,4.6,4.2,3.4,3,2.6,2.5,2.6,2.7,2.5
2018/01/01,斗六,UVB,0,0,0,0,0,0,0,0.2,1.1,2.5,4,4.8,5,4.1,2.6,1.1,0.3,0,0,0,0,0,0,0
