Date Time,PM2.5,O3,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,PM10,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,DAY_OF_YEAR,HOUR,WEEKDAY,MONTH
01.01.2019 01:00:00,23.0,9.2,18.2,0,0.38,0,1.4,8.6,10.0,51.0,0,86.0,1.1,0,232.0,3.0,0.5,0.3,0,1,1,1
01.01.2019 02:00:00,21.0,8.4,18.2,0,0.34,0,1.5,9.3,11.0,54.0,0,87.0,0.8,0,79.0,83.0,0.5,0.5,0,2,1,1
01.01.2019 03:00:00,22.0,7.4,18.1,0,0.34,0,1.3,7.9,9.2,51.0,0,87.0,0.8,0,210.0,160.0,1.1,0.7,0,3,1,1
01.01.2019 04:00:00,15.0,8.7,17.7,0,0.3,0,1.3,6.7,8.0,47.0,0,87.0,0.7,0,190.0,267.0,0.9,0.2,0,4,1,1
01.01.2019 05:00:00,15.0,7.6,17.8,0,0.31,0,1.9,7.2,9.1,47.0,0,87.0,0.7,0,59.0,43.0,0.4,0.5,0,5,1,1
01.01.2019 06:00:00,19.0,6.9,17.8,0,0.31,0,1.5,7.1,8.6,45.0,0,87.0,0.8,0,247.0,278.0,0.9,0.0,0,6,1,1
01.01.2019 07:00:00,22.0,5.8,17.6,0,0.34,0,2.3,7.1,9.5,42.0,0,88.0,0.6,0,183.0,52.0,0.5,0.1,0,7,1,1
01.01.2019 08:00:00,17.0,5.1,17.9,0,0.37,0,3.0,7.5,10.0,50.0,0,87.0,0.8,0,125.0,232.0,0.9,0.1,0,8,1,1
01.01.2019 09:00:00,26.0,7.8,18.7,0,0.38,0,4.3,7.8,12.0,55.0,0,85.0,1.1,0,172.0,177.0,1.1,0.6,0,9,1,1
01.01.2019 10:00:00,21.0,13.0,20.3,0,0.38,0,3.6,6.7,10.0,54.0,0,79.0,1.0,0,216.0,221.0,1.3,0.5,0,10,1,1
01.01.2019 11:00:00,22.0,21.0,22.2,0,0.38,0,2.8,6.4,9.2,53.0,0,71.0,1.3,0,174.0,191.0,1.6,0.7,0,11,1,1
01.01.2019 12:00:00,19.0,28.0,23.3,0,0.37,0,1.9,6.4,8.2,52.0,0,67.0,1.3,0,233.0,281.0,1.6,1.4,0,12,1,1
01.01.2019 13:00:00,24.0,34.0,24.5,0,0.36,0,2.0,6.4,8.4,49.0,0,63.0,1.5,0,283.0,349.0,0.9,1.1,0,13,1,1
01.01.2019 14:00:00,31.0,41.0,24.8,0,0.35,0,1.6,6.7,8.3,49.0,0,62.0,1.3,0,262.0,299.0,0.9,0.9,0,14,1,1
01.01.2019 15:00:00,20.0,48.0,24.6,0,0.35,0,1.7,6.3,8.1,52.0,0,61.0,1.4,0,248.0,272.0,1.0,0.9,0,15,1,1
01.01.2019 16:00:00,13.0,48.0,24.6,0,0.38,0,1.2,7.3,8.5,49.0,0,61.0,1.4,0,290.0,316.0,0.7,0.5,0,16,1,1
01.01.2019 17:00:00,8.0,44.0,24.1,0,0.35,0,1.5,7.8,9.3,47.0,0,64.0,1.3,0,294.0,292.0,1.1,0.9,0,17,1,1
01.01.2019 18:00:00,21.0,42.0,23.0,0,0.38,0,1.4,9.7,11.0,52.0,0,67.0,1.3,0,293.0,283.0,1.0,0.7,0,18,1,1
01.01.2019 19:00:00,17.0,34.0,22.0,0,0.37,0,1.5,11.0,12.0,62.0,0,71.0,1.4,0,274.0,282.0,0.8,0.6,0,19,1,1
01.01.2019 20:00:00,16.0,28.0,21.2,0,0.38,0,1.8,10.0,12.0,71.0,0,75.0,1.3,0,290.0,249.0,0.7,0.1,0,20,1,1
01.01.2019 21:00:00,11.0,23.0,20.5,0,0.39,0,1.2,11.0,12.0,71.0,0,77.0,1.2,0,267.0,286.0,0.8,0.6,0,21,1,1
01.01.2019 22:00:00,17.0,21.0,20.1,0,0.38,0,2.0,11.0,13.0,67.0,0,79.0,1.4,0,286.0,295.0,0.5,0.7,0,22,1,1
01.01.2019 23:00:00,18.0,19.0,19.8,0,0.39,0,1.6,9.8,11.0,65.0,0,79.0,1.2,0,297.0,288.0,0.4,0.4,0,23,1,1
01.01.2019 24:00:00,19.0,15.0,19.4,0,0.4,0,1.7,10.0,12.0,62.0,0,81.0,1.1,0,276.0,316.0,0.5,0.3,0,24,1,1
02.01.2019 01:00:00,15.0,13.0,19.3,0,0.4,0,1.4,9.7,11.0,58.0,0,82.0,1.1,0,68.0,22.0,0.4,0.2,1,1,2,1
02.01.2019 02:00:00,11.0,12.0,19.1,0,0.4,0,0.8,9.1,9.9,54.0,0,84.0,0.8,0,263.0,190.0,0.6,0.3,1,2,2,1
02.01.2019 03:00:00,16.0,11.0,19.0,0,0.39,0,0.6,9.1,9.7,55.0,0,85.0,0.9,0,41.0,303.0,0.5,0.1,1,3,2,1
02.01.2019 04:00:00,14.0,9.1,18.8,0,0.39,0,0.5,8.5,9.0,51.0,0,87.0,0.8,0,260.0,357.0,0.5,0.0,1,4,2,1
