Date Time,PM2.5,O3,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,PM10,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,DAY_OF_YEAR,HOUR,WEEKDAY,MONTH
01.01.2019 01:00:00,5.0,27.0,17.5,2.0,0.2,0.03,2.1,5.4,7.5,31.0,0,84.0,2.0,2.0,358.0,352.0,3.6,3.6,0,1,1,1
01.01.2019 02:00:00,4.0,24.0,17.3,2.0,0.23,0.03,1.6,7.2,8.8,25.0,0,84.0,2.6,2.0,358.0,358.0,3.9,3.6,0,2,1,1
01.01.2019 03:00:00,4.0,27.0,17.3,2.0,0.2,0.03,1.3,5.3,6.6,20.0,0,84.0,2.1,2.0,2.6,5.3,5.1,4.1,0,3,1,1
01.01.2019 04:00:00,3.0,29.0,17.2,1.9,0.2,0.03,1.4,3.7,5.2,24.0,0,85.0,2.0,2.0,360.0,348.0,5.2,3.5,0,4,1,1
01.01.2019 05:00:00,6.0,30.0,17.3,1.9,0.19,0.03,0.9,3.3,4.2,26.0,0,85.0,2.0,2.0,351.0,357.0,5.0,3.6,0,5,1,1
01.01.2019 06:00:00,7.0,29.0,17.2,1.9,0.21,0.04,0.8,4.6,5.4,24.0,0,85.0,2.4,2.0,356.0,344.0,4.7,4.2,0,6,1,1
01.01.2019 07:00:00,5.0,29.0,17.2,1.9,0.2,0.03,1.4,4.7,6.1,19.0,0,85.0,2.4,2.0,352.0,354.0,5.7,4.1,0,7,1,1
01.01.2019 08:00:00,6.0,30.0,17.6,1.9,0.2,0.03,1.6,4.4,6.0,26.0,0,84.0,2.2,2.0,360.0,4.4,6.1,4.6,0,8,1,1
01.01.2019 09:00:00,8.0,27.0,18.2,1.9,0.22,0.02,14.0,11.0,25.0,35.0,0,83.0,2.5,2.0,358.0,4.0,6.6,5.2,0,9,1,1
01.01.2019 10:00:00,10.0,31.0,19.0,1.9,0.21,0.02,5.6,6.3,12.0,53.0,0,80.0,2.2,1.9,354.0,1.9,6.4,5.6,0,10,1,1
01.01.2019 11:00:00,7.0,32.0,19.6,1.9,0.23,0.02,6.2,7.0,13.0,67.0,0,77.0,2.2,2.0,353.0,353.0,7.1,5.5,0,11,1,1
